,School,Date,Item,Remarks,
,Acacia Creek Lower,14.11.1940-26.11.1959,[1/9356],Observation book,
,Acacia Creek Lower,22.5.1940-24.7.1961,[1/9357],Admission register,
,Acacia Creek Lower,Post 1939,[14/7242],Administrative file,
,Acacia Dam,1889-1931,[5/14602.3],Administrative file,
,Acacia Plateau,22.5.1964-15.11.1967,[1/8739],Visitors' book,
,Acacia Plateau,8.9.1916-17.11.1959,[1/8740],Visitors' book,
,Acacia Plateau,1.10.1958-15.7.1966,[1/8741],Observation book,
,Acacia Plateau,19.9.1933-14.9.1955,[1/8742],Observation book,
,Acacia Plateau,2.8.1917-2.12.1967,[1/8743],Punishment Book,
,Acacia Plateau,31.7.1916-12.10.1967,[1/8744],Admission register,
,Acacia Plateau,Post 1939,[14/7242],Administrative file,
,Acacia Plateau,1913-1939,[5/14602.4],Administrative file,
,Acton,1920-1923,[5/14603.1],Administrative file,
,Adaminaby,1899-1900,[1/10361],Observation book,
,Adaminaby,1892-1895,[1/10362],Daily report,
,Adaminaby,Post 1939,[14/7242],Administrative file,
,Adaminaby,1876-1910,[5/14603.2],"Administrative file (2 bundles, A and B)",
,Adaminaby,1910-1939,[5/14604.1],Administrative file,
,Adaminaby,1879-1883,[1/10354],Punishment Book,
,Adaminaby,1900,[1/10355],Lesson register,
,Adaminaby,1891-1892,[1/10356],Lesson register,
,Adaminaby,-,[1/10357],Public Schools Cadet Force Arms and Accoutrements,
,Adaminaby,1891-1893,[1/10358],Class roll,
,Adaminaby,1889-1890,[1/10359],Lesson register,
,Adaminaby,1890-1891,[1/10360],Lesson register,
,Adamstown,Post 1939,[14/7243],Administrative file,
,Adamstown,1876-1894,[5/14604.2],Administrative file,
,Adamstown,1876-1902,[5/14605],"Administrative file (2 bundles, A and B)",
,Adamstown,1902-1916,[5/14606],"Administrative file (2 bundles, A and B)",
,Adamstown,1916-1920,[5/14607],Administrative file,
,Adamstown,1920-1923,[5/14608],Administrative file,
,Adamstown,1924-1933,[5/14609],"Administrative file (2 bundles, A and B)",
,Adamstown,1933-1939,[5/14610],Administrative file,
,Adamstown,1933-1939,[5/14611],Administrative file,
,Adamstown Heights,Post 1939,[14/7244],Administrative file,
,Adare,1910-1922,[5/14612.1],Administrative file,
,Adavale,1951-1964,[1/9671],Stock Book,
,Adavale,18.4.1944-10.12.1964,[1/9672],Visitors' book,
,Adavale,11.9.1951-28.1.1964,[1/9673],Admission register,
,Adavale,1912-1935,[5/14612.2],Administrative file,
,Adavale West,-,[5/18285],Proposed school,
,Adelong,Post 1939,[14/7244],Administrative file,
,Adelong,1876-1903,[5/14612.3],Administrative file,
,Adelong,1903-1929,[5/14613],"Administrative file (2 bundles, A and B)",
,Adelong,1929-1939,[5/14614.1],Administrative file,
,Adelong Crossing,1884-1911,[5/14614.3],Administrative file,
,Adelong Grove,1888-1905,[5/14615.1],Administrative file,
,Adelong R.C.,1878-1882,[5/14614.2],Administrative file,
,Adelong Road,-,[5/18285],Proposed school,
,Adelong Upper,1904-1920,[5/14615.2],Administrative file,
,Afterlee,Post 1939,[14/7244],Administrative file,
,Afterlee,1932-1939,[5/14615.3],Administrative file,
,Agnes Banks,1923-1970,[1/10105],Admission register,
,Agnes Banks,1926-1957,[1/10106],Punishment book,
,Agnes Banks,1924-1938,[1/10107],Observation book,
,Agnes Banks,1947-1968,[1/10108],Observation book,
,Agnes Banks,1923-1949,[1/10109],Visitors' book,
,Agnes Banks,Post 1939,[14/7244],Administrative file,
,Agnes Banks,1922-1939,[5/14616.1],Administrative file,
,Ahdaman,Post 1939,[14/7244],Administrative file,
,Ahdaman,1918-1939,[5/14616.2],Administrative file,
,Ainslie,Post 1939,[14/7244],Administrative file,
,Ainslie,1913-1939,[5/14616.3],Administrative file,
,Ainslie North,Post 1939,[14/7245],Administrative file,
,Airds High,Post 1939,[14/7245],Administrative file,
,Airlie Brake,Post 1939,[14/7245],Administrative file,
,Airlie Brake,1886-1939,[5/14617.2],Administrative file,
,Airlie [Estate],1919-1932,[5/14617.1],Administrative file,
,Airly,1902-1922,[5/14617.3],Administrative file,
,Ajanbella,1898,[5/14617.4],Administrative file,
,Akhtiar,1899-1902,[5/14617.5],Administrative file,
,Albert,1920-1972,[1/8560],Admission register,
,Albert,1920-1971,[1/8561],Punishment Book,
,Albert,1958-1970,[1/8562],Visitors' book,
,Albert,Post 1939,[14/7245],Administrative file,
,Albert,1918-1939,[5/14617.6],Administrative file,
,Albert Park,Post 1939,[14/7245],Administrative file,
,Albert Road,Post 1939,[14/7246],Administrative file,
,Albertia,1898-1917,[5/14618.1],Administrative file,
,Albion,1906-1915,[5/14618.2],Administrative file,
,Albion Park,Post 1939,[14/7246],Administrative file,
,Albion Park,9.7.1872-29.10.1914,[40/2054],Admission register,
,Albion Park,1876-1939,[5/14618.3],Administrative file,
,Albion Park Rail,Post 1939,[14/7246],Administrative file,
,Albion Street,Post 1939,[14/7246],Administrative file,
,Albion Street,1884-1905,[5/14619],"Administrative file (2 bundles, A and B)",
,Albion Street,1906-1918,[5/14620],"Administrative file (2 bundles, A and B)",
,Albion Street,1918-1939,[5/14621],"Administrative file (2 bundles, A and B)",
,Albion Street Infants,1944,[1/10101],Programme and lesson register,
,Albion Street Infants,1946,[1/10102],Programme and lesson register,
,Albion Street Infants,1947,[1/10103],Programme and lesson register,
,Albion Street Infants,1948,[1/10104],Programme and lesson register,
,Albion Street Infants,27.10.1927-22.6.1944,[1/4152],Observation book,
,Albion Street Infants,28.3.1927-25.11.1935,[1/4156],Admission register,
,Albion Street Infants,3.2.1936-16.11.1943,[1/4157],Admission register,
,Albion Street Infants,1927-1933,[1/4158],Examination book,
,Albion Street Infants,1927-1928,[1/4163],Programme and lesson register,
,Albion Street Infants,1927-1928,[1/4164],Programme and lesson register,
,Albion Street Infants,1927-1928,[1/4165],Programme and lesson register,
,Albion Street Infants,1928,[1/4184],Programme and lesson register,
,Albion Street Infants,1928-1929,[1/4201],Programme and lesson register,
,Albion Street Infants,1929,[1/4218],Programme and lesson register,
,Albion Street Infants,1929-1930,[1/4219],Programme and lesson register,
,Albion Street Infants,1930,[1/4229],Programme and lesson register,
,Albion Street Infants,1930,[1/4230],Programme and lesson register,
,Albion Street Infants,1931,[1/4263],Programme and lesson register,
,Albion Street Infants,1932,[1/4304],Programme and lesson register,
,Albion Street Infants,1932,[1/4326],Programme and lesson register,
,Albion Street Infants,1933,[1/4453],Programme and lesson register,
,Albion Street Infants,1934,[1/4475],Programme and lesson register,
,Albion Street Infants,1934,[1/4480],Programme and lesson register,
,Albion Street Infants,1935,[1/4752],Programme and lesson register,
,Albion Street Infants,1935,[1/4755],Programme and lesson register,
,Albion Street Infants,1936,[1/4811],Programme and lesson register,
,Albion Street Infants,1937-1939,[1/4848],Programme and lesson register,
,Albion Street Infants,1939,[1/4945],Programme and lesson register,
,Albion Street Infants,1939,[1/4971],Programme and lesson register,
,Albion Street Infants,1942,[1/4972],Programme and lesson register,
,Albion Street Infants,1942,[1/4973],Programme and lesson register,
,Albion Street Infants,1943,[1/4974],Programme and lesson register,
,Albion Street Infants,1943,[1/4975],Programme and lesson register,
,Albion Street Infants,1943,[1/4978],Programme and lesson register,
,Albury,1965-1968,[1/7667],Examination book,
,Albury,1966,[1/7616],Programme and lesson register,
,Albury,1968-1970,[1/7668],Examination book,
,Albury,1966,[1/7617],Programme and lesson register,
,Albury,1969-1970,[1/7669],Examination book,
,Albury,1966,[1/7618],Programme and lesson register,
,Albury,1969-1970,[1/7670],Examination book,
,Albury,1966,[1/7619],Programme and lesson register,
,Albury,Post 1939,[14/7247],"Administrative file (2 bundles, A and B)",
,Albury,1966,[1/7620],Programme and lesson register,
,Albury,1876-1899,[5/14622],"Administrative file (2 bundles, A and B)",
,Albury,1967,[1/7621],Programme and lesson register,
,Albury,1899-1914,[5/14623],"Administrative file (2 bundles, A and B)",
,Albury,1967,[1/7622],Programme and lesson register,
,Albury,1914-1919,[5/14624],"Administrative file (2 bundles, A and B)",
,Albury,1968,[1/7623],Programme and lesson register,
,Albury,1919-1927,[5/14625],"Administrative file (2 bundles, A and B)",
,Albury,1968,[1/7624],Programme and lesson register,
,Albury,1928-1931,[5/14626],"Administrative file (2 bundles, A and B)",
,Albury,1970,[1/7625],Programme and lesson register,
,Albury,1932-1939,[5/14627],"Administrative file (2 bundles, A and B)",
,Albury,1970,[1/7626],Programme & Lesson register,
,Albury,1970,[1/7627],Programme and lesson register,
,Albury,1970,[1/7628],Programme and lesson register,
,Albury,1965,[1/7629],Visitors' book,
,Albury,1925-1932,[1/7630],Observation book,
,Albury,1905-1924,[1/7631],Observation book,
,Albury,1933-1945,[1/7632],Observation book,
,Albury,1930-1933,[1/7633],Comments and suggestions book,
,Albury,1930-1935,[1/7634],Comments and suggestions book,
,Albury,1936-1939,[1/7635],Comments and suggestions book,
,Albury,1940-1942,[1/7636],Comments and suggestions book,
,Albury,1942-1945,[1/7637],Comments and suggestions book,
,Albury,1943-1944,[1/7638],Comments and suggestions book,
,Albury,1946-1948,[1/7639],Comments and suggestions book,
,Albury,1945-1947,[1/7640],Comments and suggestions book,
,Albury,1948-1969,[1/7641],Punishment Book,
,Albury,1918-1936,[1/7642],Admission register,
,Albury,1937-1963,[1/7643],Admission register,
,Albury,1952-1963,[1/7644],Admission register,
,Albury,1969,[1/7645],Programme and lesson register,
,Albury,1940-1944,[1/7646],Examination book,
,Albury,1941-1943,[1/7647],Examination book,
,Albury,1946-1957,[1/7648],Examination book,
,Albury,1950-1957,[1/7649],Examination book,
,Albury,1955,[1/7650],Examination book,
,Albury,1958-1961,[1/7651],Examination book,
,Albury,1964,[1/7652],Examination book,
,Albury,1960-1964,[1/7653],Examination book,
,Albury,1961-1963,[1/7654],Examination book,
,Albury,1962-1966,[1/7655],Examination book,
,Albury,1964-1966,[1/7656],Examination book,
,Albury,1965-1966,[1/7657],Examination book,
,Albury,1965-1967,[1/7658],Examination book,
,Albury,1965-1967,[1/7659],Examination book,
,Albury,1965,[1/7660],Examination book,
,Albury,1965-1967,[1/7661],Examination book,
,Albury,1965,[1/7662],Examination book,
,Albury,1965-1966,[1/7663],Examination book,
,Albury,1965-1967,[1/7664],Examination book,
,Albury,1965-1968,[1/7665],Examination book,
,Albury,1961-1968,[1/7666],Examination book,
,Albury,1966,[1/7615],Programme and lesson register,
,Albury High,1940-1943,[14/7247],Administrative file,
,Albury High,1940-1979,[14/7248],Administrative file,
,Albury High,1914-1926,[5/14628.2],"Administrative file (2 bundles, A and B)",
,Albury High,1926-1932,[5/14629],"Administrative file (2 bundles, A and B)",
,Albury High and Hostel,1932-1937,[5/14630],"Administrative file (2 bundles, A and B)",
,Albury High and Hostel,1938-1939,[5/14631],"Administrative file (2 bundles, A and B)",
,Albury North,Post 1939,[14/7249],Administrative file,
,Albury North,1925-1939,[5/14632.1],Administrative file,
,Albury North High,Post 1939,[14/7250],Administrative file,
,Albury R.C.,1876-1882,[5/14628.1],Administrative file,
,Albury Road,-,[5/18285],Proposed school,
,Albury West,Post 1939,[14/7250],Administrative file,
,Albury West,1933-1939,[5/14632.2],Administrative file,
,Alcheringa,1913-1936,[5/14632.3],Administrative file,
,Aldavilla,30.9.1885-17.2.1937,[1/8728],Visitors' book,
,Aldavilla,6.9.1916-3.5.1963,[1/8729],Visitors' book,
,Aldavilla,22.5.1906-18.6.1926,[1/8730],Observation book,
,Aldavilla,19.9.1928-13.5.1944,[1/8731],Observation book,
,Aldavilla,11.7.1947-26.3.1962,[1/8732],Observation book,
,Aldavilla,9.7.1888-19.8.1907,[1/8733],Punishment Book,
,Aldavilla,2.3.1909-12.10.1962,[1/8734],Punishment book,
,Aldavilla,14.8.1922-18.3.1963,[1/8735],Admission register,
,Aldavilla,Post 1939,[14/7250],Administrative file,
,Aldavilla,1876-1939,[5/14633.1],Administrative file,
,Alectown,1941-1945,[1/3709],Half yearly exam book,
,Alectown,1946-1962,[1/3710],Half yearly exam book,
,Alectown,1964-1966,[1/3711],Record of events,
,Alectown,1914-20.11.1973,[1/8704],Admission register,
,Alectown,27.3.1907-5.9.1928,[1/8705],Observation book,
,Alectown,2.8.1929-3.5.1946,[1/8706],Observation book,
,Alectown,5.7.1948-26.6.1969,[1/8707],Observation book,
,Alectown,2.4.1925-23.3.1971,[1/8708],Punishment Book,
,Alectown,1.10.1891-12.8.1959,[1/8709],Visitors' book,
,Alectown,7.8.1959-13.12.1974,[1/8710],Visitors' book,
,Alectown,Post 1939,[14/7250],Administrative file,
,Alectown,1890-1939,[5/14633.2],Administrative file,
,Alectown Road,-,[5/18285],Proposed school,
,Alectown West,-,[5/18285],Proposed school,
,Alexandra Park,-,[5/18285],Proposed school,
,Alexandria,1886-1908,[5/14634],"Administrative file (2 bundles, A and B)",
,Alexandria,1908-1918,[5/14635],"Administrative file (2 bundles, A and B)",
,Alexandria,1918-1932,[5/14636],"Administrative file (2 bundles, A and B)",
,Alexandria,1932-1939,[5/14637],"Administrative file (2 bundles, A and B)",
,Alexandria,Post 1939,[14/7250],Administrative file,
,Alexandria Public School,1992-1993,[NRS 18973],Register Of Admission,
,Alfredtown,1880-1912,[5/14638.1],Administrative file,
,Alice,-,[5/18285],Proposed school,
,Aliceton,1883-1907,[5/14638.2],Administrative file,
,Alipou Creek,-,[5/18285],Proposed school,
,Alison (1) - (2),1908-1939,[5/14639.1],Administrative file,
,Alisons Siding,-,[5/18285],Proposed school,
,Aliwal,1884-1897,[5/14639.2],Administrative file,
,Allambie Heights,Post 1939,[14/7251],Administrative file,
,Allambie Road,-,[5/18285],Proposed school,
,Allambie SSP,Post 1939,[14/7251],Administrative file,
,Allan Cunningham,1909-1911,[5/14639.3],Administrative file,
,Allandale,Post 1939,[14/7251],Administrative file,
,Allandale,1882-1939,[5/14639.4],Administrative file,
,Alleena,8.8.1956-9.12.1965,[1/10280 part],Closing of School Papers; Disposal of site; Inspection Reports,
,Alleena,1941-1960,[1/6463],Observation book,
,Alleena,1952-1959,[1/6464],Examination book,
,Alleena,1926-1960,[1/6465],Visitors' book,
,Alleena,1925-1939,[5/14640.1],Administrative file,
,Alleena,Post 1939,[14/7251],Administrative file,
,Alleena Public School,1925-1960,[NRS 19199],Register of Admission,
,Alleena Public School,1926-1940,[NRS 19251],Observation Book,
,Allgomera Creek,Post 1939,[14/7251],Administrative file,
,Allgomera Creek,1920-1937,[5/14640.2],Administrative file,
,Allworth,Post 1939,[14/7251],Administrative file,
,Allworth,1914-1939,[5/14640.3],Administrative file,
,Allyn Upper,1905-1905,[5/14640.5],Administrative file,
,Allynbrook,29.10.1913-20.10.1969,[1/4812],Visitors' book. Record at University of Newcastle,
,Allynbrook,18.8.1922-5.6.1970,[1/4813],Punishment Book Record at University of Newcastle.,
,Allynbrook,22.2.1969-1.11.1971,[1/7989],Visitors' book. Record at University of Newcastle,
,Allynbrook,4.11.1937-31.12.1969,[1/7990],Observation book. Record at University of Newcastle.,
,Allynbrook,30.7.1920-30.11.1971,[1/7991],Admission Register. Record at University of Newcastle.,
,Allynbrook,Post 1939,[14/7251],Administrative file,
,Allynbrook,1908-1939,[5/14640.4],Administrative file,
,Alma,Post 1939,[14/7251],Administrative file,
,Alma,1888-1898,[5/14641],"Administrative file (2 bundles, A and B)",
,Alma,1898-1913,[5/14642],"Administrative file (2 bundles, A and B)",
,Alma,1913-1924,[5/14643],"Administrative file (2 bundles, A and B)",
,Alma,1924-1939,[5/14644],"Administrative file (2 bundles, A and B)",
,Alma  (Broken Hill South),1962-1963,[1/7316],Minute book - staff meetings,
,Alma (Broken Hill South),1964,[1/7295],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7296],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7297],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7298],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7299],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7300],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7301],Programme and lesson register,
,Alma (Broken Hill South),1965,[1/7302],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7303],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7304],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7305],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7306],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7307],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7308],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7309],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7310],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7311],Programme and lesson register,
,Alma (Broken Hill South),1966,[1/7312],Programme and lesson register,
,Alma (Broken Hill South),1958-1961,[1/7313],Visitors' book,
,Alma (Broken Hill South),1950-1962,[1/7314],Visitors' book,
,Alma (Broken Hill South),1962-1968,[1/7315],Visitors' book,
,Alma (Broken Hill South),1960-1967,[1/7317],Punishment Book,
,Alma (Broken Hill South),1928-1964,[1/7318],Punishment Book,
,Alma (Broken Hill South),1933-1956,[1/7319],Admission register,
,Alma (Broken Hill South),1952-1965,[1/7320],Admission register,
,Alma (Broken Hill South),1956-1970,[1/7321],Speech Night booklet - 1969 and Girls Uniform design,
,Alma (Broken Hill South),1955-1965,[1/7322],Admission register,
,Alma (Broken Hill South),1958-1961,[1/7323],Minute book - staff meetings,
,Alma (Broken Hill South),1942-1956,[1/7324],Admission register,
,Alma (Broken Hill South),1957-1969,[1/7325],Admission register,
,Alma (Broken Hill South),1965-1965,[1/7326],Punishment Book,
,Alma (Broken Hill South),1890-1967,[1/7276],School history,
,Alma (Broken Hill South),1960,[1/7286A],Programme and lesson register,
,Alma (Broken Hill South),1960,[1/7287],Programme and lesson register,
,Alma (Broken Hill South),1960,[1/7288],Programme and lesson register,
,Alma (Broken Hill South),1961,[1/7289],Programme and lesson register,
,Alma (Broken Hill South),1962,[1/7290],Programme and lesson register,
,Alma (Broken Hill South),1962,[1/7291],Programme and lesson register,
,Alma (Broken Hill South),1962,[1/7292],Programme and lesson register,
,Alma (Broken Hill South),1963,[1/7293],Programme and lesson register,
,Alma (Broken Hill South),1964,[1/7294],Programme and lesson register,
,Alma Park,1928-1975,[1/10316],Visitors' book,
,Alma Park,1923-1975,[1/10317],Admission register,
,Alma Park,Post 1939,[14/7252],Administrative file,
,Alma Park,1906-1939,[5/14645.1],Administrative file,
,Alnwick,-,[5/18285],Proposed school,
,Alpine (Camp No.5),1915-1919,[5/14645.2],Administrative file,
,Alstonville,Post 1939,[14/7252],Administrative file,
,Alstonville,1879-1894,[5/14645.3],Administrative file,
,Alstonville,1895-1931,[5/14646],"Administrative file (2 bundles, A and B)",
,Alstonville,1931-1939,[5/14647.1],Administrative file,
,Altcar,Pre 1939,[5/14647.2],Administrative file,
,Alum Creek,Pre 1939,[5/14647.3],Administrative file,
,Alumny Creek,17.8.1896-6.11.1968,[1/4212],Punishment Book,
,Alumny Creek,1.5.1885-22.8.1912,[1/4213],Visitors' book,
,Alumny Creek,11.9.1912-12.12.1933,[1/4214],Visitors' book,
,Alumny Creek,14.2.1934-25.10.1968,[1/4215],Visitors' book,
,Alumny Creek,18.4.1928-20.8.1956,[1/4216],Observation book,
,Alumny Creek,28.3.1960-26.4.1968,[1/4217],Observation book,
,Alumny Creek,1945-1964,[1/4220],Half-yearly exam book,
,Alumny Creek,1966-1968,[1/4221],Half-yearly exam book,
,Alumny Creek,Post 1939,[14/7252],Administrative file,
,Alumny Creek,1876-1917,[5/14647.4],Administrative file,
,Alumny Creek,1917-1939,[5/14648.1],Administrative file,
,Alumny Creek,1943-1948,[1/4204],Class roll,
,Alumny Creek,1948-1954,[1/4205],Class roll,
,Alumny Creek,1955-1960,[1/4206],Class roll,
,Alumny Creek,1961-1964,[1/4207],Class roll,
,Alumny Creek,1965-1969,[1/4208],Class roll,
,Alumny Creek,16.1.1877-12.12.1907,[1/4209],Admission register,
,Alumny Creek,17.7.1899-2.8.1943,[1/4210],Admission register,
,Alumny Creek,2.2.1937-28.1.1969,[1/4211],Admission register,
,Amarina,-,[5/18285],Proposed school,
,Amaroo,1908-1969,[1/5865],Punishment Book,
,Amaroo,1967-1969,[1/5866],Visitors' book,
,Amaroo,1952-1967,[1/7532],Observation book,
,Amaroo,1969,[1/7533],Examination papers,
,Amaroo,1906-1966,[1/7534],Visitors' book,
,Amaroo,1924-1969,[1/7535],Admission register,
,Amaroo,1962,[1/7536],Programme and lesson register,
,Amaroo,1964,[1/7537],Programme and lesson register,
,Amaroo,1966,[1/7538],Programme and lesson register,
,Amaroo,1967,[1/7539],Programme and lesson register,
,Amaroo,1967,[1/7540],Programme and lesson register,
,Amaroo,Post 1939,[14/7252],Administrative file,
,Amaroo,Pre 1939,[5/14648.2],Administrative file,
,Amateur Athletics Association,-,[5/16175],Administrative file,
,Ambarvale,Post 1939,[14/7252],Administrative file,
,Amosfield,1944-1958,[1/10769],Observation book,
,Amosfield,16.9.1925-11.10.1966,[1/3824],Punishment Book,
,Amosfield,29.1.1912-17.4.1968,[1/3825],Admission register,
,Amosfield,25.11.1927-13.12.1943,[1/4150],Observation book,
,Amosfield,Post 1939,[14/7252],Administrative file,
,Amosfield,Pre 1939,[5/14649.1],"Administrative file (2 bundles, A and B)",
,Amungula,Pre 1939,[5/14649.2],Administrative file,
,Anabranch,Post 1939,[14/7252],Administrative file,
,Anabranch,8.2.1966-10.2.1971,[32/2165.1],Admission register,
,Anabranch,2.12.1966-19.11.1970,[32/2165.2],Observation book,
,Anarel,8.11.1949,[1/10795 part],Punishment Book,
,Anarel,30.1.1945-17.9.1951,[1/10856 part],Admission Register,
,Anarel,Post 1939,[14/7252],Administrative file,
,Anarel,30.1.1945-17.9.1951,[38/2408],Admission register (also contains admissions for Crown View 31.1.1933 - 15.10.1934). Record at University of Newcastle.,
,Anarel,31.01.1933-15.10.1934,[38/2804],See Crown View for Admissions,
,Anarel,Pre 1939,[5/14650.1],Administrative file,
,Andalini SSP,Post 1939,[14/7252],Administrative file,
,Andersons Flat,-,[5/18285],Proposed school,
,Ando,Post 1939,[14/7252],Administrative file,
,Ando,Pre 1939,[5/14648.2],Administrative file,
,Anembo,Post 1939,[14/7253],Administrative file,
,Anembo,Pre 1939,[5/14651.1],Administrative file,
,"Angle, The",Pre 1939,[5/14648.2],Administrative file,
,Angledale,13.10.1924-1.4.1953,[39/2042.2],Observation book,
,Angledale,14.9.1954-15.2.1965,[39/2042.3],Admission register,
,Angledale,1.3.1955-3.12.1964,[39/2042.4],Observation book,
,Angledale,3.3.1938-2.5.1960,[39/2058],Admission register,
,Angledale,1879-1918,[5/14652.1],Administrative file,
,Angledale,Post 1939,[14/7253],Administrative file,
,Angledale,2.3.1917-22.10.1959,[39/2042.1],Punishment Book,
,Angledool,1918-1939,[5/14652.1],Administrative file,
,Angledool,1881-1912,[5/14652.2],"Administrative file (2 bundles, A and B)",
,Angledool,1913-1939,[5/14653.1],Administrative file,
,Anglewood,Post 1939,[14/7253],Administrative file,
,Angowrie,Pre 1939,[5/14653.2],Administrative file,
,Angus Place,1961-1966,[1/8363],Visitors' book,
,Angus Place,1961-1966,[1/8364],Punishment Book,
,Angus Place,Post 1939,[14/7253],Administrative file,
,Angus Place,Pre 1939,[5/14653.3],Administrative file,
,Anna Bay,Post 1939,[14/7253],Administrative file,
,Anna Bay,Pre 1939,[5/14654.1],Administrative file,
,Anna Bay Lower,Pre 1939,[5/14654.2],Administrative file,
,Annandale,Post 1939,[14/7253],Administrative file,
,Annandale,1886-1892,[5/14654.3],Administrative file,
,Annandale,1892-1903,[5/14655],"Administrative file (2 bundles, A and B)",
,Annandale,1903-1915,[5/14656],"Administrative file (2 bundles, A and B)",
,Annandale,1915-1919,[5/14657],"Administrative file (2 bundles, A and B)",
,Annandale,1920-1931,[5/14658],"Administrative file (2 bundles, A and B)",
,Annandale,1932-1939,[5/14659],"Administrative file (2 bundles, A and B)",
,Annandale North,Post 1939,[14/7254],Administrative file,
,Annandale North,1879-1913,[5/14660],"Administrative file (2 bundles, A and B)",
,Annandale North,1914-1921,[5/14661],"Administrative file (2 bundles, A and B)",
,Annandale North,1921-1933,[5/14662],"Administrative file (2 bundles, A and B)",
,Annandale North,1934-1939,[5/14663],"Administrative file (2 bundles, A and B)",
,Annangrove,Post 1939,[14/7254],Administrative file,
,Annangrove,Pre 1939,[5/14664.1],Administrative file,
,Anona,1958-1971,[1/7949],Admission register,
,Anona,Post 1939,[14/7254],Administrative file,
,Anona,Pre 1939,[5/14664.2],Administrative file,
,Anson,Pre 1939,[5/14664.3],Administrative file,
,Anson Street,Post 1939,[14/7254],Administrative file,
,Antiene,Post 1939,[14/7254],Administrative file,
,Antiene,Pre 1939,[5/14664.4],Administrative file,
,Antonio Creek,Pre 1939,[5/14664.5],Administrative file,
,Apostles (Yards) Bridge,1946-1966,[1/3621],Visitors' book,
,Apostles (Yards) Bridge,1954-1963,[1/3622],Punishment book,
,Apostles (Yards) Bridge,2.2.1937-28.1.1969,[1/3623],Admission register,
,Apostles (Yards) Bridge,1968-1969,[1/3629],Stock Book,
,Apostles (Yards) Bridge,Post 1939,[14/7255],Administrative file,
,Apostles (Yards) Bridge,Pre 1939,[5/14664.6],Administrative file,
,Appendoon,Post 1939,[14/7255],Administrative file,
,Appendoon,Pre 1939,[5/14665.1],Administrative file,
,Appin,Post 1939,[14/7255],Administrative file,
,Appin,Pre 1939,[5/14665.2],Administrative file,
,Apple Tree Clump,Pre 1939,[5/14666.3],Administrative file,
,Apple Tree Flat,Pre 1939,[5/14666.4],Administrative file,
,Applecross,Pre 1939,[5/14666.1],Administrative file,
