Surname,FirstName,Hotel,Locality,Year,Day/Month,License,Citation,Remarks
ADAMS,Henry,Woolpack Inn,"Sydney Road, Little Billy Bong, District of Albury",1856,6 May,0083,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Albury
ADAMS,Henry,Black Horse,East Maitland,1843,19 June,0120,NRS 14401 [4/75]; Reel 5058,
ADAMS,William,Clarence (Steamer),Between Sydney and Morpeth and coastwise,1858,August,0021,NRS 14403 [7/1511]; Reel 1241,Packet license
AGLAND,James,"Australian Inn, The","Frederick Valley, District of Orange",1858,20 April,0446,NRS 14403 [7/1509]; Reel 1240,
AIKINS,John,"Denison Hotel, The",West Maitland,1858,20 April,0134,NRS 14403 [7/1509]; Reel 1240,
AIKINSTALL,Henry,"Constitution Inn, The","York Street, Sydney",1858,27 April,0660,NRS 14403 [7/1510]; Reel 1240,
AINSWORTH,Thomas,-,"Richmond Heads, District of Casino",1853,13 September,1111,NRS 14403 [4/86]; Reel 5064,
AINSWORTH,Thomas,Sailors Home,"Richmond Heads, District of Casino",1856,15 April,0175,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Casino
AINSWORTH,Thomas,"Sailors Home, The","Richmond Heads, District of Casino",1856,15 April,0175,NRS 14403 [7/1504]; Reel 1237,
AINSWORTH,Thomas,"Sailors Home, The","Richmond Heads, District of Casino",1854,18 April,0406,NRS 14403 [4/88]; Reel 5065,
AIR,John,"Dundee Arms, The","Gloucester Street, Sydney",1838,3 July,0243,NRS 14401 [4/69]; Reel 5054,or Dunbarton Castle
AIR,John,Dundee Arms,Sydney,1841,23 June,0265,NRS 14401 [7/1501]; Reel 1236,Transferred to John WRIGHT
AIR,John,"Dundee Arms, The","Gloucester Street, Sydney",1839,22 June,0234,NRS 14401 [4/70]; Reel 5055,"or Dunbarton Castle, The"
AIR,John,"Dundee Arms, The","Gloucester Street, Sydney",1837,13 July,0376,NRS 14401 [4/68]; Reel 5053,or Dunbarton Castle
AITKEN,David George,"Waverly Tea Gardens, The","Waverly, District of Sydney",1855,27 April,0754,NRS 14403 [7/1502]; Reel 1236,
AITKEN,David George,"Sportsman's Arms, The","Golden Point, Turon River, District of Sofala",1853,26 April,0690,NRS 14403 [4/85]; Reel 5064,
AITKENHEAD,William,Emu,"George and Bathurst Streets, Sydney",1844,28 June,0316,NRS 14401 [4/76]; Reel 5059,"or AKINHEAD; or AITKENHEAD; Emu Inn, 1842, 1843, 1845"
AITKENHEAD,William,Emu Inn,"George and Bathurst Streets, Sydney",1846,29 June,0389,NRS 14401 [4/80]; Reel 5060,"or AITKINHEAD; or AKINHEAD; Emu, 1844"
AITKENHEAD,William,Emu Inn,"George and Bathurst Streets, Sydney",1848,28 June,0471,NRS 14401 [4/83]; Reel 5062,
AITKENHEAD,William,Emu Inn,"George and Bathurst Streets, Sydney",1847,29 June,0427,NRS 14401 [4/81]; Reel 5061,
AITKIN,David George,Waverly Tea Gardens,"Waverly, District of Sydney",1856,15 April,0946,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
AITKIN,David George,"Waverly Tea Gardens, The","Waverly, District of Sydney",1856,24 April,0946,NRS 14403 [7/1506]; Reel 1238,
AITKIN,David George,Waverley Tea Gardens,"Waverley, District of Sydney",1858,4 May,0897,NRS 14403 [7/1510]; Reel 1240,
AITKINHEAD,William,Emu Inn,"George Street, Sydney",1843,27 June,0254,NRS 14401 [4/75]; Reel 5058,"or AKINHEAD; Emu, 1844"
AITKINHEAD,William,"Emu Inn, The","George Street, Sydney",1842,29 June,0370,NRS 14401 [4/74]; Reel 5057,"or AKINHEAD; or AITKENHEAD; Emu, 1844"
AITKINHEAD,William,Emu Inn,"George and Bathurst Streets, Sydney",1845,24 June,0189,NRS 14401 [4/77]; Reel 5059,"or AKINHEAD; Emu, 1844"
AITON,John,"Unity Hall, The","Balmain, District of Sydney",1860,17 April,0771,NRS 14403 [7/1513]; Reel 1242,
AITON,John,"Unity Hall, The","Balmain, District of Sydney",1854,27 April,0592,NRS 14403 [4/88]; Reel 5065,
AITON,John,Unity Hall,"Balmain, District of Sydney",1856,15 April,0603,NRS 14403 [7/1507]; Reel 1239,604 on List of Certificates under Sydney
AITON,John,Unity Hall,"Balmain, District of Sydney",1856,24 April,0603,NRS 14403 [7/1505]; Reel 1238,
AITON,John,Unity Hall,"Balmain, District of Sydney",1858,27 April,0628,NRS 14403 [7/1510]; Reel 1240,
AITON,Mary,"Unity Hall, The","Balmain, District of Sydney",1853,28 April,0153,NRS 14403 [4/84]; Reel 5063,
AITON,Thomas,Crispian Arms,"Clarence Street, Sydney",1836,11 July,0310,NRS 14401 [4/67]; Reel 5053,"or AYTON or ATEN; or Crispins Arms, or Crispan or Crispin Arms"
AITON,Thomas,"Crispins Arms, The","Clarence Street, Sydney",1839,20 June,0222,NRS 14401 [4/70]; Reel 5055,"or AYTON or ATEN; or Crispin Arms, or Crispan or Crispian"
AITON,Thomas,Union Hall,"Balmain, District of Sydney",1848,15 June,0114,NRS 14401 [4/82]; Reel 5062,
AITON,Thomas,Unity Hall,Balmain,1846,22 July,0598,NRS 14401 [4/80]; Reel 5060,
AITON,Thomas,Erin go Bragh,"York and Druitt Streets, Sydney",1845,24 June,0183,NRS 14401 [4/77]; Reel 5059,
AITON,Thomas,"Crispins Arms, The","Sussex Street, Sydney",1836,4 April,0427,NRS 14401 [4/66]; Reel 5052,"40/- license; see Crispin, 1832-33; Crispins Arms, 1834-40"
AITON,Thomas,"Crispin Arms, The","Clarence Street, Sydney",1838,5 July,0337,NRS 14401 [4/69]; Reel 5054,"or AYTON or ATEN; or Crispins Arms, or Crispan or Crispian"
AITON,Thomas,"Crispins Arms, The","Clarence Street, Sydney",1834,28 June,0091,NRS 14401 [4/65]; Reel 5052,"or AYTON; see Crispin, 1832-33"
AITON,Thomas,"Crispin Arms, The","Clarence Street, Sydney",1842,10 June,0083,NRS 14401 [4/74]; Reel 5057,"or AYTON or ATEN; or Crispins Arms, or Crispan or Crispian"
AITON,Thomas,"Crispan Arms, The","Clarence Street, Sydney",1835,3 January,0419,NRS 14401 [4/65]; Reel 5052,"40/- license; removal of license; re license number 91; or AYTON or ATEN; or Crispins Arms, or Crispan or Crispin"
AITON,Thomas,Unity Hall,"Balmain, Sydney",1847,10 June,0077,NRS 14401 [4/79]; Reel 5061,
AITON,Thomas,Crispin Arms,"Clarence Street, Sydney",1840,16 June,0155,NRS 14401 [4/72]; Reel 5056,"or AYTON or ATEN; or Crispins Arms, or Crispan or Crispian"
AITON,Thomas,"Crispin, The","Clarence Street, Sydney",1833,13 July,0344,NRS 14401 [4/64]; Reel 5051,"or AYTON; see Crispins Arms, 1834-40"
AKEHURST,Janet Harriett,Star Inn,"Philip and Hunter Streets, Sydney",1858,27 April,0752,NRS 14403 [7/1510]; Reel 1240,
AKENHEAD,William,"Cottage of Content, The","Pitt and Bathurst Streets, Sydney; Pitt Street, 1837",1838,2 July,0212,NRS 14401 [4/69]; Reel 5054,or AITKINHEAD
AKINHEAD,William,"Cottage of Content, The","Pitt and Bathurst Streets, Sydney; Pitt Street, 1837",1839,26 June,0315,NRS 14401 [4/70]; Reel 5055,or AITKENHEAD
AKINHEAD,William,"Cottage of Content, The","Pitt and Bathurst Streets, Sydney; Pitt Street, Sydney, 1837",1837,10 July,0319,NRS 14401 [4/68]; Reel 5053,or AITKENHEAD
ALCORN,Edward,Queen Victoria,"Jerrys Plain, Patricks Plains, Singleton",1840,9 June,0109,NRS 14401 [4/72]; Reel 5056,"Queen Victoria Inn, 1845"
ALCORN,Edward,"Caledonian Hotel, The","George Street Singleton, District of Patricks Plains",1853,19 April,0299,NRS 14403 [4/84]; Reel 5063,
ALCORN,Edward,Queen Victoria,Jerrys Plains,1841,8 June,0094,NRS 14401 [7/1501]; Reel 1236,
ALCORN,Patrick,Queen Victoria Inn,"Jerry's Plains, District of Singleton",1848,27 June,0432,NRS 14401 [4/83]; Reel 5062,
ALCORN,Richard,-,"Jerrys Plains, District of Patricks Plains",1854,18 April,0674,NRS 14403 [4/88]; Reel 5065,
ALCORN,Richard,Greyhound,"Falbrook, Dulwich, Patricks Plains",1835,1 July,0173,NRS 14401 [4/66]; Reel 5052,or ALLCORN
ALCORN,Richard,"Queen Victoria, The","Jerry's Plain, Patricks Plains, Singleton",1838,3 July,0262,NRS 14401 [4/69]; Reel 5054,"or ALLCORN; Queen Victoria Inn, 1845"
ALCORN,Richard,"Queen Victoria, The","Jerrys Plains, Singleton; Patricks Plains",1847,21 June,0136,NRS 14401 [4/79]; Reel 5061,"or ALLCORN; Queen Victoria Inn, 1845"
ALCORN,Richard,"Greyhound, The","Falbrook, Dulwich, Patricks Plains",1834,5 July,0247,NRS 14401 [4/65]; Reel 5052,or ALLCORN
ALCORN,Richard,"Greyhound, The","Darlington, Hunters River",1832,27 July,0307,NRS 14401 [4/63]; Reel 5050,or ALCOM; or ALLCORN
ALCORN,Richard,"Greyhound, The","Falbrook, Dulwich, Patricks Plains",1833,28 June,0065,NRS 14401 [4/64]; Reel 5051,or ALLCORN
ALCORN,Richard,"Victoria, The","Jerrys Plains, Singleton",1846,22 June,0169,NRS 14401 [4/78]; Reel 5060,"Queen Victoria Inn, 1845; Queen Victoria, 1838-44"
ALCORN,Richard,Queen Victoria,"Jerrys Plain, Patricks Plains, Singleton",1844,27 June,0265,NRS 14401 [4/76]; Reel 5059,"or ALLCORN; Queen Victoria Inn, 1845"
ALCORN,Richard,Greyhound,"Falbrook, Dulwich, Patricks Plains",1836,11 July,0311,NRS 14401 [4/67]; Reel 5053,or ALLCORN
ALCORN,Richard,"Queen Victoria Inn, The","Jerrys Plains, District of Patricks Plains",1853,19 April,1118,NRS 14403 [4/86]; Reel 5064,
ALCORN,Richard,"Queen Victoria, The","Jerrys Plain, Patricks Plains, Singleton",1839,27 June,0355,NRS 14401 [4/70]; Reel 5055,"or ALLCORN; Queen Victoria Inn, 1845"
ALCORN,Richard,"Grey Hound, The","Fal Brook, District of Patricks Plains",1831,15 October,0265,NRS 14401 [4/62]; Reel 5049,2 pages; or ALCOM; or ALLCORN
ALCORN,Richard,Queen Victoria Inn,"Jerrys Plains, Singleton",1845,4 June,0035,NRS 14401 [4/77]; Reel 5059,"Queen Victoria, 1838-44; Victoria, 1846-"
ALDER,Barnaby,-,"Adelong Reef, District of Tumut",1858,7 December,0053,NRS 14403 [7/1511]; Reel 1241,Confectioner's license; after 0056
ALDERSON,Abel,"Hope, The","Elizabeth Street, Liverpool",1831,30 June,0061,NRS 14401 [4/62]; Reel 5049,
ALDERSON,James,Wollongong Hotel,"Market Street, Wollongong",1840,20 June,0216,NRS 14401 [4/72]; Reel 5056,
ALDERSON,James,Wollongong Hotel,Wollongong,1841,22 June,0228,NRS 14401 [7/1501]; Reel 1236,
ALDERSON,James,"Wollongong Hotel, The","Market Street, Wollongong",1839,15 July,0475,NRS 14401 [4/70]; Reel 5055,
ALDERSON,Susan,"Steam Packet Hotel, The","Wharf Street, South Grafton",1857,21 April,0060,NRS 14403 [7/1508]; Reel 1239,
ALDERSON,Susan,"Steam Packet Inn, The",South Grafton,1854,3 May,0535,NRS 14403 [4/88]; Reel 5065,
ALDERSON,Susan,Steam Packet Hotel,"Wharf Street, South Grafton",1856,15 April,0272,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Grafton
ALDERSON,Susan,"Steam Packet Hotel, The","Wharf Street, South Grafton",1853,6 December,1163,NRS 14403 [4/86]; Reel 5064,
ALDERSON,Susan,"Steam Packet Hotel, The","Wharf Street, South Grafton",1856,15 April,0272,NRS 14403 [7/1504]; Reel 1237,
ALDRED,Richard,"Star Inn, The","Pepper's Creek, District of Bathurst",1855,17 April,1113,NRS 14403 [7/1503]; Reel 1237,
ALDRED,Richard,"Star Inn, The","Rockley, District of Bathurst",1854,18 April,0664,NRS 14403 [4/88]; Reel 5065,
ALDRED,Richard,"Star Inn, The","Peppers Creek, District of Bathurst",1853,19 April,0500,NRS 14403 [4/85]; Reel 5064,
ALDRIDGE,Edgar Thomas,Bush Inn,"Kempsey, Port Macquarie",1842,31 May,0039,NRS 14401 [4/74]; Reel 5057,
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Bent Street, Maryborough",1858,27 April,0313,NRS 14403 [7/1509]; Reel 1240,
ALDRIDGE,Edgar Thomas,Bush Inn,"Kempsey, McLeay River, Port Macquarie",1844,21 June,0131,NRS 14401 [4/76]; Reel 5059,
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Kempsey, Port Macquarie",1845,30 June,0471,NRS 14401 [4/77]; Reel 5059,
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Maryborough, District of Wide Bay",1857,21 April,0178,NRS 14403 [7/1508]; Reel 1239,
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Kempsey, Port Macquarie",1843,31 May,0026,NRS 14401 [4/75]; Reel 5058,
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Maryborough, Wide Bay",1853,3 May,0045,NRS 14403 [4/84]; Reel 5063,
ALDRIDGE,Edgar Thomas,Bush Inn,"Maryborough, District of Wide Bay and Burnett",1854,25 April,0271,NRS 14403 [4/87]; Reel 5065,
ALDRIDGE,Edgar Thomas,Bush Inn,"Queen Street, Maryborough, District of Wide Bay and Burnett",1856,15 April,0185,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Maryborough
ALDRIDGE,Edgar Thomas,"Bush Inn, The","Maryborough, District of Wide Bay and Burnett",1856,15 April,0185,NRS 14403 [7/1504]; Reel 1237,
ALDRIDGE,John,"Welcome Inn, The","Middle River, District of Hartley",1853,19 April,0739,NRS 14403 [4/85]; Reel 5064,
ALDRIDGE,John,"Welcome Inn, The","Middle River, District of Hartley",1854,18 April,0485,NRS 14403 [4/88]; Reel 5065,
ALDRIDGE,John,"Welcome Inn, The","Middle River, District of Hartley",1856,15 April,0682,NRS 14403 [7/1505]; Reel 1238,
ALDRIDGE,John,"Welcome Inn, The","Middle River, District of Hartley",1856,15 April,0682,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Hartley
ALDRIDGE,Kezia,"Lord Nelson, The","North Richmond, District of Windsor",1832,27 September,0311,NRS 14401 [4/63]; Reel 5050,
ALEXANDER,Andrew,"Circular Quay Hotel, The","Circular Quay, Sydney",1854,26 April,0944,NRS 14403 [4/89]; Reel 5066,
ALEXANDER,Andrew,"Circular Quay Hotel, The","Circular Quay, Sydney",1855,26 April,0925,NRS 14403 [7/1503]; Reel 1237,
ALEXANDER,John,Jangler Inn,"Waggaralbah, District of Yass; Gunning, Yass",1847,28 June,0315,NRS 14401 [4/79]; Reel 5061,
ALEXANDER,John,"Jangler Inn, The","Gunning, Yass",1845,19 September,0568,NRS 14401 [4/77]; Reel 5059,
ALEXANDER,John,Jangler Inn,"Waggarallah, Yass",1848,27 June,0406,NRS 14401 [4/83]; Reel 5062,
ALEXANDER,John,Jangler Inn,"Gunning, Yass",1846,25 June,0297,NRS 14401 [4/78]; Reel 5060,
ALFORD,Thomas,"Downs Inn, The","Cheltenham Road, to Moreton Bay, Drayton",1845,30 June,0478,NRS 14401 [4/77]; Reel 5059,Transferred to Stephen MEHAN
ALHEIT,John,"Elephant and Castle, The","Pitt and King Streets, Sydney",1853,29 April,0812,NRS 14403 [4/86]; Reel 5064,
ALLAN,Alice,-,Dungog,1860,27 April,0285,NRS 14403 [7/1512]; Reel 1241,
ALLAN,Joseph,Settlers Arms Inn,"Brown and Lord Street, Dungog",1856,2 May,0079,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Dungog
ALLAN,Joseph,"Settlers Arms Inn, The",Dungog,1857,21 April,0167,NRS 14403 [7/1508]; Reel 1239,
ALLAN,Joseph,"Settlers Arms, The","Lord and Brown Streets, Dungog",1856,2 May,0079,NRS 14403 [7/1504]; Reel 1237,
ALLAN,Joseph,Settlers Arms,"Lord Street, Dungog",1856,2 May,0079,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Dungog
ALLAN,Josseph,"Settlers Arms, The",Dungog,1858,20 April,0468,NRS 14403 [7/1509]; Reel 1240,
ALLCORN,Richard,"Queen Victoria, The","Jerry's Plain, Patricks Plains, Singleton",1843,28 June,0286,NRS 14401 [4/75]; Reel 5058,"or ALCORN; Queen Victoria Inn, 1845"
ALLEN,Charles,"Tradesman Arms, The","Keppel Street, Bathurst",1858,20 April,1090,NRS 14403 [7/1511]; Reel 1241,
ALLEN,Hodgson,"Welcome Inn, The","The Valley, District of Penrith",1860,17 April,0976,NRS 14403 [7/1513]; Reel 1242,
ALLEN,Hudson,"Welcome Inn, The","The Valley, District of Penrith",1858,20 April,0193,NRS 14403 [7/1509]; Reel 1240,or Hodson
ALLEN,James,"Durham Hotel, The","Mackay and Dowling Streets, Dungog",1853,26 April,0776,NRS 14403 [4/85]; Reel 5064,
ALLEN,John,"Carpenters Arms Inn, The","Burrowa, District of Binalong",1860,17 April,0965,NRS 14403 [7/1513]; Reel 1242,
ALLEN,John,"White Hart, The","Windsor Road, District of Parramatta",1848,9 August,0716,NRS 14401 [4/83]; Reel 5062,
ALLEN,Joseph,"Settlers Arms Inn, The",Dungog,1855,13 December,1249,NRS 14403 [7/1503]; Reel 1237,
ALLEN,William,"Bird in Hand, The","Peel River, District of Nundle",1858,27 April,0009,NRS 14403 [7/1509]; Reel 1240,5 pages (two pages damaged); transfer of license; named changed to The Peel River Inn
ALLEN,William,"Bird in Hand, The","Peel River, Nundle",1857,28 April,0070,NRS 14403 [7/1508]; Reel 1239,
ALLEN,William,"Peel River Inn, The","Peel River, District of Nundle",1860,24 April,0050,NRS 14403 [7/1512]; Reel 1241,
ALLESON,James,"Blacksmiths Arms, The","Oakey Creek, District of Dubbo",1856,13 September,1359,NRS 14403 [7/1507]; Reel 1239,or ALLISON
ALLINGHAM,Christopher,"Criterion Inn, The","Rocky River, District of Armidale",1856,9 December,1409,NRS 14403 [7/1507]; Reel 1239,
ALLINGHAM,Edward,"Rose Inn, The","Beard Street, Armidale",1853,19 April,0665,NRS 14403 [4/85]; Reel 5064,
ALLINGHAM,Edward,"Rose Inn, The",Armidale,1846,22 June,0168,NRS 14401 [4/78]; Reel 5060,
ALLINGHAM,Edward,"Rose Inn, The",Armidale,1848,22 June,0238,NRS 14401 [4/82]; Reel 5062,
ALLINGHAM,Edward,"Rose Inn, The",Armidale,1847,23 June,0173,NRS 14401 [4/79]; Reel 5061,
ALLINGHAM,George,"Ben Lomond Inn, The","Royenda, District of Armidale",1853,19 April,0664,NRS 14403 [4/85]; Reel 5064,
ALLINGHAM,George Robert,"New Daniel O'Connell Inn, The","Beardy Street, Armidale",1858,27 April,0460,NRS 14403 [7/1509]; Reel 1240,
ALLINGHAM,John,"Rocky River Inn, The","Rocky River Goldfield, District of New England",1856,8 April,1295,NRS 14403 [7/1503]; Reel 1237,
ALLINGHAM,John,"Welcome Inn, The",Uralla,1858,20 April,0457,NRS 14403 [7/1509]; Reel 1240,
ALLINGHAM,John,"Rocky River Inn, The","Rocky River Gold Field, District of Armidale",1856,24 June,1273,NRS 14403 [7/1507]; Reel 1239,
ALLINGHAM,John,Rocky River Inn,"Rocky River Gold Field, District of Armidale",1856,17 July,1273,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Armidale
ALLINGHAM,William,"Cottage of Content, The","Carlisles Gully, Armadale",1847,23 June,0188,NRS 14401 [4/79]; Reel 5061,
ALLINGHAM,William,"Cottage of Content, The","Carlisle Gully, District of Armidale",1848,21 June,0195,NRS 14401 [4/82]; Reel 5062,
ALLISON,James,Blacksmiths Arms,"from Liverpool plains to Cassilis, Oakey Creek, District of Dubbo",1856,13 September,1359,NRS 14403 [7/1507]; Reel 1239,or ALLESON; on List of Certificates under Dubbo
ALLISON,James,"Black Smiths Arms, The","Oakly Creek, District of Dubbo",1858,20 April,0079,NRS 14403 [7/1509]; Reel 1240,
ALLISON,Jane Elizabeth,"Queens Arms, The","the South Head Road, District of Sydney",1848,15 July,0700,NRS 14401 [4/83]; Reel 5062,
ALLISON,Thomas Hume,"Queens Arms, The","South Head Road, Sydney",1847,22 July,0640,NRS 14401 [4/81]; Reel 5061,removed to Bourke Street and South Head Road
ALLMON,William,"Whitehaven Castle, The","Sussex and Goulburn Streets, Sydney",1854,26 April,0417,NRS 14403 [4/88]; Reel 5065,
ALLMON,William,"Whitehaven Castle, The","Sussex and Goulburn Streets, Sydney",1855,2 May,0928,NRS 14403 [7/1503]; Reel 1237,
ALLMON,William,"Whitehaven Castle, The","Sussex and Goulburn Streets, Sydney",1853,29 April,0971,NRS 14403 [4/86]; Reel 5064,
ALPHEN,Henry,Garricks Head,"York and King Streets, Sydney",1856,23 April,0559,NRS 14403 [7/1505]; Reel 1238,
ALPHEN,Henry,Garrick's Head,"King and York Streets, Sydney",1858,4 May,0708,NRS 14403 [7/1510]; Reel 1240,
ALPHEN,Henry,Garricks Head,"York and King Streets, Sydney",1854,1 May,0336,NRS 14403 [4/87]; Reel 5065,
ALPHEN,Henry,Garricks Head,"York and King Streets, Sydney",1856,15 April,0559,NRS 14403 [7/1507]; Reel 1239,on List of Certificates under Sydney
ALT,Christopher,"Carriers Arms, The",one mile from Yass on the Victoria Road,1860,17 April,0276,NRS 14403 [7/1512]; Reel 1241,
AMBROSE,Stephen,"Ship, The","Globe Street, Sydney",1837,28 June,0040,NRS 14401 [4/68]; Reel 5053,
AMBROSE,Thomas,"St Patrick's Inn, The","Macdonald River, District of Wollombi",1854,18 April,0242,NRS 14403 [4/87]; Reel 5065,
AMBROSE,Thomas,"Saint Patricks Inn, The","McDonald River, Wollombi",1847,24 June,0224,NRS 14401 [4/79]; Reel 5061,"Saint Patrick, 1842-46"
AMBROSE,Thomas,St Patricks Inn,"McDonald River, District of Wollombi",1848,24 June,0275,NRS 14401 [4/82]; Reel 5062,
AMBROSE,Thomas,"St Patricks Inn, The","Macdonald River, District of Wollombi",1853,19 April,0030,NRS 14403 [4/84]; Reel 5063,
AMBROSE,Thomas,Saint Patrick,"McDonald River, Wollombi",1846,29 May,0024,NRS 14401 [4/78]; Reel 5060,"Saint Patrick Inn, 1847-"
AMBROSE,Thomas,Saint Patrick,"McDonald River, Wollombi",1845,18 June,0116,NRS 14401 [4/77]; Reel 5059,"Saint Patrick Inn, 1847-"
