Surname,Firstname,NRS,Box number,Full Name,Year appointed silk,Date of correspondence,Digital ID,Archives Investigator link
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,06 Jan 1904,NRS302_333_a127_10_42918_[03]_00005,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,06 Jan 1904,NRS302_333_a127_10_42918_[03]_00006,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,06 Jan 1904,NRS302_333_a127_10_42918_[03]_00007,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,06 Jan 1904,NRS302_333_a127_10_42918_[03]_00008,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,22 Jan 1904,NRS302_333_a127_10_42918_[04]_00029,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,01 Feb 1904,NRS302_333_a127_10_42918_[04]_00030,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,05 Feb 1904,NRS302_333_a127_10_42918_[04]_00031,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,30 May 1905,NRS302_333_a127_10_42918_[05]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,30 May 1905,NRS302_333_a127_10_42918_[05]_00003,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,11 May 1905,NRS302_333_a127_10_42918_[05]_00009,
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,04 Mar 1907,NRS302_333_a127_10_42918_[07]_00008,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,01 Jan 1901,NRS302_333_a127_10_42918_[02]_00008,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Sly,Richard Meares,NRS302_333,10/42918,Richard Meares Sly,1904,01 Jan 1901,NRS302_333_a127_10_42918_[02]_00009,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\17 
 Watt,Andrew Robert James,NRS302_333,10/42917B,Andrew Robert James Watt,1920,18 Nov 1942,NRS302_333_a127_10_42917_[41]_00015,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00016,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00006,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00007,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00008,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00009,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00010,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00011,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00012,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00005,
 Watt,Andrew Robert James,NRS302_333,10/42918,Andrew Robert James Watt,1920,,NRS302_333_a127_10_42918_[17]_00014,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,27 Oct 1932,NRS302_333_a127_10_42917_[01]_00002a,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,28 Oct 1932,NRS302_333_a127_10_42917_[01]_00002b,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,15 Nov 1932,NRS302_333_a127_10_42917_[01]_00003,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,10 Nov 1932,NRS302_333_a127_10_42917_[01]_00004,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,14 Nov 1932,NRS302_333_a127_10_42917_[01]_00005,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,14 Nov 1932,NRS302_333_a127_10_42917_[01]_00006,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,07 Nov 1932,NRS302_333_a127_10_42917_[01]_00007,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,10 Nov 1932,NRS302_333_a127_10_42917_[01]_00008,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,01 Nov 1932,NRS302_333_a127_10_42917_[01]_00009,
Abrahams,Leonard Sydney,NRS302_333,10/42917A,Leonard Sydney Abrahams,1932,17 Nov 1932,NRS302_333_a127_10_42917_[01]_00010,
Alan Victor Maxwell,,NRS302_333,10/42917A,Alan Victor Maxwell,1929,18 Mar 1929,NRS302_333_a127_10_42917_[10]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\47 
Alan Victor Maxwell,,NRS302_333,10/42917A,Alan Victor Maxwell,1929,18 Mar 1929,NRS302_333_a127_10_42917_[10]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\47 
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,04 Mar 1907,NRS302_333_a127_10_42918_[07]_00008,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,30 May 1905,NRS302_333_a127_10_42918_[05]_00003,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,11 May 1905,NRS302_333_a127_10_42918_[05]_00009,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,30 May 1905,NRS302_333_a127_10_42918_[05]_00002,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,09 Oct 1901,NRS302_333_a127_10_42918_[02]_00001,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,17 Aug 1901,NRS302_333_a127_10_42918_[02]_00002,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,30 Sep 1901,NRS302_333_a127_10_42918_[02]_00003,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,30 Sep 1901,NRS302_333_a127_10_42918_[02]_00004,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,04 Sep 1901,NRS302_333_a127_10_42918_[02]_00005a,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,05 Sep 1901,NRS302_333_a127_10_42918_[02]_00005b,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,01 Jan 1901,NRS302_333_a127_10_42918_[02]_00006,
Armstrong,John,NRS302_333,10/42918,John Armstrong,1901,01 Jan 1901,NRS302_333_a127_10_42918_[02]_00007,
Arnott,H.D. ,NRS302_333,10/42917B,H.D. Arnott,,06 Dec 1944,NRS302_333_a127_10_42917_[39]_00009,
Arnott,H.D. ,NRS302_333,10/42917B,H.D. Arnott,,27 Oct 1943,NRS302_333_a127_10_42917_[38]_00048,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,06 Dec 1944,NRS302_333_a127_10_42917_[39]_00001,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,06 Dec 1944,NRS302_333_a127_10_42917_[39]_00002,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,29 Nov 1944,NRS302_333_a127_10_42917_[37]_00003,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,29 Nov 1944,NRS302_333_a127_10_42917_[37]_00004,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,30 Nov 1944,NRS302_333_a127_10_42917_[39]_00013,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,30 Nov 1944,NRS302_333_a127_10_42917_[39]_00016,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,15 Nov 1944,NRS302_333_a127_10_42917_[39]_00020,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,09 Nov 1944,NRS302_333_a127_10_42917_[39]_00021,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,15 Nov 1944,NRS302_333_a127_10_42917_[39]_00022,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,29 Nov 1944,NRS302_333_a127_10_42917_[39]_00019,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,01 Dec 1944,NRS302_333_a127_10_42917_[39]_00023,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,06 Nov 1944,NRS302_333_a127_10_42917_[39]_00024a,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,09 Nov 1944,NRS302_333_a127_10_42917_[39]_00024b,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,21 Nov 1945,NRS302_333_a127_10_42917_[47]_00013,
Badham,Lennard Campbell,NRS302_333,10/42917B,Lennard Campbell Badham,1944,01 Nov 1946,NRS302_333_a127_10_42917_[42]_00019,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,03 Sep 1946,NRS302_333_a127_10_42917_[48]_00001a,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,11 Sep 1946,NRS302_333_a127_10_42917_[48]_00001b,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,31 Oct 1946,NRS302_333_a127_10_42917_[48]_00002,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,31 Oct 1946,NRS302_333_a127_10_42917_[48]_00003,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,31 Oct 1946,NRS302_333_a127_10_42917_[48]_00004,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,10 Oct 1946,NRS302_333_a127_10_42917_[48]_00005,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,13 Sep 1946,NRS302_333_a127_10_42917_[48]_00006,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,15 Oct 1946,NRS302_333_a127_10_42917_[48]_00007,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,10 Jan 1946,NRS302_333_a127_10_42917_[48]_00008,
Barry,John Vincent,NRS302_333,10/42917B,John Vincent Barry,1946,10 Jan 1946,NRS302_333_a127_10_42917_[48]_00009,
Barton,Edmund,NRS302_333,10/42918,Edmund Barton - Memorandum respecting power to appoint Queen's Counsel (handwritten),1889,,NRS302_333_a127_10_42918_[01]_00019,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\114 
Barton,Edmund,NRS302_333,10/42918,Edmund Barton - Memorandum respecting power to appoint Queen's Counsel (typed),1889,,NRS302_333_a127_10_42918_[01]_00020,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\114 
Barton,Edmund,NRS302_333,10/42918,Edmund Barton - Memorandum respecting power to appoint Queen's Counsel (typed),1889,,NRS302_333_a127_10_42918_[01]_00022,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\114 
Barton,Edmund,NRS302_333,10/42918,Edmund Barton,1889,05 Feb 1901,NRS302_333_a127_10_42918_[02]_00022,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\114 
Barton,Edmund,NRS302_333,10/42918,Edmund Barton,1889,05 Feb 1901,NRS302_333_a127_10_42918_[02]_00023,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\114 
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,21 Nov 1945,NRS302_333_a127_10_42917_[47]_00013,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,19 Dec 1941,NRS302_333_a127_10_42917_[30]_00001,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,28 Nov 1941,NRS302_333_a127_10_42917_[30]_00003,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,21 Nov 1941,NRS302_333_a127_10_42917_[30]_00004,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,28 Nov 1941,NRS302_333_a127_10_42917_[30]_00006,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,27 Nov 1941,NRS302_333_a127_10_42917_[30]_00008,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,25 Nov 1941,NRS302_333_a127_10_42917_[30]_00009,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,25 Nov 1941,NRS302_333_a127_10_42917_[30]_00012,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,18 Nov 1941,NRS302_333_a127_10_42917_[30]_00010,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,15 Nov 1941,NRS302_333_a127_10_42917_[30]_00011,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,11 Nov 1941,NRS302_333_a127_10_42917_[30]_00017,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,23 Oct 1941,NRS302_333_a127_10_42917_[30]_00019a,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,22 Oct 1941,NRS302_333_a127_10_42917_[30]_00019b,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,28 Oct 1941,NRS302_333_a127_10_42917_[30]_00019c,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,11 Nov 1941,NRS302_333_a127_10_42917_[30]_00021,
Barwick,Garfield Edward John,NRS302_333,10/42917B,Garfield Edward John Barwick,1941,11 Nov 1941,NRS302_333_a127_10_42917_[30]_00022,
Bavin,Thomas Rainsford,NRS302_333,10/42918,Thomas Rainsford Bavin,1924,,NRS302_333_a127_10_42918_[19]_00029,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\69 
Bavin,Thomas Rainsford,NRS302_333,10/42918,Thomas Rainsford Bavin,1924,,NRS302_333_a127_10_42918_[19]_00030,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\69 
Bavin,Thomas Rainsford,NRS302_333,10/42918,Thomas Rainsford Bavin,1924,,NRS302_333_a127_10_42918_[19]_00037,
Bavin,Thomas Rainsford,NRS302_333,10/42918,Thomas Rainsford Bavin,1924,,NRS302_333_a127_10_42918_[19]_00034,
Bavin,Thomas Rainsford,NRS302_333,10/42918,Thomas Rainsford Bavin,1924,,NRS302_333_a127_10_42918_[19]_00035,
Beale,Howard,NRS302_333,10/42917B,Howard Beale,1950,29 Sep 1950,NRS302_333_a127_10_42917_[57]_00001,
Beale,Howard,NRS302_333,10/42917B,Howard Beale,1950,29 Sep 1950,NRS302_333_a127_10_42917_[57]_00002,
Berne,J.W.,NRS302_333,10/42917B,J.W. Berne,,17 Nov 1942,NRS302_333_a127_10_42917_[36]_00003a,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[18]_00019,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[18]_00020,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[18]_00021,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[19]_00039,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[19]_00040,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[19]_00038,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[18]_00005,
Bethune,Francis John,NRS302_333,10/42918,Francis John Bethune,1922,,NRS302_333_a127_10_42918_[18]_00011,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,01 Mar 1910,NRS302_333_a127_10_42918_[08]_00021,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,28 Feb 1916,NRS302_333_a127_10_42918_[13]_00014,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,14 Feb 1916,NRS302_333_a127_10_42918_[13]_00021,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,20 Feb 1916,NRS302_333_a127_10_42918_[13]_00019,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,31 Mar 1913,NRS302_333_a127_10_42918_[12]_00001,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,29 Aug 1912,NRS302_333_a127_10_42918_[11]_00001,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,03 Sep 1912,NRS302_333_a127_10_42918_[11]_00002,
Blacket,Wilfred,NRS302_333,10/42918,The Sun - Wilfred Blacket,1912,27 Aug 1912,NRS302_333_a127_10_42918_[11]_00004,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,23 Aug 1912,NRS302_333_a127_10_42918_[11]_00005,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,23 Aug 1912,NRS302_333_a127_10_42918_[11]_00006,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,23 Aug 1912,NRS302_333_a127_10_42918_[11]_00007,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,19 Aug 1912,NRS302_333_a127_10_42918_[11]_00008,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,27 Aug 1912,NRS302_333_a127_10_42918_[11]_00009,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,27 Aug 1912,NRS302_333_a127_10_42918_[11]_00010,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,27 Aug 1912,NRS302_333_a127_10_42918_[11]_00011,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,23 Jul 1912,NRS302_333_a127_10_42918_[11]_00012,
Blacket,Wilfred,NRS302_333,10/42918,Wilfred Blacket,1912,17 Jul 1912,NRS302_333_a127_10_42918_[11]_00013,
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,03 Nov 1927,NRS302_333_a127_10_42917_[14]_00001,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,03 Nov 1927,NRS302_333_a127_10_42917_[14]_00002,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,11 Nov 1927,NRS302_333_a127_10_42917_[14]_00003,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,11 Nov 1927,NRS302_333_a127_10_42917_[14]_00004,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,11 Nov 1927,NRS302_333_a127_10_42917_[14]_00005,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,11 Nov 1927,NRS302_333_a127_10_42917_[14]_00006,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,11 Nov 1927,NRS302_333_a127_10_42917_[14]_00007,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,09 Oct 1927,NRS302_333_a127_10_42917_[14]_00008,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,12 Oct 1927,NRS302_333_a127_10_42917_[14]_00009,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,03 Nov 1927,NRS302_333_a127_10_42917_[14]_00010,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Bonney,Reginald Schofield,NRS302_333,10/42917A,Reginald Schofield Bonney,1927,14 Oct 1927,NRS302_333_a127_10_42917_[14]_00011,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\7 
Boyce,Francis Stewart,NRS302_333,10/42918,Francis Stewart Boyce,1924,,NRS302_333_a127_10_42918_[19]_00031a,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\9  
Boyce,Francis Stewart,NRS302_333,10/42918,Francis Stewart Boyce,1924,,NRS302_333_a127_10_42918_[19]_00031b,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\9 
Boyce,Francis Stewart,NRS302_333,10/42918,Francis Stewart Boyce,1924,,NRS302_333_a127_10_42918_[19]_00032,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\9  
Boyce,Francis Stewart,NRS302_333,10/42918,Francis Stewart Boyce,1924,,NRS302_333_a127_10_42918_[19]_00034,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\9 
Boyce,Francis Stewart,NRS302_333,10/42918,Francis Stewart Boyce,1924,,NRS302_333_a127_10_42918_[19]_00036,http://investigator.records.nsw.gov.au/Entity.aspx?Path=\Person\9  
Bradley,William James,NRS302_333,10/42917A,William James Bradley,1934,18 Sep 1934,NRS302_333_a127_10_42917_[18]_00001b,
Bradley,William James,NRS302_333,10/42917A,William James Bradley,1934,18 Sep 1934,NRS302_333_a127_10_42917_[18]_00002,
Bradley,William James,NRS302_333,10/42917A,William James Bradley,1934,21 Aug 1934,NRS302_333_a127_10_42917_[18]_00009,
Bradley,William James,NRS302_333,10/42917A,William James Bradley,1934,15 Aug 1934,NRS302_333_a127_10_42917_[18]_00010a,
