,Item,Reel,Year,Pre,Nos,Title,Place,Minister,Church,Remarks,
,[1/2303],,1875,,6601 - 6900,,,,,,
,[1/2304],,1875,,6901 - 7200,,,,,,
,[1/2305],,1875,,7201 - 7500,,,,,,
,[1/2306],,1875,,7501 - 7800,,,,,,
,[1/2307],,1875,,7801 - 8100,,,,,,
,[1/2308],,1875,,8101 - 8400,,,,,,
,[1/2309],,1875,,8401 - 8700,,,,,,
,[1/2310],,1875,,8701 - 9000,,,,,,
,[1/2311],,1875,,9001 - 9300,,,,,,
,[1/2312],,1875,,9301 - 9340,,,,,,
,[1/2313],,1875,,,Despatches,,,,M3151/B - M3246/B,
,[1/2314],,1875,,,Estimates,,,,,
,[1/2315],,1875,,,Minutes,,,,M17432 - M17545,
,[1/2316],,1875,,,Legislative Assembly,,,,in bundle 'Legislative Council and Assembly',
,[1/2316],,1875,,,Legislative Council,,,,in bundle 'Legislative Council and Assembly',
,[1/2317.1],,1875,,,Prisoners,,,,mitigation of sentences,
,[1/2317.2],,1875,,,Unregistered,,,,,
,[1/2318],,1875,,,Unnoted,,,,75/596 - 75/9335,
,[1/2319],,1876,,1 - 300,,,,,,
,[1/2320],,1876,,301 - 600,,,,,,
,[1/2321],,1876,,601 - 900,,,,,,
,[1/2322],,1876,,901 - 1200,,,,,,
,[1/2323],,1876,,1201 - 1500,,,,,,
,[1/2324],,1876,,1501 - 1800,,,,,,
,[1/2325],,1876,,1801 - 2100,,,,,,
,[1/2326],,1876,,2101 - 2400,,,,,,
,[1/2327],,1876,,2401 - 2700,,,,,,
,[1/2328],,1876,,2701 - 3000,,,,,,
,[1/2329],,1876,,3001 - 3300,,,,,,
,[1/2330],,1876,,3301 - 3600,,,,,,
,[1/2331],,1876,,3601 - 3900,,,,,,
,[1/2332],,1876,,3901 - 4200,,,,,,
,[1/2333],,1876,,4201 - 4500,,,,,,
,[1/2334],,1876,,4501 - 4800,,,,,,
,[1/2335],,1876,,4801 - 5100,,,,,,
,[1/2336],,1876,,5101 - 5400,,,,,,
,[1/2337],,1876,,5401 - 5700,,,,,,
,[1/2338],,1876,,5701 - 6000,,,,,,
,[1/2339],,1876,,6001 - 6300,,,,,,
,[1/2340],,1876,,6301 - 6421,,,,,,
,[1/2341],,1876,,6424 - 6600,,,,,,
,[1/2342],,1876,,6601 - 6900,,,,,,
,[1/2343],,1876,,6901 - 7200,,,,,,
,[1/2344],,1876,,7201 - 7500,,,,,,
,[1/2345],,1876,,7501 - 7800,,,,,,
,[1/2346],,1876,,7801 - 8100,,,,,,
,[1/2347],,1876,,8101 - 8400,,,,,,
,[1/2348],,1876,,8401 - 8700,,,,,,
,[1/2349],,1876,,8701 - 9000,,,,,,
,[1/2350],,1876,,9001 - 9300,,,,,,
,[1/2351],,1876,,9301 - 9600,,,,,,
,[1/2352.1],,1876,,9601 - 9900,,,,,,
,[1/2352.2],,1876,,,Acts,,,,,
,[1/2353],,1876,,,Despatches,,,,M3260/B - M3356/B,
,[1/2354],,1876,,,Estimates,,,,,
,[1/2355],,1876,,,Minutes,,,,M17554 - M17665,
,[1/2356],,1876,,,Legislative Assembly,,,,LA 76/118 - 76/230; in bundle 'Legislative Council and Assembly',
,[1/2356],,1876,,,Legislative Council,,,,LC 76/1 - 76/6; in bundle 'Legislative Council and Assembly',
,[1/2357],,1876,,,Statutes,New Zealand,,,,
,[1/2358],,1876,,,Unregistered,,,,,
,[1/2359],,1877,,1 - 300,,,,,,
,[1/2360],,1877,,301 - 600,,,,,,
,[1/2361],,1877,,601 - 900,,,,,,
,[1/2362],,1877,,901 - 1200,,,,,,
,[1/2363],,1877,,1201 - 1500,,,,,,
,[1/2364],,1877,,1501 - 1800,,,,,,
,[1/2365],,1877,,1801 - 2100,,,,,,
,[1/2366],,1877,,2101 - 2400,,,,,,
,[1/2367],,1877,,2401 - 2700,,,,,,
,[1/2368],,1877,,2701 - 3000,,,,,,
,[1/2369],,1877,,3001 - 3600,,,,,,
,[1/2370],,1877,,3601 - 3900,,,,,,
,[1/2371],,1877,,3901 - 4200,,,,,,
,[1/2372],,1877,,4201 - 4500,,,,,,
,[1/2373],,1877,,4501 - 4800,,,,,,
,[1/2374],,1877,,4801 - 5400,,,,,,
,[1/2375],,1877,,5401 - 5700,,,,,,
,[1/2376],,1877,,5701 - 6000,,,,,,
,[1/2378],,1877,,6001 - 6300,,,,,,
,[1/2379],,1877,,6301 - 6600,,,,,,
,[1/2380],,1877,,6601 - 6900,,,,,,
,[1/2381],,1877,,6901 - 7200,,,,,,
,[1/2382],,1877,,7201 - 7500,,,,,,
,[1/2383],,1877,,7501 - 7800,,,,,,
,[1/2384],,1877,,7801 - 8100,,,,,,
,[1/2385],,1877,,8108 - 8400,,,,,,
,[1/2386],,1877,,8404 - 9000,,,,,,
,[1/2387],,1877,,9001 - 9300,,,,,,
,[1/2388],,1877,,9301 - 9600,,,,,,
,[1/2389],,1877,,9601 - 9900,,,,,,
,[1/2390],,1877,,9901 - 10200,,,,,,
,[1/2391],,1877,,10201 - 10500,,,,,,
,[1/2392],,1877,,10501 - 10803,,,,,,
,[1/2393],,1877,,,Acts,,,,,
,[1/2394],,1877,,,Despatches,,,,M3357/B - M3462/B,
,[1/2395],,1877,,,Estimates,,,,,
,[1/2396],,1877,,,Minutes,,,,M17667 - M17760,
,[1/2397],,1877,,,Legislative Assembly,,,,LA 77/2 – 77/117; in bundle 'Legislative Council and Assembly',
,[1/2397],,1877,,,Legislative Council,,,,LC 77/1 – 77/4; in bundle 'Legislative Council and Assembly',
,[1/2398],,1877,,,Unnoted,,,,77/767 - 77/10797,
,[1/2399.1],,1877,,,Unregistered,,,,,
,[1/2399.2],,1877,,,Elections,,,,- Declarations,
,[1/2400],,1878,,1 - 600,,,,,,
,[1/2401],,1878,,601 - 1200,,,,,,
,[1/2402],,1878,,1201 - 1500,,,,,,
,[1/2403],,1878,,1501 - 1800,,,,,,
,[1/2404],,1878,,1801 - 2400,,,,,,
,[1/2405],,1878,,2401 - 2700,,,,,,
,[1/2406],,1878,,2701 - 3000,,,,,,
,[1/2407],,1878,,3001 - 3600,,,,,,
,[1/2408],,1878,,3601 - 3900,,,,,,
,[1/2409],,1878,,3901 - 4200,,,,,,
,[1/2410],,1878,,4201 - 4500,,,,,,
,[1/2411],,1878,,4501 - 4800,,,,,,
,[1/2412],,1878,,4801 - 5100,,,,,,
,[1/2413],,1878,,5101 - 5400,,,,,,
,[1/2414],,1878,,5401 - 5700,,,,,,
,[1/2415],,1878,,5701 - 6300,,,,,,
,[1/2416],,1878,,6301 - 6900,,,,,,
,[1/2417],,1878,,6902 - 7500,,,,,,
,[1/2418],,1878,,7501 - 7800,,,,,,
,[1/2419],,1878,,7801 - 8100,,,,,,
,[1/2420],,1878,,8101 - 8400,,,,,,
,[1/2421],,1878,,8402 - 8700,,,,,,
,[1/2422],,1878,,8701 - 9000,,,,,,
,[1/2423],,1878,,9001 - 9300,,,,,,
,[1/2424],,1878,,9601 - 9900,,,,,,
,[1/2425],,1878,,9901 - 10200,,,,,,
,[1/2426],,1878,,10201 - 10500,,,,,,
,[1/2427],,1878,,10501 - 10800,,,,,,
,[1/2428],,1878,,10801 - 11100,,,,,,
,[1/2429],,1878,,,Acts,,,,,
,[1/2430],,1878,,,Estimates,,,,,
,[1/2431],,1879,,1 - 600,,,,,,
,[1/2432],,1879,,601 - 900,,,,,,
,[1/2433],,1879,,901 - 1200,,,,,,
,[1/2434],,1879,,1201 - 1500,,,,,,
,[1/2435],,1879,,1501 - 1800,,,,,,
,[1/2436],,1879,,1801 - 2100,,,,,,
,[1/2437],,1879,,2101 - 2400,,,,,,
,[1/2438],,1879,,2401 - 2700,,,,,,
,[1/2439],,1879,,2701 - 3000,,,,,,
,[1/2440],,1879,,3001 - 3300,,,,,,
,[1/2441],,1879,,3301 - 3600,,,,,,
,[1/2442],,1879,,3601 - 3900,,,,,,
,[1/2443],,1879,,3901 - 4200,,,,,,
,[1/2444],,1879,,4201 - 4500,,,,,,
,[1/2445],,1879,,4501 - 4800,,,,,,
,[1/2446],,1879,,4801 - 5100,,,,,,
,[1/2447],,1879,,5101 - 5400,,,,,,
,[1/2448],,1879,,5401 - 5700,,,,,,
,[1/2449],,1879,,5701 - 6000,,,,,,
,[1/2450],,1879,,6001 - 6300,,,,,,
,[1/2451],,1879,,6301 - 6600,,,,,,
,[1/2452],,1879,,6602 - 6900,,,,,,
,[1/2453],,1879,,6901 - 7200,,,,,,
,[1/2454],,1879,,7201 - 7500,,,,,,
,[1/2455],,1879,,7501 - 7800,,,,,,
,[1/2456],,1879,,7801 - 8100,,,,,,
,[1/2457],,1879,,8101 - 8400,,,,,,
,[1/2458],,1879,,8401 - 8700,,,,,,
,[1/2459],,1879,,8701 - 9000,,,,,,
,[1/2460],,1879,,9001 - 9300,,,,,,
,[1/2461],,1879,,9301 - 9600,,,,,,
,[1/2462],,1879,,9601 - 9900,,,,,,
,[1/2463A],,1879,,9901 - 10200,,,,,79/10148 extracted at [1/2463B],
,[1/2464],,1879,,10201 - 10323,,,,,,
,[1/2465.1],,1879,,,Acts,,,,,
,[1/2465.2],,1879,,,Estimates,,,,,
,[1/2466],,1879,,,Despatches,,,,M3589/B - M3742/B,
,[1/2467.1],,1879,,,Minutes,,,,M17888 - M18020,
,[1/2467.2],,1879,,,Legislative Assembly,,,,LA 79/2 - 79/140; in bundle 'Legislative Assembly and Council',
,[1/2467.2],,1879,,,Legislative Council,,,,LC 79/1 - 79/8; in bundle 'Legislative Assembly and Council',
,[1/2468],,1879,,,Unnoted,,,,,
,[1/2469],,1879,,,Unnoted,,,,,
,[1/2470],,1879,,,Unregistered,,,,,
,[1/2471],,1880,,1 - 300,,,,,,
,[1/2472],,1880,,301 - 600,,,,,,
,[1/2473],,1880,,601 - 900,,,,,,
,[1/2474],,1880,,901 - 1200,,,,,,
,[1/2475],,1880,,1201 - 1500,,,,,,
,[1/2476],,1880,,1501 - 1800,,,,,,
,[1/2477],,1880,,1801 - 2100,,,,,,
,[1/2478],,1880,,2101 - 2400,,,,,,
,[1/2479],,1880,,2401 - 2700,,,,,,
,[1/2480],,1880,,2701 - 3000,,,,,,
,[1/2481],,1880,,3001 - 3300,,,,,,
,[1/2482],,1880,,3301 - 3600,,,,,,
,[1/2483],,1880,,3601 - 3900,,,,,,
,[1/2484],,1880,,3901 - 4200,,,,,,
,[1/2485],,1880,,4201 - 4500,,,,,,
,[1/2486],,1880,,4501 - 4800,,,,,,
,[1/2487],,1880,,4801 - 5100,,,,,,
,[1/2488],,1880,,5101 - 5400,,,,,,
,[1/2489],,1880,,5401 - 5700,,,,,,
,[1/2490],,1880,,5701 - 6000,,,,,,
,[1/2491],,1880,,6001 - 6300,,,,,,
,[1/2492],,1880,,6301 - 6600,,,,,,
,[1/2493],,1880,,6601 - 6900,,,,,,
,[1/2494],,1880,,6901 - 7200,,,,,,
,[1/2495],,1880,,7201 - 7500,,,,,,
,[1/2496],,1880,,7501 - 7800,,,,,,
,[1/2497],,1880,,7801 - 8100,,,,,,
,[1/2498],,1880,,8101 - 8400,,,,,,
,[1/2499],,1880,,8401 - 8700,,,,,,
,[1/2500],,1880,,8701 - 9300,,,,,,
,[1/2501],,1880,,9301 - 9900,,,,,,
,[1/2502],,1880,,9901 - 10200,,,,,,
,[1/2503],,1880,,10201 - 10500,,,,,,
,[1/2504],,1880,,10501 - 10773,,,,,,
,[1/2505],,1880,,,Despatches,,,,M3746/B - M3871/B,
,[1/2506],,1880,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2506],,1880,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2506],,1880,,,Minutes,,,,M18030 - M18155,
,[1/2507],,1880,,,Unnoted,,,,part 1 of 2 for 1880,
,[1/2508],,1880,,,Unnoted,,,,part 2 of 2 for 1880,
,[1/2509],,1880,,,Unregistered,,,,,
,[1/2510],,1881,,1 - 2700,,,,,,
,[1/2511],,1881,,2701 - 5977,,,,,,
,[1/2512],,1881,,6014 - 7433,,,,,,
,[1/2513],,1881,,7438 - 8996,,,,,,
,[1/2514.1],,1881,,,Acts,,,,,
,[1/2514.2],,1881,,,Census,,,,,
,[1/2515],,1881,,,Despatches,,,,M3873/B - M3987/B,
,[1/2516],,1881,,,Minutes,,,,M18158 - M18302,
,[1/2517.1],,1881,,,Legislative Assembly,,,,LA 81/202 – 81/331,
,[1/2517.2],,1881,,,Privy Council,,,,Orders; in bundle 'Privy Council Orders; Legislative Council',
,[1/2517.2],,1881,,,Legislative Council,,,,LC 81/1 – 81/5; in bundle 'Privy Council Orders; Legislative Council',
,[1/2518],,1881,,,Unregistered,,,,,
,[1/2519],,1881,,4504 - 4800,,,,,'To be destroyed',
,[1/2520],,1881,,5102 - 5399,,,,,'To be destroyed',
,[1/2521],,1881,,6310 - 6565,,,,,'To be destroyed',
,[1/2522],,1881,,7502 - 7794,,,,,'To be destroyed',
,[1/2523],,1882,,1 - 1800,,,,,,
,[1/2524],,1882,,1801 - 3600,,,,,,
,[1/2525],,1882,,3601 - 5700,,,,,,
,[1/2526],,1882,,5701 - 7000,,,,,,
,[1/2527],,1882,,7001 - 8144,,,,,,
,[1/2528],,1882,,8163 - 9476,,,,,,
,[1/2529],,1882,,,Despatches,,,,M3989/B - M4108/B,
,[1/2530],,1882,,,Minutes,,,,M18309 - M18426,
,[1/2531],,1882,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2531],,1882,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2532],,1883,,1 - 1500,,,,,,
,[1/2533],,1883,,1501 - 3500,,,,,,
,[1/2534],,1883,,3501 - 4800,,,,,,
,[1/2535],,1883,,4801 - 6300,,,,,,
,[1/2536],,1883,,6301 - 8100,,,,,,
,[1/2537],,1883,,8101 - 9000,,,,,,
,[1/2538],,1883,,9001 - 10500,,,,,,
,[1/2539],,1883,,10501 - 11772,,,,,,
,[1/2540],,1883,,,Despatches,,,,M4114/B - M4215/B,
,[1/2541.1],,1883,,,Legislative Assembly,,,,LA 83/1 - 83/152,
,[1/2541.2],,1883,,,Legislative Council,,,,LC 83/1 - 83/7,
,[1/2542],,1883,,,Minutes,,,,M18428 - M18680,
,[1/2543.1],,1883,,,Minutes,,,,M18683 - M18685,
,[1/2543.2],,1883,,,Privy Council,,,,papers re contagious animal diseases,
,[1/2544],,1884,,1 - 1200,,,,,,
,[1/2545],,1884,,1201 - 2400,,,,,,
,[1/2546],,1884,,2401 - 3600,,,,,,
,[1/2547],,1884,,3601 - 5100,,,,,,
,[1/2548],,1884,,5101 - 7203,,,,,,
,[1/2549],,1884,,7256 - 9500,,,,,,
,[1/2550],,1884,,9501 - 13032,,,,,,
,[1/2551],,1884,,,Despatches,,,,M4217/B - M4323/B,
,[1/2552.1],,1884,,,Legislative Assembly,,,,in bundle 'Legislative Assembly and Council',
,[1/2552.1],,1884,,,Legislative Council,,,,in bundle 'Legislative Assembly and Council',
,[1/2552.2],,1884,,,Minutes,,,,M18691 - M18800,
,[1/2553],,1884,,,Minutes,,,,M18802 - M18945,
,[1/2554],,1885,,1 - 2400,,,,,,
,[1/2555],,1885,,2412 - 5631,,,,,,
,[1/2556],,1885,,5750 - 8400,,,,,,
,[1/2557],,1885,,8401 - 10444,,,,,,
,[1/2558],,1885,,10524 - 13855,,,,,,
,[1/2559],,1885,,,Despatches,,,,M4329/B - M4441/B,
,[1/2560],,1885,,,Minutes,,,,M18950 - M19108,
,[1/2561.1],,1885,,,Minutes,,,,M19109 - M19134,
,[1/2561.2],,1885,,,Legislative Assembly,,,,,
,[1/2562.1],,1885,,,Legislative Assembly,,,,in bundle 'Legislative Council and Assembly',
,[1/2562.1],,1885,,,Legislative Council,,,,in bundle 'Legislative Council and Assembly',
,[1/2562.2],,1885,,,Elections,,,,,
,[1/2563],,1885,,,Unregistered,,,,part 1 of 2 for 1885,
,[1/2564],,1885,,,Unregistered,,,,part 2 of 2 for 1885,
,[1/2565],,1885,,,Legislative Assembly,,,,1882-85; in bundle 'Legislative Assembly and Council',
,[1/2565],,1885,,,Legislative Council,,,,1882-85; in bundle 'Legislative Assembly and Council',
,[1/2566],,1885,,301 - 900,,,,,'To be destroyed',
,[1/2567],,1885,,901 - 1500,,,,,'To be destroyed',
,[1/2568],,1885,,1501 - 1800,,,,,'To be destroyed',
,[1/2569],,1885,,6907 - 7199,,,,,'To be destroyed',
,[1/2570],,1885,,7201 - 7488,,,,,'To be destroyed',
,[1/2571],,1885,,7501 - 7800,,,,,'To be destroyed',
,[1/2572],,1885,,7803 - 8098,,,,,'To be destroyed',
,[1/2573],,1886,,1 - 300,,,,,,
,[1/2574],,1886,,301 - 700,,,,,,
,[1/2575],,1886,,701 - 1200,,,,,,
,[1/2576],,1886,,1201 - 1500,,,,,,
,[1/2577],,1886,,1501 - 1828,,,,,,
,[1/2578],,1886,,1829 - 2168,,,,,,
,[1/2579],,1886,,2169 - 2400,,,,,,
,[1/2580],,1886,,2401 - 2628,,,,,,
,[1/2581],,1886,,2634 - 2920,,,,,,
,[1/2582],,1886,,2921 - 3142,,,,,,
,[1/2583],,1886,,3143 - 3442,,,,,,
,[1/2584],,1886,,3445 - 3787,,,,,,
,[1/2585],,1886,,3791 - 4106,,,,,,
,[1/2586],,1886,,4109 - 4500,,,,,,
,[1/2587],,1886,,4501 - 4800,,,,,,
,[1/2588],,1886,,4801 - 5145,,,,,,
,[1/2589],,1886,,5151 - 5473,,,,,,
,[1/2590B],,1886,,5475 - 5806,,,,,"plan of the kitchen, offices etc of the Hospital for the Insane, Bay View Tempe (extracted from 86/5578) at [1/2590A]",
,[1/2591],,1886,,5809 - 6134,,,,,,
,[1/2592],,1886,,6135 - 6300,,,,,,
,[1/2593],,1886,,6301 - 6600,,,,,,
,[1/2594],,1886,,6602 - 7018,,,,,,
,[1/2595],,1886,,7020 - 7316,,,,,,
,[1/2596],,1886,,7317 - 7581,,,,,,
