,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,-,Streets,-,-,-,-,see Suburbs and Sydney environs are entered in the main alphabetical sequence: Annandale; Balmain; Bellevue Hill; Botany; Concord; Camperdown; Canterbury; Darlinghurst; Gladesville; Leichhardt; Manly; Newtown; North Shore; Paddington; Point Piper; Pott’,"Appendix A: Correspondence, c.1837-96",
,-,"Roads. Rushcutter’s Bay, Road",1854,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,-,Iron Houses. Purchase of,1854-57,-,-,4332 [2/598],-,"Appendix A: Correspondence, c.1837-96",
,-,Apprentice Boys. Indentures and Lists of boys placed under Mortimer Lewis to learn the trade of carpenter builder,"1841, 1846-47",-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,-,Theatres,-,-,-,-,"see Lyceum Theatre, Sydney; Prince of Wales Theatre, Sydney","Appendix A: Correspondence, c.1837-96",
,-,"Roads. Western Road, police Patrol buildings","1848, 1851, 1853-54",-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,-,Leicester Patent Gas Lights and Fire Extinguishers,-,-,-,4332 [2/600],-,"Appendix A: Correspondence, c.1837-96",
,-,"Arbitration. Moorehead and Young, Acquisition of Land",1853,-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,-,Robertson v. Macleay and Turner,1850,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Leichhardt, Ludwig (Dr). Monument to",1861-65,-,-,4332 [2/602],-,"Appendix A: Correspondence, c.1837-96",
,-,Attorney General v. Ryan,1852,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Works Department, Sydney",-,-,-,-,"see Public Works Department, Sydney","Appendix A: Correspondence, c.1837-96",
,-,"Temporary Gaol and Court House, Design (from the Designs of Public Buildings series)",1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,-,Ryan v. Attorney General,1852,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Lewis, Mortimer W. Indentures and list of boys placed under Mortimer Lewis to learn the trade of Carpenter and Builder","1841, 1846-47",-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,-,"Australian Gaslight Company. Gas Company (A.G.L.), Provision of Gas Lamps",1849-54,-,-,4332 [2/596],-,"Appendix A: Correspondence, c.1837-96",
,-,State Library,-,-,-,-,see Mitchell Library; National Library,"Appendix B: Architectural Plans, 1848-1967",
,-,"Tread Mill, Design (from the Designs of Public Buildings series)",1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,-,Saint Andrew’s Church. Parsonage,1852-54,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,-,"Lighting. Leicester, Patent Gas Lights",1864,-,-,4332 [2/600],-,"Appendix A: Correspondence, c.1837-96",
,-,"Australian Mercantile Loan and Guarantee Co. Ltd. Copy of a Bill of Sale and inventory of furniture between the Australian Mercantile Loan & Guarantee Co. Ltd., and Mr. Raley",-,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,-,Treasury,-,-,-,-,"see Sydney, Treasury","Appendix B: Architectural Plans, 1848-1967",
,-,"Schools. Church School Estates, repairs and supply of furniture",1854,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,-,Lighting. Provision of gas lamps,1849-54,-,-,4332 [2/596],-,"Appendix A: Correspondence, c.1837-96",
,-,Bills of Quantities. C. Mayes,1863,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Secretary's Office,-,-,-,-,"see Sydney, Colonial Secretary’s and Public Works Offices","Appendix B: Architectural Plans, 1848-1967",
,-,Stalls for Sheep on Ships,"1848, 1850-54",-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,-,"Lyons, Samuel. Application for lease of building",1863,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Cannery, Patrick. Payment for sanitary services",1857-58,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Secretary's House,-,-,-,-,"see Sydney, Colonial Secretary’s House and Offices","Appendix B: Architectural Plans, 1848-1967",
,-,School bells,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,-,Steam Pile Driving Machine,"1855-56, 1862, 1864",-,-,4332 [***],-,"Appendix A: Correspondence, c.1837-96",
,-,"Mayes, C. Bills of Quantities",1863,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Cemeteries. Tombs and Vaults, Garden Island",-,-,-,4332 [2/642A],see also Elizabeth Street Necropolis; Randwick Necropolis,"Appendix A: Correspondence, c.1837-96",
,-,Central Police Barracks,-,-,-,-,"see Sydney, Central Police Barracks","Appendix B: Architectural Plans, 1848-1967",
,-,Steam Vessels. Invention of propellor of steam vessels,-,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,"McLaughlin, E. File",1853,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Church School Estates. Repairs and supply of furniture,1854,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,-,Central Police Courts,-,-,-,-,"see Sydney, Central Police Courts","Appendix B: Architectural Plans, 1848-1967",
,-,Stockades. Return of stockades,1847,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,-,Meteorological Stations,1855-57,-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,-,City Commissioners. Proposed improvements to George Street Markets; street labels; removal of fencing in Macquarie Street,1854-58,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,-,Australian Museum,-,-,-,-,"see Sydney, Australian Museum","Appendix B: Architectural Plans, 1848-1967",
,-,Superintendent of Boats’ Quarters,"1846, 1850-51, 1856",-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,Military Buildings. Military and Defence Works,1877-90,-,-,4332 [2/609],see also Ammunition and Military Stores; Carters Barracks; Defence Works,"Appendix A: Correspondence, c.1837-96",
,-,City Corporation. Water Supply Sydney,"1848-9, 1852",-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,-,"Superintendent of Police, Residence",1849-54,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,"Military Buildings. Military buildings, returns of",1848-56,-,-,4332 [2/8151],see also Ammunition and Military Stores; Carters Barracks; Defence Works,"Appendix A: Correspondence, c.1837-96",
,-,Civil Engineer’s Office. Estimates,"1860-61, 1863-64",-,-,4332 [2/8153],-,"Appendix A: Correspondence, c.1837-96",
,-,District Court,-,-,-,-,"see Sydney, District Court","Appendix B: Architectural Plans, 1848-1967",
,-,"Suspension Bridges. Comparative cost of, with timber",1854-57,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,-,"Military Buildings. Military Offices, Macquarie Street",1853-54,-,-,4332 [2/8151],see also Ammunition and Military Stores; Carters Barracks; Defence Works,"Appendix A: Correspondence, c.1837-96",
,-,Clocks. Government Clocks,"1845, 1850-53, 1856",-,-,4332 [2/630A],-,"Appendix A: Correspondence, c.1837-96",
,-,Domain,-,-,-,-,"see Sydney, Domain (Outer)","Appendix B: Architectural Plans, 1848-1967",
,-,"Sutherland, John. Accounts","1852-56, 1865-66",-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,-,Monuments. Dr. L. Leichhardt Monument,1861-65,-,-,4332 [2/602],-,"Appendix A: Correspondence, c.1837-96",
,-,"Coles, W. Appointment as clerk",1857,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Art Gallery,-,-,-,-,"see Sydney, National Art Gallery; and National Art Gallery","Appendix B: Architectural Plans, 1848-1967",
,-,Telegraph Stations and Post Offices,1859-64,-,-,4332 [2/627],see also Telegraph Stations and Post Offices under the names of specific towns eg. Tenterfield; Wagga Wagga,"Appendix A: Correspondence, c.1837-96",
,-,Obelisks. Sydney Harbour,1857-58,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Architect’s Department. Applications for employment,1859-66,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Education Department,-,-,-,-,"see Sydney, Education Department","Appendix B: Architectural Plans, 1848-1967",
,-,Tenders. Board on Contracts for the Public Service: Report on tenders for public works and services,1857-61,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,Ordnance Storekeeper. Return of Ordnance,1863,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Architect’s Department. Appointments etc.,1837-54,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Equity Court,-,-,-,-,"see Sydney, Equity Court","Appendix B: Architectural Plans, 1848-1967",
,-,Tenders. Tenders for public works,1854-57,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,"Oxford, Robert. Superannuation",1866,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,"Colonial Architect’s Department. Employment, appointments etc.",1854-66,-,-,4332 [2/587],-,"Appendix A: Correspondence, c.1837-96",
,-,"Toll Houses. Camperdown, Parramatta Road",1859-62,-,-,4332 [2/641],-,"Appendix A: Correspondence, c.1837-96",
,-,Paris and Intercolonial Exhibition,1866,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Architect’s Department. Instructions to clerks on procedures etc.,1848,-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,-,"Toll Houses. Seventeen Mile Hollow, Broughton’s Water Hole, Cowpasture’s Road Annandale, Pitt Row, Becket’s Bridge","1847-50, 1853, 1855",-,-,4332 [2/648],-,"Appendix A: Correspondence, c.1837-96",
,-,Patents,"1855, 1863, 1866",-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,Colonial Architect’s Department. Instructions to officers etc.,"1849-50, 1851-53",-,-,4332 [***],-,"Appendix A: Correspondence, c.1837-96",
,-,Free Public Library,-,-,-,-,"see Sydney, Free Public Library","Appendix B: Architectural Plans, 1848-1967",
,-,Treasury Buildings,1848-63,-,-,4332 [2/648],-,"Appendix A: Correspondence, c.1837-96",
,-,"Patents. Leicester, patent gas lights and fire extinguishers",1864,-,-,4332 [2/600],-,"Appendix A: Correspondence, c.1837-96",
,-,Australian Coat of Arms,-,-,159,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,-,Colonial Architect’s Department. Miscellaneous Estimates and Returns,"1853-55, 1859",-,-,4332 [2/632],-,"Appendix A: Correspondence, c.1837-96",
,-,Government House,-,-,-,-,"see Sydney, Government House see also Parramatta, Old Government House","Appendix B: Architectural Plans, 1848-1967",
,-,Vaccine Institutions,1851-66,-,-,4332 [2/649],-,"Appendix A: Correspondence, c.1837-96",
,-,Police Buildings,1863-65,-,-,4332 [2/644],"see also Police buildings under names of specific towns eg. Forbes, Bingara","Appendix A: Correspondence, c.1837-96",
,-,New South Wales Coat of Arms,-,-,"162, 232",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,-,Colonial Architect’s Department. Miscellaneous Papers and letters,1854-62,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Government Printing Office,-,-,-,-,"see Sydney, Government Printing Office","Appendix B: Architectural Plans, 1848-1967",
,-,Watch Houses. General bundle,"1845, 1849-58",-,-,4332 [2/644],see also Watch Houses under the names of specific towns eg. Dubbo; Gosford,"Appendix A: Correspondence, c.1837-96",
,-,Police Department. Correspondence,1861-65,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,New South Wales Government Badge,-,-,39,4346 [9/5879],Coat of Arms,"Appendix E: Photographs of public buildings, c.1880-1940",
,-,Court Houses. Estimates of repairs to Gaols and Court Houses,1892-93,-,-,4332 [2/579],"see also Court of Requests, Sydney; Darlinghurst Court House; District Court House, Sydney; Insolvency Court, Sydney; Supreme Court, Sydney; Court Houses under the names of specific towns eg. Albury; Braidwood","Appendix A: Correspondence, c.1837-96",
,-,Police Department. Correspondence. Country Police Stations,"1853, 1857-65",-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,Royal Coat of Arms,-,-,37,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,-,"Crown Lands Offices. Country Crown Lands Offices, General repairs",1853-54,-,-,4332 [2/588],see also Crown Lands Offices under the names of specific towns eg. Binalong; Dungog,"Appendix A: Correspondence, c.1837-96",
,-,Immigration Barracks,-,-,-,-,"see Sydney, Immigration Barracks","Appendix B: Architectural Plans, 1848-1967",
,-,Watch Houses. Iron cells for watch houses,1853,-,-,4332 [2/620],see also Watch Houses under the names of specific towns eg. Dubbo; Gosford (Police Department Correspondence),"Appendix A: Correspondence, c.1837-96",
,-,Police Department. Correspondence. Iron cells for watch houses,1853,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,"Daly, John. Gratuity",1860,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Master in Lunacy's Office,-,-,-,-,"see Sydney, Master in Lunacy’s Office","Appendix B: Architectural Plans, 1848-1967",
,-,Waterman’s Stairs,1852,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,-,Police Department. Correspondence. Office of Superintendent,1854-57,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,"Dead Houses. Erection of dead house, Sydney",1854-56,-,-,4332 [2/642A],Also Morgues,"Appendix A: Correspondence, c.1837-96",
,-,Mint,-,-,-,-,"see Sydney, Royal Mint","Appendix B: Architectural Plans, 1848-1967",
,-,"Wilson, John. Compensation",1861,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Police Department. Correspondence. Residence for Superintendent,1849-54,-,-,4332 [2/620],-,"Appendix A: Correspondence, c.1837-96",
,-,"Deeby, Simon. Compensation Claim",1863,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Mitchell Library,-,-,-,-,"see Sydney, Mitchell Library","Appendix B: Architectural Plans, 1848-1967",
,-,"Public buildings which are located outside the inner Sydney area are listed in the main sequence under place and name of building eg. Albury Survey and Lands Office, Randwick Lock-up.",-,-,-,-,-,-,
,-,Police Patrol Buildings. Western Road,"1848, 1851, 1853-54",-,-,4332 [2/644],"Also Mounted Patrol Barracks see also Patrol buildings under the names of specific towns eg. Bathurst, Mudgee","Appendix A: Correspondence, c.1837-96",
,-,Defence Works. Gunpowder Magazine,1854,-,-,4332 [2/597A],-,"Appendix A: Correspondence, c.1837-96",
,-,Museum,-,-,-,-,"see Sydney, Australian Museum","Appendix B: Architectural Plans, 1848-1967",
,-,Police Stations. Country Police Stations,"1853, 1857-65",-,-,4332 [2/620],"see also Burke Street Police Station, Sydney; Erskine Street Police Station, Sydney; South Sydney Police Station, Sydney; Police Stations under the names of specific towns eg. Queanbeyan; Wollombi (In Police Department Correspondence)","Appendix A: Correspondence, c.1837-96",
,-,Defence Works. Military and Defence Works,1877-90,-,-,4332 [2/609],-,"Appendix A: Correspondence, c.1837-96",
,-,National Art Gallery,-,-,-,-,"see Sydney, National Art Gallery","Appendix B: Architectural Plans, 1848-1967",
,-,Police Stations. North Western District Police Stations,1861-62,-,-,4332 [2/620],"see also Burke Street Police Station, Sydney; Erskine Street Police Station, Sydney; South Sydney Police Station, Sydney; Police Stations under the names of specific towns eg. Queanbeyan; Wollombi","Appendix A: Correspondence, c.1837-96",
,-,"Defence Works. Military Buildings, returns of",1848-56,-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,-,National Library,-,-,-,-,"see Sydney, National Library","Appendix B: Architectural Plans, 1848-1967",
,-,"Department of Attorney General and Justice. Application of C.H. Johnson and others for reduction of fines imposed on them for breach of the Liquor Act, 1901",-,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,-,Patents Office,-,-,-,-,see Sydney Patents Office,"Appendix B: Architectural Plans, 1848-1967",
,-,Post Offices and Telegraph Stations,1859-64,-,-,4332 [2/627],see also Post Offices and Telegraph Stations under the names of specific towns eg. Orange; Sofala,"Appendix A: Correspondence, c.1837-96",
,-,Diving Bell,"1845, 1848",-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,Police Barracks,-,-,-,-,"see Sydney, Police Barracks","Appendix B: Architectural Plans, 1848-1967",
,-,Public Buildings. Board on Contracts for the Public Service. Report on tenders for public works and services,1857-61,-,-,4332 [2/8152],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,Double Voting. Public Notice: Penalty for double voting,1912,-,-,4332 [2/8165],(2 copies),"Appendix A: Correspondence, c.1837-96",
,-,Public Buildings. Miscellaneous repairs and furniture for Government Offices,1864-85,-,-,4332 [2/612],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,"Escort Stations. Erection of escort stations on Bathurst Road at Bindmeer, Fryingpan Creek and Solitary Creek","1849-54, 1863-64",-,-,4332 [2/592],see also Escort Stations under names of specific towns eg. Carcoar; Tamworth,"Appendix A: Correspondence, c.1837-96",
,-,Public Buildings. Report on Government Buildings being erected or repaired in West and South West districts in 1863,-,-,-,4332 [2/8151],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,Escort Stations. Gold Offices and Escorts,1851-53,-,-,4332 [2/642A],see also Escort Stations under names of specific towns eg. Carcoar; Tamworth,"Appendix A: Correspondence, c.1837-96",
,-,Public Instruction,-,-,-,-,"see Sydney, Education Department","Appendix B: Architectural Plans, 1848-1967",
,-,"Public Buildings. Report on inspection of public buildings in Southern, Northern and Western Districts",1863-64,-,-,4332 [2/587],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,Everett & Stephens. Work in Bathurst Area,1862,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Public Works,-,-,-,-,"see Sydney, Public Works","Appendix B: Architectural Plans, 1848-1967",
,-,Public Buildings. Returns and Estimates of Public Works and Buildings,"1851-55, 1858-65",-,-,4332 [2/632],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,Police Stations. Sydney Police Stations,1855-63,-,-,4332 [2/645],"see also Burke Street Police Station, Sydney; Erskine Street Police Station, Sydney; South Sydney Police Station, Sydney; Police Stations under the names of specific towns eg. Queanbeyan; Wollombi","Appendix A: Correspondence, c.1837-96",
,-,"Executions, Private. Arrangements for private executions within gaols",1855,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,-,Registrar General,-,-,-,-,"see Sydney, Registrar General","Appendix B: Architectural Plans, 1848-1967",
,-,Public Buildings. Tenders for Public Works,1854-57,-,-,4332 [2/8152],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,"Exhibitions. Great Exhibition, Collection of specimens","1861, 1862",-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,-,Royal Mint,-,-,-,-,"see Sydney, Royal Mint see also Dawes Point","Appendix B: Architectural Plans, 1848-1967",
,-,Public Buildings. Ventilation of Public Buildings,1859,-,-,4332 [2/628],For particular Public Buildings see also under the names of buildings and names of towns,"Appendix A: Correspondence, c.1837-96",
,-,Exhibitions. Paris and Intercolonial Exhibition,1866,-,-,4332 [2/619],-,"Appendix A: Correspondence, c.1837-96",
,-,State House,-,-,-,-,"see Sydney, State House","Appendix B: Architectural Plans, 1848-1967",
,-,Public Notice. Penalty for Double Voting,1912,-,-,4332 [2/8165],(2 copies),"Appendix A: Correspondence, c.1837-96",
,-,Force Pump. Description of force pump,n.d.,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
,-,State Library,-,-,-,-,"see Sydney, Mitchell Library see also Sydney, National Library","Appendix B: Architectural Plans, 1848-1967",
,-,Public Works Department. Purchase of Australian Subscription Library as Works Office,1859-66,-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,-,"Schools. Fort Street, National School, Sydney",1862,-,-,4332 [2/614],-,"Appendix A: Correspondence, c.1837-96",
,-,Gaols. Arrangements for private executions within Gaols,1855,-,-,4332 [2/644],see also Gaols and lock-ups under the names of specific towns eg. Grafton; Orange,"Appendix A: Correspondence, c.1837-96",
,-,Supreme Court,-,-,-,-,"see Sydney, Supreme Court","Appendix B: Architectural Plans, 1848-1967",
,-,"Quarries. Government quarries, Lease and Valuation","1847, 1849-53",-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,Schools. Lismore Public School,"1878, 1889-90, 1903, 1910",-,-,4332 [2/8153],-,"Appendix A: Correspondence, c.1837-96",
,-,"Gaols. Estimates of repairs to Gaols, Court Houses",1892-93,-,-,4332 [2/579],see also Gaols and lock-ups under the names of specific towns eg. Grafton; Orange,"Appendix A: Correspondence, c.1837-96",
,-,Survey Office,-,-,-,-,"see Sydney, Survey Office","Appendix B: Architectural Plans, 1848-1967",
,-,Churches,-,-,-,-,"see St. Andrews Church, Sydney; St. James Church, Sydney see also Churches under names of specific towns eg. Braidwood; Carcoar","Appendix A: Correspondence, c.1837-96",
,-,Residences. Brigade Major’s Quarters,1860,-,-,4332 [2/625],see also Residences of officials under the names of specific towns eg. Berrima; Young,"Appendix A: Correspondence, c.1837-96",
,-,"Schools. Sydney Grammar School, Sydney Site",1855,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,-,"Gas Lighting. Gas Company (A.G.L.), provision of Gas Lamps",1849-54,-,-,4332 [2/596],-,"Appendix A: Correspondence, c.1837-96",
,-,Mint,-,-,-,-,see Royal Mint,"Appendix B: Architectural Plans, 1848-1967",
,-,Executive Council,-,-,-,-,"see Parliament House, Sydney","Appendix A: Correspondence, c.1837-96",
,-,Residences. Major-General Commanding’s House,"1853, 1857",-,-,4332 [2/579],see also Residences of officials under the names of specific towns eg. Berrima; Young,"Appendix A: Correspondence, c.1837-96",
,-,Seals. New Zealand Government,1850-53,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,"Goddard, John. Compensation",1860-62,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,-,Police Barracks,-,-,-,-,see Central Police Barracks,"Appendix B: Architectural Plans, 1848-1967",
,-,Major-General Commanding's House,-,-,-,-,see Residences,"Appendix A: Correspondence, c.1837-96",
,-,Residences. Superintendent of Boats’ Quarters,"1846, 1850-51, 1856",-,-,4332 [2/642A],see also Residences of officials under the names of specific towns eg. Berrima; Young,"Appendix A: Correspondence, c.1837-96",
,-,Seals. Victorian Government,1848,-,-,4332 [2/8152],-,"Appendix A: Correspondence, c.1837-96",
,-,Gold Offices,1851-53,-,-,4332 [2/642A],see also Gold Offices and Gold Commissioner’s offices under the names of specific towns eg. Goulburn; Young,"Appendix A: Correspondence, c.1837-96",
,-,Police Court,-,-,-,-,see Central Police Court,"Appendix B: Architectural Plans, 1848-1967",
,-,Residences. Superintendent of Police Quarters,1849-54,-,-,4332 [2/620],see also Residences of officials under the names of specific towns eg. Berrima; Young,"Appendix A: Correspondence, c.1837-96",
,-,Steam Dredge. “Victoria”,1857-58,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,-,Government Stores. General,1859-64,-,-,4332 [2/596],-,"Appendix A: Correspondence, c.1837-96",
,-,Public Instruction,-,-,-,-,see Education Department,"Appendix B: Architectural Plans, 1848-1967",
,-,"Roads. Blue Mountains Road, construction",1847,-,-,4332 [2/635],-,"Appendix A: Correspondence, c.1837-96",
,-,"Government Stores. State of artillery, saddlery",1862-63,-,-,4332 [2/630A],-,"Appendix A: Correspondence, c.1837-96",
,Aberdeen,"Lock-up, erection of",1862-64,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Aberglasslyn,Public School and Teacher’s Residence,1879,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Adamstown,Soldiers’ Memorial,c.1920,-,12,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Adamstown,School and Residence,1878,-,-,4338 [X14],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Adamstown,New Post Office,23 December 1895,-,23,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Adelaide,Legislative Council Office,1851,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Adelaide,Art Gallery,-,-,53-57,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Adelong,Court House. Plan of site and fencing,-,-,-,4335 [Plan 635],Colonial Architect Plan No. PC9/5,"Appendix B: Architectural Plans, 1848-1967",
,Adelong,"Court and Watch House, payment of builder",1858-62,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Adelong,"Telegraph Office, supply of furniture to",1862-66,-,-,4332 [2/577],-,"Appendix A: Correspondence, c.1837-96",
,Albury,Plan showing public buildings,1878,-,-,4335 [Plan 637],Colonial Architect Plan No. PC9/16,"Appendix B: Architectural Plans, 1848-1967",
