Date,Surname,FirstName,Station,Description,Citation,Remarks
,,,,Return of Mechanics,NRS 905 [4/1080.3],
,,,,Letter,NRS 905 [4/10801.2],
,,,,Letter,NRS 905 [4/10801.2],
1844,Ackerson,,Nil,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 26",Superintendent:  Ackerson.
1844,Ackerson,R,Nil,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 26",Superintendent: R Ackerson.
1844,Ackison & Co,,Nil,Forster Fyans Normanby November 1844,"NRS 1391 [X690]; Reel 2756, Page 32",Superintendent:  Ackison & Co.
1 July 1845,Adam,William,Mt Shadwell,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: William Adam.
1844,Adams,R,Green Vale,Forster Fyans Normanby November 1844,"NRS 1391 [X690]; Reel 2756, Page 31",Superintendent:  Nil.
1 July 1845,Adams,Robert,Green Vale,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: Robert Adams.
1844,Adams,Robert,Green Vale,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: Robert Adams.
1845,Adams,Robert,Green Vale,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: Robert Adams .
January 1844,Adams,Robert,Green Vale,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent:  Moffat & Dixon.
1846,Adams,Robert,Green Vale,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: Robert Adams.
1846,Adams,William,Mt Shadwell,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: William Adams.
January 1844,Addison & Atkinson,,Derribice,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: William Wilkinson.
1846,Addison & Muray,,Dunrobin,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: W McPherson.
1 July 1845,Addison & Murray,,Dunnelin,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: W McPherson.
1844,Addison & Murray,,Dunrabein,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent:  McPherson.
1844,Addison & Murray,,Durbin,Foster Fyans Portland Bay May 1844,"NRS 1391 [X690]; Reel 2756, Page 18",Superintendent:  Addison & Murray.
1845,Adency,William,Chocolyn,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: William Adency.
1846,Adeney,William,Chocolyn,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: William Adeney.
1 July 1845,Adney,William,Chocolyn,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: William Adney.
1844,Adney,William,Chocolyn,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: William Adney.
January 1844,Adney,William,Chocolyn,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: William Adney.
1844,Affleck,,,Foster Fyans Portland Bay May 1844,"NRS 1391 [X690]; Reel 2756, Page 18",Superintendent:  Affleck.
1844,Affleck,J,Boynton,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 27",Superintendent: J Affleck.
1 July 1845,Affleck,William,Auchinock,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: William Affleck.
January 1844,Affleck,William,Victoria Range,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: William Affleck.
1844,Affleck & Moffatt,,Inverary,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: William Affleck.
1845,Affleck & Moffatt,,Auckinlek,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent:  Affleck & Moffatt.
1846,Affleck & Moffatt,,Pleasant Bank,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent:  Affleck.
November 1839,Aikins,,,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10801.3]; Page 1 back of,Superintendent:  Aikins.
1844,Aikman,H H R,Broomelton,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 7",Superintendent: T L M Prior.
1844,Aikman,H H R,Broomelson,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 1",Superintendent: H H R Aikman.
1848,Aikman & Prior,,Broomelton,Stephen Simpson Esq Stanley known as Mount Morton District,"NRS 906 [X818]; Reel 2748-2749, Page 9",Superintendent: T L M Prior.
1848,Ainsworth,S,Mouth of Moroya River,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent:  Nil.
1844,Airey,G,Lal Lal,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 25",Superintendent: G Airey.
1 July 1842,Airey,G & S,Lal Lal,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: William Murray.
1845,Airey,G J,Sol Sol,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: Matthew O'Reilly.
1844,Airey,G S,Sal Sal,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: Mathew Kelly.
January 1844,Airey,G S,Sal Sal,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: William Murray.
1844,Airly,,Lal Lal,Foster Fyans Portland Bay April 1844,"NRS 1391 [X690]; Reel 2756, Page 14",Superintendent: W Murray.
1845,Aitken,J,Bushy Park,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 36",Superintendent:  Proprietor.
July - Dec 1844,Aitken,J,Bushy Park,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 31",Superintendent:  Proprietor.
1842,Aitken,J,Dixons,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 23",Superintendent: J Aitken.
Jul - Dec 1845,Aitken,Jas,Bushy Park,Lawrence Vance Dalhunty Bathurst and Wellington,"NRS 906 [X813]; Reel 2748-2749, Page 40",Superintendent: Jas Aitken.
1 July 1842,Aitken,Robert,Greenvale,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: Robert Aitken.
1840,Aitken,W,,Itinerary of Henry Fysche Gisborne Esq County of Bourke 1840,"NRS 906 [X814]; Reel 2748-2749, Page 52",Superintendent: W Aitken.
1842,Aitkin,,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 3",Superintendent:  Aitkin.
1841,Aitkin,T Rev,Bushey Bank,Henry Oakes Port Macquarie,"NRS 906 [X817]; Reel 2748-2749, Page 46",Superintendent: JAs Aitkin.
1844,Albeck,,Perrin Allick,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 29",Superintendent:  Albeck.
1847,Aldridge,C J,Scotch Town,Robert George Massie Esq County of Macquarie called the McLeay River District,"NRS 906 [X816]; Reel 2748-2749, Page 108",Superintendent: C J Aldridge.
1846 December,Alexander,H S,Molong Nyrang,Bathurst & Wellington W C Mayne,"NRS 906 [X817]; Reel 2748-2749, Page 5",Superintendent:  Owner.
1846 December,Alexander,J & S,Molong Nyrang,William Colburn Mayne Itinerearies district of Wellington,"NRS 906 [X817]; Reel 2748-2749, Page 1",Superintendent:  Owner.
1842,Alexander & Redfern,,Howes,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 18",Superintendent:  Wilkin.
1845,Alexander Brothers,,Molong Nyrang,William Henry Wright Bathurst and Wellington,"NRS 906 [X818]; Reel 2748-2749, Page 71",Superintendent: Messrs Alexander.
1844,Allam,,Allan Dale,Foster Fyans Portland Bay May 1844,"NRS 1391 [X690]; Reel 2756, Page 17",Superintendent:  Allam.
1842,Allan,J,Allan Vale,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 62",Superintendent: J Allan.
1842,Allan,J,Bally Bah,Frederick Armand Powlett Commissioner of Crown Lands Western Port Counties Bourke Called Western Port,"NRS 906 [X817]; Reel 2748-2749, Page 60",Superintendent: J Allan.
1845,Allan,J & Co,Allandale,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: J & Co Allan .
January 1844,Allan,J & D,Allandale,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: J & D Allan.
1 July 1845,Allan,J & W,Allandale,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: J & W Allan.
1844,Allan,J & William,Allandale,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: J & William Allan.
January 1844,Allan,John,Mt Hope,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: Thos Day.
1846,Allan,John,Allandale,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: John Allan.
10 September 1839,Allan,John Macmahon,Wyippa Creek,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 15",Superintendent: John Macmahon Allan.
1844,Allan,Rupert,Garren Garren,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: Rupert Allan.
January 1844,Allan,Rupert,Grampians,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: Rupert Allan.
1844,Allan & Smythe,,Mt Emu,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 26",Superintendent:  Allan & Smythe.
1844,Allan & Smythe,,Mt Emu,Foster Fyans Portland Bay April 1844,"NRS 1391 [X690]; Reel 2756, Page 16",Superintendent:  Allan & Smythe.
1 July 1845,Allan & Smythe,,Mt Emu,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: G Jnr Allan.
1844,Allan & Smythe,,Mt Emu,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: George Allan.
January 1844,Allan & Smythe,,Mt Emu,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: Geo Allan.
1845,Allan & Smythe,Trustee to Estate,Mt Emu,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: G Jnr of Mr George Allan .
1844,Allbeck,,Perrin Allick,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 29",Superintendent:  Allbeck.
1842,Allen,J,Allendale,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 14",Superintendent: J Allen.
1 July 1842,Allen,J & William,Allendale,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: J & William Allen.
1 July 1842,Allen,John,Allanvale,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: John Allen.
1 July 1842,Allen,John,Plains,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: William Blow.
1840,Allen,Mr,,Itinerary of Henry Fysche Gisborne Esq County of Bourke 1840,"NRS 906 [X814]; Reel 2748-2749, Page 52",Superintendent:  Nil.
1847,Allen,Mrs,Yanie,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 53",Superintendent: Mrs Allen.
1842,Allen & Co,,,Portland Bay Disctict County of Grant & Normanby,"NRS 906 [X814]; Reel 2748-2749, Page 4",Superintendent:  Allen & Co.
10 July 1839,Allison & Cochburn,,Table Mountain,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 5",Superintendent: P W Cochburn.
1840,Allman,Jno F,Yarrowitch,George James McDonald Brisbane 1 Jan - 6 May 1840,"NRS 906 [X816]; Reel 2748-2749, Page 11",Superintendent: Jno Foster.
1 July 1845,Alpen,C D H,Mt Christopher,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: C D H Alpen.
1846,Alpin,C D H,St Kitts,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: C D H Alpin.
1844,Alreck Richardson Santos,Messrs,Perrin Allick,Forster Fyans Normanby October 1844,"NRS 1391 [X690]; Reel 2756, Page 29",Superintendent: Messrs Alreck Richardson Santos.
1842,Alston,Mrs,Weranatting,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 19",Superintendent: J Alston.
December 1839,Anderson,,,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10801.3]; Page 2 back of,Superintendent:  Anderson.
1842,Anderson,,Mangalore,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 15",Superintendent:  Lockhart.
1842,Anderson,,Maryalore,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 17",Superintendent:  Lockhart.
1840,Anderson,,,Itinerary of Henry Fysche Gisborne Esq County of Bourke 1840,"NRS 906 [X814]; Reel 2748-2749, Page 51",Superintendent:  Anderson.
December 1839,Anderson,,Anderson D Company Sheep station,Itineraries of  Henry Fysche Gisborne 30 Aug - 26 Dec 1839 Geelong and Lines of Road To Portland Bay,NRS 905 [4/10803.3]; Page 2 back of,Superintendent:  Anderson.
1840,Anderson,,Anderson & Co,Itinerary of the Commissioner of Crown Lands Port Phillip Henry Fysche Gisborne 28 Jan-18 Feb 1840,NRS 905 [4/10803.4]; Page 40/2967,Superintendent:  Anderson.
1842,Anderson,,Maryalore,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 18",Superintendent:  Lockhart.
January 1844,Anderson,Francis,Wouyalerch,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent: H Anderson.
1 July 1845,Anderson,Henry,Berreyallock,"Half Yearly Return of Population and Live Stock in the District of Portland Bay adjacent to the County of Grant & Normanby and bounded on the West by Unknown Country on the east by the Sea Coast , on the South by Glenelg River and Sea Coast and on the Nor","NRS 906 [X814]; Reel 2748-2749, Page 39",Superintendent: Henry Anderson.
1844,Anderson,Henry,Boneyaltoch,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: Henry Anderson.
1845,Anderson,Henry,Bouryallock,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: Henry Anderson.
1846,Anderson,Henry,Bouryallock,January 1846 Half Yearly Return of Population and Livestock district of Portland Bay situated adjoining county of Grant & Normanby and bounded on the north by Western Port District on the east by the Sea Coast on the south by the Glenelg river and the sea,"NRS 1391 [X691]; Reel 2756, Page 7",Superintendent: Henry Anderson.
1842,Anderson,J,Maryalore,Henry Wilson Hutchinson Smythe Bourke,"NRS 906 [X818]; Reel 2748-2749, Page 24",Superintendent: W Anderson.
10 July 1839,Anderson,Mathew,Mouron,Henry Bingham Esq County of Murray,"NRS 906 [X812]; Reel 2748-2749, Page 2",Superintendent: John Millar.
1845,Anderson & Currie,,Mount Oleshaw,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent:  Anderson & Currie.
January 1844,Anderson & Currie,,Mt Oliphant,Half Yearly Returns of Livestock and Population in the District of  Portland Bay January 1844,"NRS 1391 [X690]; Reel 2756, Page 1",Superintendent:  Nil.
1844,Anderson & Currie,J &,Oakwood,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 33",Superintendent: J &  Anderson & Currie.
1844,Anderson & Henry,,Nil,Forster Fyans Normanby November 1844,"NRS 1391 [X690]; Reel 2756, Page 31",Superintendent:  Nil.
1845,Anderson & Murray,,Dumobin,Half Yearly Returns of Livestock and Population in the District of Portland Bay July 1844,"NRS 1391 [X690]; Reel 2756, Page 45",Superintendent: Wm McPherson.
1 July 1842,Anderson Timms and Russel,,Borinyallok,Western Port District Bounded on the North by Western Port District by  the East by Sea Coast on the South by Glenelg River and on the West by Portland Bay,"NRS 906 [X814]; Reel 2748-2749, Page 17",Superintendent: H Anderson.
1846,Andrew,J M,Myall Creek,Christoper Rolleston county of Stanley called Darling Downs,"NRS 906 [X817]; Reel 2748-2749, Page 92",Superintendent: J M Andrew.
1840,Andrews,J,Gundigi,Commissioners of Crown Lands Itinerary Dalhunty and Fry County of King and Murray,"NRS 906 [X813]; Reel 2748-2749, Page 13",Superintendent: J Andrews.
September 1839,Andrews,J,Gondigi,Commissioners of Crown Lands Itinerary Dalhunty and Fry County of King and Murray,"NRS 906 [X813]; Reel 2748-2749, Page 7",Superintendent: J Andrews.
8 April 1844,Andrews,Joseph,Bimo,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 53",Superintendent: Joseph Andrews.
8 April 1844,Andrews,Joseph,Bino,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 72",Superintendent: Joseph Andrews.
8 April 1844,Andrews,Joseph,Gundagai,Edgar Beckham County King Lachlan District,"NRS 906 [X811]; Reel 2748-2749, Page 16",Superintendent: Joseph Andrews.
22 May 1844,Andrews,Joseph,Gundagai,Bordin Police Office Lachlan District County of King,"NRS 906 [X811]; Reel 2748-2749, Page 6",Superintendent: J Andrews.
8 April 1844,Andrews,Joseph,Cuino,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 33",Superintendent: Joseph Andrews.
8 April 1844,Andrews,Joseph,Kimo,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 23",Superintendent: Joseph Andrews.
8 April 1844,Andrews,Joseph,Bimo,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 52",Superintendent: Joseph Andrews.
8 April 1844,Andrews,Joseph,Gundagi,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 71",Superintendent: Joseph Andrews.
1840,Angus & Gibson,,Bimbil,Graham D Hunter Counties of Bligh Brisbane and Wellington,"NRS 906 [X814]; Reel 2748-2749, Page 60",Superintendent: G Gibson.
1845,Antill,H C,Little Tindery,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 31",Superintendent: John Antill.
1846,Antill,H C,Tindery,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 45",Superintendent: Reeves Evans.
August 1843,Antill,H C,Nil,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 8,Superintendent: John Thompson.
1839,Antill,Henry C,Tindery,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 21",Superintendent: John Thompson.
1839,Antill,Henry C,Tindery,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 13",Superintendent: David Massie.
1847,Antill,John,Nil,John Lambie Murray and St Vincent July 1840,"NRS 906 [X815]; Reel 2748-2749, Page 59",Superintendent: R Evans.
1848,Antill,John M,Little Tingery,Census Return of John Lambie Esq Commissioner of Crown Lands Maneroo forwarded to Hon Col Sec 8 March 1848,"NRS 906 [X815]; Reel 2748-2749, Page 79",Superintendent: R Evans.
8 April 1844,Antony,Thomas,Stoney Creek,County King 1 March 1845 - 28 February 1846 Edgar Beckham Esq,"NRS 906 [X811]; Reel 2748-2749, Page 28",Superintendent: Thomas Antony.
8 April 1844,Antony,Thomas,Stoney Creek,Lachlan Dstirct from 1 March 1847-1 March 1848 County of King Edgar Beckham esq,"NRS 906 [X811]; Reel 2748-2749, Page 61",Superintendent: Thomas Antony.
1848,Archer,D & Co,Cooya,Stephen Simpson Esq Stanley known as Mount Morton District,"NRS 906 [X818]; Reel 2748-2749, Page 10",Superintendent: D Archer.
1848,Archer,D & CO,Durandur,Stephen Simpson Esq Stanley known as Mount Morton District,"NRS 906 [X818]; Reel 2748-2749, Page 10",Superintendent: D Archer.
1844,Archer,D & CO,Durandar,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 7",Superintendent: D Archer.
1844,Archer,D & CO,Durandar,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 4",Superintendent: D Archer.
1844,Archer,D & CO,Durandur,Stephen Simpson Esq County of Stanley,"NRS 906 [X818]; Reel 2748-2749, Page 5",Superintendent: D Archer.
1848,Archer,M,Djuan Djuan,Stephen Simpson Esq Stanley known as Mount Morton District,"NRS 906 [X818]; Reel 2748-2749, Page 10",Superintendent: M McArthur.
1839,Argent,James,Moraya,John Lambie Counties of St Vincent and Murray,"NRS 906 [X815]; Reel 2748-2749, Page 11",Superintendent: James Argent.
August 1843,Arington,,Kalhinkiry,Itinerary of John Lambie County of Murray and St Vincent August 1843 to April 1844,NRS 905 [4/10803.2]; Page 11,Superintendent: John Whitehead.
