Surname,FirstName,Item,Date,Locality,Previous System No,Reel
Arnheim,-,896,1860,"Surveys of Farms in Parish of Belubula County Georgiana. Traverse of Roads - Counties Georgiana and Argyle. Farms, Dividing Range, Creeks, Connections &c. - County Argyle.",[2/8089.11],-
Arnheim,-,788,1856,Survey of Pre-emptive and other purchases. Moamba Reserve. Bombala River. Mountain Ranges. Creeks &c. - Counties of Wellesley and Wallace.,[2/8082.17],-
Arnheim,-,789,1856,"Survey of Farms - Parishes Boco, Maharatta &c. Jamison, Snowy, Eucumbene and Umaralla Rivers. Crankys Plains - part of Nimmitabel Reserve and Allotments. Eucumbene and Umaralla Rivers. Coolumbooka and Badgery Swamps. Road towards Cooma, Nimmitabel and Bib",[2/8083.1],-
Arnheim,-,864,1859-62,Surveys of the Weeo Road and Road through Parish of Mullengullenga - County of Argyle.,[2/8087.5],-
Arnheim,-,865,1859,"Survey of Portions in Parishs of Baw Baw, Milbang, Wayo, Upper Tarlo, Towrang &c. Pomeroy Water Reserve, Wayo and Pegar Creeks. Roads from Putlands to Bungonia. Part of Road to Bungendore. Connections &c. County Argyle.",[2/8087.6],-
Arnheim,-,866,1859,"Survey of portions in Parishes of Milbang, Mutmutbilly, Mangamore, Terranna, Jundary, Narrangarril, Rhyana, Wilberoo and Currowang. Road from Collector to Mutmutbilly and road to Rhyana - County Argyle.",[2/8087.7],-
Arnheim,-,867,1859,"Survey of Portions in Parishes of Currowang, Collector, Wayo, Mutmutbilly, Mummel, Baw Baw, Rhyana &c. Village Reserve of Terrana. Roads &c. County Argyle.",[2/8087.8],-
Arnheim,-,868,1859,"Surveys of portions in Parishes Pomeroy, Pegar, Gurrunda, Tarago &c. Sheet of Water and other Creeks; Roads, Ranges &c. County Argyle.",[2/8087.9],-
Arnheim,-,869,1859,"Survey of portions in Parishes of Wayo, Pegar, Tarlo, Rhyana, Pomeroy &c. Village Reserve of Pegar - Wollondilly River. Dawsons and Bradley Creek - Roads and connections &c. County of Argyle.",[2/8087.10],-
Arnheim,-,870,1859,Survey of farms in Parishes of Collector to Mutmutbilly. County of Argyle.,[2/8087.11],-
Arnheim,-,871,1859,"Survey of farms Parishes of Narrangarril, Rhyana, Baw Baw, Willeroo &c. Church Allotment Parish of Taraga. Road from Rhyana to Billy Blues and other Roads. Connections to Discons Creek &c. County of Argyle.",[2/8087.12],-
Arnheim,-,879,1860-61,Survey of small farms in Parish of Upper-Tarlo &c. Tuena Road and other Roads - Ranges &c. County Argyle.,[2/8088.8],-
Arnheim,-,880,1860,"Survey of farms in parishes of Mangamore, Gundary, Towrang &c. Re-survey of Tarlo - Roads - Tracks; Creeks, Connections &c. County Argyle.",[2/8088.9],-
Arnheim,-,825,1858,"Survey of Portion, Roads, Creek, Tracks &c. apparently in County of Argyle.",[2/8084.16],-
Arnheim,-,881,1860,"Alignment surveys of the following streets:- Auburne, Mundy, Clinton, Montague, Goldsmith, Lithgow, Sloane, Walker, Verner, Market, Bradley, Beppo, Bourke and Clifford - Town of Goulburn - County Argyle.",[2/8088.10],-
Arnheim,-,826,1858,"Survey of Farms near Bredalbaire Plains &c. in Parishes of Bredalbaire, Collector, Mulwaree, Rhyan &c. Woore's portion (See Parish Pomeroy). Traverse of Boyd Creek, Tangman Creek. Connections &c. Range - County Argyle.",[2/8085.1],-
Arnheim,-,882,1860,"Survey of small Farms in Parishes of Pomeroy, Upper Tarlo, Pegar &c. Pegar &c. Pegar Creek - County Argyle.",[2/8088.11],-
Arnheim,-,827,1858,"Survey of Farms, Traverse of Uringalla and other Creeks &c. County Argyle. Portions, Roads, Creeks &c. Counties of Argyle and Camden.",[2/8085.2],-
Arnheim,-,883,1860,"Survey of Goulburn and Wheeo Road Site, for proposed Bridge across the Wollondilly River &c. County Argyle.",[2/8088.12],-
Arnheim,-,884,1860,"Survey of roads towards Bungonia &c. County Argyle. Farms, Roads &c. Portion of the Crookhaven River - County St. Vincent.",[2/8088.13],-
Arnheim,-,885,1860,"Survey of Farms in Parishes of Quialigo, Wayo &c. Bulamlita Creek. Roads, Connections &c. - County Argyle. For farms in Parish of Quialigo see also Book 886 - pages 2 to 33.",[2/8089.1],-
Arnheim,-,886,1860,"Survey of small Farms in Parishes of Quialigo, Currowang, Collector, Mulwaree &c. Quialigo Creek. Road from Goulburn to Windellama and other Roads. Connections &c. - County of Argyle. for portions in Parish of Quialigo see also Book 885 - Pages 75 to 106.",[2/8089.2],-
Arnheim,-,887,1860,"Survey of small Farms in Parishes of Wayo, Guinecor, Rhyana, Upper-Tarlo, Bredalbane, Milbang &c. Portion of the Wollondilly River; part of Dividing Range - Tuena and other Roads - County of Argyle.",[2/8089.3],-
Arnheim,-,888,1860,"Survey of small Farms in Parishes of Pomeroy, Gurrunda, Currowang, Collector, Terrana, Mutmutbilly, Mummel, Wayo, Baw Baw &c. Village Reserve at Terrana. Quialigo, Ryans and other Creeks. Tracks, Roads and Connections - County of Argyle.",[2/8089.4],-
Arnheim,-,889,1860,"Survey of Farms in Parishes of Way, Upper-Tarlo &c. - County of Argyle. Trial Survey of Road connecting Sutton Forest with Great Southern Road near Berrima - County Camden. Road from Bungendore to Goulburn to Goulburn - Vide Counties of Murray and Argyle.",[2/8089.5],-
Arnheim,E H,753,-,Survey of pre-emptive leases in Monaro District.,[2/8080.4],-
Arnheim,E H S,897,1860,"Survey of Farms in Parishes of Pomeroy Pegar, Wayo &c. Farms on Tarlo River. School allotment 2ac. on River. Road surveys; Wollondilly River; Creeks; Connections &c. County of Argyle.",[2/8090.5],-
Arthur,-,898,1860,Survey of Farms in various Parishes. Allotments in Village Reserves of Mandurama and Lyndhurst. Traverse of Mandurama Ponds; Coombing and other Creeks; Fences; Roads; Ranges &c - County of Bathurst.,[2/8090.6],-
Arthur,-,899,1860,Survey of Farms and Suburban Lots. Village Reserve Canowindra. Traverse of portions of Lachlan and Belubula Rivers and various Creeks. Roads; Feature Surveys; Connections &c. County of Bathurst. Farm in Parish Waltham - County Roxburgh.,[2/8090.7],-
Arthur,-,900,1860,"Survey of Farms in Parishes of Lucan, Roseberg &c. Traverse of Road from Carcoar to Cowra. Abercrombie River; Grubbenbone Creek &c. Section for Bridge of Lachlan River - County Bathurst. Farms at Bigga on Abercrombie River. Traverse of Rocky Bridge Creek ",[2/8090.8],-
Arthur,C,835,1858,"Survey of Farms (Suburban) at Bombah and on Burrangylong or Grove Creek. Traverse of Abercrombie River. Mulgunnia or Trunkey Creek - Burrangylong or Grove Creek, Burne's Creek in Parish Groveland; Bucks Creek in Parish Carawa &c. County Bathurst.",[2/8085.10],-
Arthur,C,836,1858,"Survey of farms, Coombing and other creeks &c. in the County Bathurst. Farms on Burrangylong Creek, Fords Springs, Triangle Creek and Dunns Plains Creek - Parishes Carrawa, Kempfield, Rockley &c. Traverse of Triangle, Burrangylong, and Dunns Plains Creeks",[2/8085.11],-
Arthur,C,837,1858,"Survey of large and small farms. Traverse of Isabella River, Thompson's and other Creeks - Ranges, Roads &c. County of Georgiana. Vide Index to F.B.",[2/8085.12],-
Arthur,C,843,1859,Surveys of small Farms in Parishes Lucan and Lynchurst Traverse of Grubbenbun Creek and Mandurama Ponds - County of Bathurst.,[2/8085.14],-
Arthur,C,844,1859,"Survey of Small Farms - Parishes of Somers, Lyndhurst, Coota, &c. Church of England Allotments at Cowra, Trace of Mandurama Ponds and Waugoola Creek - County of Bathurst.",[2/8086.1],-
Arthur,C,845,1859,Survey of small Farms in Parishes Waugoola &c. Spring Creek and Waugoola Creek. Coombing Rivulet and Macquarie Swamp - County of Bathurst.,[2/8086.2],-
Arthur,C,846,1859,"Survey of small Farms in Parishes Osborne, Neville &c. Traverse of Piesley Creek and Dunnings Swamp - County Bathurst. Small farms in Parish Gilmandyke. Traverse of Gilmandyke and O'Briens Creeks - County Georgiana.",[2/8086.3],-
Arthur,C,847,1859,Survey of small Farms in Parishes of Neville and Osborne. Also Traverse of Combing Creek - County Bathurst.,[2/8086.4],-
Arthur,C,848,1859,"Survey of small Farms in Parishes Rockley, Lawson &c. Traverse of Judges Creek - Roads to Rockley, Tuena, and Pepper's Creek - County of Bathurst.",[2/8086.5],-
Arthur,C,901,1860,Survey of the Darling River downwards -continued beyond Cultowa Station - (Vide Counties of Rankin and Werunda).,[2/8090.9],-
Arthur,C,849,1859,"Survey of Roads - to Tuena, Bathurst, Forsters Valley, and Jumpers Flat. Mountain Ranges &c. - County Georgiana.",[2/8086.6],-
Arthur,C,902,1860,Survey of the Darling River downwards from near Gunderbooka (County of Ganda).,[2/8090.10],-
Arthur,C,850,1859,"Surveys of small Farms in Parishes Roseberg, Somers, Coota, Kenilworth &c. Traverse of Rocky - Bridge - Waugoola, Fell-Timber, Piesley and Sheet of Bark Creeks - County Bathurst. Farms in Parishes of Mulgunnia &c. County Georgiana.",[2/8086.7],-
Arthur,C,903,1860,Survey of the Darling River downwards from near its junction with the Bogan River.,[2/8090.1],-
Arthur,C,904,1860,"Survey of the Darling River downwards - Warrego River upwards Vide F.B. 2 Arthur (new No. 902). Traverse downwards of Supposed Irrara River, to connect with Survey of Warrego River - (County Irrara &c.).",[2/8090.2],-
Arthur,C,905,1860,"Survey of small Farms - Parishes of Kenilworth, Walli, Tenandra, Cowra, Coota, Tinteru, Waugoola, Somers, Egbert, Neville &c. Sheet of Bark Tenandra and Binni Creeks (County Bathurst).",[2/8090.3],-
Arthur,C,828,1858,Survey of the Bogan River (from Nynaan in County Oxley) downwards. Gunningbar Creek upwards - from Tree on Bogan River Survey - Counties of Gregory and Oxley.,[2/8085.3],-
Arthur,C,829,1858,Survey of Bogan River downards from its junctions Gunningbar Creek - County Gregory.,[2/8085.4],-
Arthur,C,830,1858,Survey of Bogan River downwards (continued from F.B. 829). Traverse across Bogan River along Plains to Marra Creek - County Clyde.,[2/8085.5],-
Arthur,C,831,1858,Survey of Bogan River (continued from F.B. no. 830) Vide counties of Gregory and Cowper.,[2/8085.6],-
Arthur,C,832,1858,Survey of Bogan River downards to its junction with the Darling River (continued from F.B. No. 831) - Counties Cowper and Clyde.,[2/8085.7],-
Arthur,C,833,1858,Survey of Bogan River to its junction with the Darling River - Counties of Cowper and Clyde. The Darling River upwards from its junction with the Bogan - Vide Counties of Clyde and Narran.,[2/8085.8],-
Arthur,C,834,1858,"Survey of Farms on Coombing Creek and in Parishes of Apsley, Oakley, Neville and Osborne. Traverse of Coombing Creek. Small farms (Marsh's Application) McPhillamy's land at Ploughman's Creek, and other surveys - County Bathurst.",[2/8085.9],-
Arthur,Charles,796,1857,"Survey of farms in Parishes Carlton, Torrens &c. Allotments in Parish Neville. Traverse of Belubula River; Limestone Creek; roads &c. - County of Bathurst.",[2/8083.5],-
Balcombe,-,415,1834,Traverse of Wollombi Road County Northumberland. Mountain Ranges between Hunter River and Wybong creek and between Wybong and Hall's Creeks Counties Durham and Brisbane. Blaxlands Road towards Ogilvies. County Durham.,[2/5037],-
Balcombe,-,416,1834,"Survey of Mountain Ranges between Wybong and Hall's Creeks. Other Mountain Ranges; Portion of the Goulburn River; Giants Creek &c. Counties of Brisbane, Hunter and Northumberland.",[2/5038],-
Balcombe,-,434,1835,"Survey of Goulburn River, Smith's Rivulet, Ranges west of Hall's Creek and between Gunmun and Bow Creeks. Range between Bow Creek and Krui River. Road from Bow Creek - Counties Brisbane &c.",[2/5053],-
Bennett,-,767,1855,Survey of Main Dividing Line (for Farms) in vicinity of the Nepean River and out East Boorgo - County Camden. Farms at Wolombi - On and near Wattle Creek (near Armstrong's). Traverse of Range - Roads - tracks &c. - County Northumberland.,[2/8081.6],-
Bennett,-,768,1855,Survey of Farms at Rocky Creek and near Wollongong. Range or line crossing Rixon's Road and other Ranges. Rixon's 2 other roads. Cataract River; Wallandoola and other creeks - County of Camden.,[2/8081.7],-
Bennett,-,769,1855,Survey of the Cataract River; Angel's and Rocky Creeks; Roads &c - County of Camden.,[2/8081.8],-
Bennett,-,770,1855,Survey of the Cordeaux River; Kembla and Goondarrin Creeks; Connections &c. - County Camden.,[2/8081.9],-
Birmingham,F W,923,1860,Survey of Richmond River (Main and North Arm). Bearings &c. (County of Rous).,[2/8092.3],-
Birmingham,F W,925,1860,Survey of Richmond River (North Arm) Tucki Tucki Plains. Angular Observations and Calculations &c. (County Rous).,[2/8092.5],-
Birmingham,F W,926,1860,Survey of North Arm of Richmond River and Pelican Creek (County of Rous).,[2/8092.6],-
Birmingham,F W,819,1858,Surgey of Parramatta Domain and extra detail required for Subdivision - Parish of St. Matthew - County Cumberland.,[2/8084.11],-
Birmingham,F W,820,1858,"Surveys in Parramatta Domain, Parramatta Lunatic Asylum. Lots in Parish of Concord. Church - School - Parsonage. Survey for calculation of Parramatta Park - County Cumberland.",[2/8084.12],-
Birmingham,FW,924,1860,Survey of North Arm of the Richmond River (County of Rous).,[2/8092.4],-
Burke,-,535,1842,"Survey of Road - Appin to Wollongong; Road to Nixons from Corrimal, along the Ranges. Traverse of Dividing Range. Farms and Road in Parishes of Kembla, Wonona and Cordeaux - County Camden.",[2/8064.12],-
Burke,-,536,1842-43,"Survey of Farms and Allotments - Parishes Kembla, Kiama, Jamberoo, Bargo &c. Sections Burial Ground &c. - Towns of Kiama, Jeringong and Wollongong. Great South Road from Kiama to Wollongong Road to Marshall Mt. St. Parish Calderwood. Village Reserve at Ea",[2/8065.1],-
Burke,-,559,1843,"Surveys of Farms in Parishes of Kembla, Wollongong, Wonona &c. Road from Berrima to Wollong and Mountain Ranges - County Camden.",[2/8066.6],-
Burnett,-,483,1838-40,"Survey of Farms, Grants &c. Parishes Terragong, Jamberoo, Broughton &c. Allotments at Wollongong and Minumurra Rivulet &c. Road to Kiama &c. County Camden. Farms Parishes Currambene, Conjola, Ulladulla, Wandrawandian &c. Bherwerre and Croobyar Creeks; Roa",[2/5097],-
Burnett,-,499,1840,"Survey of Portions in Parishes Wattamalla, Bulgo and Southend. Port Hacking and Part of Coast Line - County Cumberland. Farms - Parishes Kembla, Jamberoo, Calderwood, Broughton, Wollongong, &c. Cooloomgatha adn Bargo Road; and Allotments at Wollongong, Co",[2/5110],-
Burnett,-,508,1841,"Survey of Farms - Parish of Southend - County Cumberland. Farms - Parishes Wonona, Kembla, Wollongong &c. Burial ground at Wollongong. Cordeaux River; Cordeaux Creek; Ranges &c. in County Camden: Farms - Parish Numbaa &c. Crookhaven River - County St. Vin",[2/8063.1],-
Burnett,-,469,1837-38,"Survey of Allotments &c. Castlereagh, Pitt, George, Hunter, Bridge and Phillip Streets. South Head Road, and Coast on South side of Sydney Harbour. Farms in Parishes of Kembla, Jamberoo, Calderwood &c. Reserve for Town of Kiama and Coast Survey. Traverse ",[2/5083],-
Dalgetty,-,488,1839,"Survey of Farms, Grants &c. in Parishes Narrabeen, Willoughby, Frederick &c. County Cumberland. Farms Parishes Womerah, Wonga, McDonald &c. County Hunter. Farms Parishes Auburn, St. Albans. Patonga, Kincumber, Tuggerah, Mangrove &c. County Northumberland.",[2/5100],-
Dalgetty,-,561,1843,Survey of Grants &c. Parishes of Gordon and South Colah County of Cumberland.,[2/8066.8],-
Dangar,-,249,1826,"Survey of farms in parishes. Russell Macqueen, Strathearn &c. Traverse of Hunter River and adjacent land. Pages River, Muscle Brook, Dart Brook, Kingdon Ponds&c. Counties Durham, Gloucester and Brisbane.",[2/4885],2626
Dangar,-,195,1822-23,"Survey of allotments.Town of Newcastle. Farms &c. at Wallis & Paterson Plains. Traverse of Hunter River and adjacent land. Counties Northumberland, Durham &c.",[2/4839],2624
Dangar,-,250,1826,"Traverse of portion of the Hunter River, Dart Brook, Kingdon Ponds, farms &c. parishes of Scone and Strathearn - County Brisbane.",[2/4886],2626
Dangar,-,196,1822-24,"Field notes re marking of Sectional Lines at Townships. Parishes Middlehope, Wolfingham - County Durham; and parishes Gosforth, Heddon &c. County Northumberland.",[2/4840],2624
Dangar,-,251,1826,"Rough notes of survey of Hunter and Pages Rivers; Dart Brook, Kingdon Ponds and adjacent country. County Brisbane.",[2/4887],2626
Dangar,-,193,1822,"Survey of coast (near. Newcastle) Hunter River, tributaries, and adjacent Country. County of Northumberland.",[2/4837],2624
Dangar,-,252,1826,"Rough notes of survey of Hunter River, Pages R. Goulburn R; Kingdon Ponds and adjacent country. County Brisbane.",[2/4888],2626
Dangar,-,194,1822,"Survey of Hunter River, Wallis Creek and other tributaries. Traverse of coast near.Newcastle.",[2/4838],2624
Dangar,-,208,1823,"Field notes re marking Sectional Lines of townships. Parishes Darlington, Heddon,Wolfingham &c. Counties Durham and Northumberland.",[2/4850],2625
Dangar,-,209,1823-24,"Survey of Hunter River and Wallis Creek. Farms, leases &c. parish Middlehope &c. County Durham and parishes Branxton, Gosforth &c. County Northumberland.",[2/4851],2625
Dangar,-,210,1823,"Field notes re marking Sectional Lines for townships parishes Belford and Wittingham, County Northumberland.",[2/4852],2625
Dangar,-,211,1823,Field notes re marking Sectional Lines for township parish Sedgerfield - County Durham.,[2/4853],2625
Dangar,-,212,1823,Field Notes re marking Sectional Lines for Township parish Darlington - County Durham.,[2/4854],2625
Dangar,-,215,1823,"Survey of Sectional Lines for townships - Gosforth, Seaham Middlehope &c. Bearings taken vicinity of Sugar Loaf Hill. Trace of Black Creek. and portion of Hunter River - 4 Portions Counties Durham and Northumberland",[2/4857],2625
Dangar,-,218,1824,"Traverse of portion of the Hunter River (Left Bank), from township of Auckland to Fal Brook; and from township of Lemington and Village of Auckland upwards. Survey of portion of Fal Brook and adjacent land; parishes Auckland & Ravensworth &c. County Durha",[2/4858],2625
Dangar,-,219,1824,"Traverse of portion of Hunter River (Left Bank) Fal and Foy Brooks, and adjacent country with description thereof. Parishes Auckland Ravensworth &c.County Durham.",[2/4859],2625
Dangar,-,220,1824,"Traverse of portion of Hunter River; Fal and Foy Brooks (County Durham) and adjacent land; parish Lidell Ravensworth &c. Wollomby Brook and adjacent land;parish Lemington and Whybrow, (County Hunter) and parishes Warkworth Wollombi&c. County Northumberlan",[2/4860],2625
Dangar,-,221,1824,Traverse of Hunter River from Wollombi Brook to near the Isis River.,[2/4861],2625
Dangar,-,222,1824-26,Traverse of portion of Hunter River; Iron Bark Creek and Sectional Lines for township; Warkworth - County Northumberland.,[2/4862],2625
Dangar,-,223,1824-25,"Survey of Sections and portions Parishes Branxton, Alnwick, Warkworth, Wittingham, Seaham, Darlington &c. Counties Durham and Northumberland.",[2/4863],2625
Dangar,-,236,1825,Traverse of part of the Hunter River dividing the Counties of Durham and Northumberland and land adjacent to the River.,[2/4874],2625
Dangar,-,237,1825,"Track from D’arrietta’s Farm to the Ford at Stone Quarry Rivulet - Parishes of Camden and Picton. HH McArthur’s Farm of 1060 acres - Parish Weromba, County Camden.",[2/4875],2625
Danger,-,213,1823,"Survey of farms adjacent to the Hunter River. Traverse of Glendon Brook, West Brook Ponds Creek and adjacent farms. Parishes Marwood, Sedgefield - County Durham.",[2/4855],2625
Darke,W D,729,1853,"Survey of Farms - Subdivision of Sections - Pre-emptive purchases. Town Lits, Buildings - Cemetery &c. at and near Grafton - Parish of Southampton - County Clarence. Surveys at Lismore and Richmond River - County Rous.",[2/8078.11],-
Davidson,-,603,1848-49,Index to Mr. W.R. Davidson's Field Books of the Wellington District.,[2/8068.7],-
Davidson,-,604,1848,-,[2/8068.8A],-
Davidson,-,605,1848,"Survey of the Lachlan River; Mandagery, Sandy, Oaky, Reedy and Moura Creeks. Road from Canowindra to Mogoug &c. Nangar Valley &c. County Ashburnham.",[2/8068.8B],-
Davidson,-,606,1848,"Survey of portion of the Macquarie River, Canomodine, Cargo, Billabong, Limestone Valley, Bowan and other Creeks; The Dividing Range, Herveys Range, Coridgery Range, Sappa Bulgas and other Spurs - Tracks and Roads &c. Counties of Gordon, Ashburnham &c. Wi",[2/8068.9],-
Davidson,-,479,1838-41,"Survey of Farms, Grants &c. Parishes Joceylin, Lowther, Kendale &c. The Fish River - County Westmoreland. Farms - Parishes Lett, Hartley, Lidsdale &c. Part of Cox River; Butler and Lett Creeks; Bathurst Road; Connections &c. County Cook. Parishes Falnash,",[2/5093],-
Davidson,-,480,1838,"Survey of Farms, Grants &c. Parishes Bangaroo, Waugoola, Purfleet. Part of Lachlan River and Waugoola Creek - County Bathurst. Parishes Mulgunnia and Abercrombie - County Georgiana.",[2/5094],-
Davidson,-,677,1851,"Survey of Harveys Range Creek; Ten Mile and Goobang Creeks; Cargi and Cookopie Ponds; Back, Billabong, Bindogandri. Beargamil and other Creeks - Counties of Gordon, Narromine, Kennedy and Ashburnham.",[2/8074.1],-
Davidson,-,489,1839,"Survey of Farms, Grants &c. in Parishes Errol, Belubula, Neville, Three Brothers, Beaufort, Waugoola, Dunleary, Osborne, Napier &c. Portion of Belubula and Lachlan Rivers, Stoney Creek and Allotments at Carcoar. County Bathurst. Rocky Bridge Creek - Count",[2/5101],-
Davidson,-,470,1837-39,"Survey of Farms Parish Manly Cove. Allotments Hunter and O'Connell Streets. Cathedral site and Burial ground. Farms in Parishes Vittoria, Freemantle &c. Wellington Road - County Bathurst. Farms - Parishes Of Watton, Kelso and Melrose; Macquarie River, Nat",[2/5084],-
Davidson,W R,634,1849,"Traverse of the Little River; Wylandra, Balrudgery, Buckinbar, Dilgar, Greal and other Creeks. Roads from Wambalong, to Springs, Meadows - Meadows to Obley &c. County of Gordon.",[2/8071.2],-
Davidson,W R,635,1849,"Survey of portions of the Lachlan and Darling Rivers and Billabong Creek. Traverse from A (in Field-Book) to Burrawang (""Kite"") Counties Cunningham, Dowling, Franklin, Cowper, Clyde &c.",[2/8071.3],-
Dewhurst,A,906,1860,"Survey of Willandra, Billabong and part of Lachlan River Road between Moorowey and Mouth of Willandra and Billabong River (Counties of Mosgiel, Franklin, Nicholson, Dowling &c.).",[2/8090.4],-
Dewhurst,A,907,1860,"Traverse of Lachlan and Willandra - Billabong Rivers - Roads from Moorowey to Condoublin (Counties of Nicholson, Dowling, Gipps &c.). Farms at Narrabri and Manilla Rivers. Roads in vicinity of Cunglebung, Nymboi, Guy - Faulx, Mitchell, Abergoyle, and Sara",[2/8091.1],-
Dixon,-,409,1833-34,"Survey of Farms in Parishes Killoe, Hall &c. Bow and Hall's Creeks. County Brisbane. Farms in Parishes Borambil, Booyamurra &c. County Bligh. Town of Muswellbrook and Sectional lines; Talbragar River &c. Counties Durham, Bligh &c. Duplicate Field notes pa",[2/5033],-
Dixon,-,407,1833,"Survey of Farms, Parishes Coolamin, Corrabore &c. County Northumberland. Parish Whybrow &c. County Hunter. Parish Hall &c. County Brisbane. Parish Berenderry &c. County Bligh. Hunter and Krui Rivers; Berenderry, Lorima, and other Creeks; County Northumber",[2/5031],-
Dixon,-,408,1833,"Survey of Farms in Parishes Harrowby, Warkworth &c. County Northumberland. Farms, Parishes Ailsa, Coulson &c. County Brisbane. Farms Parish Auckland. County of Durham. Part of Hunter and Bogan Rivers; Wollombi, Bow, McDonald Rivers; Fal Brook; Counties We",[2/5032],-
Dixon,-,355,1831-32,"Survey of part of Liverpool Range, Hunter Riv., Pages Riv. & adjoining Ranges; Rd from Parranville Ck. towards Currabubla; Wybong Creek and St. Heliers Brook - Cox. of Brisbane, Buckland and Durham. Grants, Farms &c. Parishes, Brougham, Russell, Gundy Gun",,
Dixon,-,356,1831-33,"Sketches of portion of Liverpool range; Distances from Mt. Victoria to various places; Reports of progress &c. Counties of Bligh, Brisbane, Durham &c.",[2/5196],-
Dixon,-,424,1834,"Farms in Parishes Borambil, Lorima, Rotherwood &c. Talbragar River and Lorima Creeks. County Bligh. Farms - Parishes Howard, Wentworth &c. Part of Isis and Hunter Rivers. County Brisbane. Parishes Doule Whybrow &c. county Hunter. Farms - Parish Burton &c.",[2/5046],-
Dixon,-,317,1829,"Survey of the Lachlan, Molonglo, Murrumbidgee and Yass Rivers. Jerrawa, Gunningdelballa and Benbengeno Creeks. Bearings taken from Mountain Ranges to Stations&c. Counties King, Murray &c.",[2/4947],2627
Dixon,-,438,1835,"Survey of Grants, Farms &c. in Parishes Althorpe, Howick and Brougham. County Durham. Grants Farms &c. Parishes Hunter, Wambo &c. County Hunter, Parishes Clanricard, Ailsa, Killoe &c. Wybong and Bow Creeks, Kingdon Ponds &c. County Brisbane. Grants, Farms",[2/5058],-
Dixon,-,439,1835,"Survey of Farms, Grants &c. in Parishes Lee, Widdin &c. County Phillip. Grants, Farms &c. Creeks - Parishes Murrurundi, Alma, Brogheda &c. Halls Creek and other Creeks - County Brisbane. Farms Parishes Russell, Rouchell, Rowan &c. County Durham. Parishes ",[2/5059],-
Dixon,-,384,1832,"Survey of Farms in Parishes of Cherson, Melbourne &c. Traverse of Goulburn, Krui and Hunter Rivers; Dart Brook; Gummum and Bow Creeks; and Kingdon Ponds - County Brisbane. Farm Parish of Collaroy - County Bligh. Farms Parishes Liddell, Vane &c. Traverse o",[2/5009],-
Dixon,-,457,1836,Traverse of Water Courses in the vicinity of Sydney.,[2/5074],-
Dixon,-,458,1836,"Survey of Farms in Parishes of Murulla, Murrurundi &c. Isis River Road from Dangar's Ford to Muscle Brook - County Brisbane. Farms - Parish Vaux - County Durham. Parish Burreen - County of Hunter. Road from Purranville to Liverpool Plains.",[2/5075],-
Dixon,-,353,1831,"Survey of Prouts, Thornton and Grahams Farms. Parish of Bankstown and on Georges River. Connection to and part of Georges River, County Cumberland. Traverse of Kingdon Ponds, Pages River and Liverpool Range. County Brisbane and Buckland.",[2/4982],-
Dixon,-,354,1831,"Survey of Liverpool Dividing Range. Pages River, Alma, Isis, Wingen, and Bow Creeks and Portions 25 and 26 parish of Kiloe - County Brisbane.",[2/4983],-
