,SURNAME,FIRSTNAME,RESIDENCE,DISTRICT,SITUATION,DATE OF LICENCE,LICENCE,COPY,ITEM,REMARKS,SERIES,
,ANGAS,-,-,Bligh,Bimbil,17/09/1845,0268,5079,[4/105],or ANGERS; or ANGUS; and GIBSON,NRS 14363,
,ANGUS,(Messrs),-,Bligh,Bimbil?/Bunbil?,22/08/1844,0166,5077,[4/103],and GIBSON,NRS 14363,
,ANGUS,(Messrs),Vale of Clwyd,Bligh,Bumble,20/09/1843,0294,5075,[4/101],and GIBSON,NRS 14363,
,ANTHONY,Thomas,-,Lachlan,Stony Creek,04/10/1844,0663,5078,[4/102],,NRS 14363,
,ANTILL,H C,Stonequarry,Maneroo,Stonequarry,30/09/1843,0438,5076,[4/100],,NRS 14363,
,ANTILL,H C,Stone Quarry,Maneroo,-,30/09/1843,0785,5074,[4/99],,NRS 14363,
,ANTILL,H C,-,Maneroo,-,28/09/1844,0467,5078,[4/102],,NRS 14363,
,ANTILL,Henry,-,Maneroo,Little Tindery,04/10/1845,0863,5081,[4/106],,NRS 14363,
,ANTILL,Henry Colden,Stonequarry,Maneroo,Borrough (The),01/09/1841,0370,5072,[4/97],,NRS 14363,
,ANTILL,Henry Colden,Stonequarry,Maneroo,Borrough (The),22/09/1840,0362,5070,[4/94],,NRS 14363,
,ANTILL,Henry Colden,Jarvisfield,Maneroo,Tindreys,10/07/1839,0103,5068,[4/92],,NRS 14363,
,ARCHER,D,-,Murrumbidgee,Durandar,17/09/1845,0273,5079,[4/105],and CO,NRS 14363,
,ARCHER,D,-,Moreton Bay,Durandur,30/09/1843,0472,5076,[4/100],and CO,NRS 14363,
,ARCHER,D,-,Murrumbidgee,Cugar,17/09/1845,0274,5079,[4/105],and CO,NRS 14363,
,ARCHER,David,-,Moreton Bay,Durandur,25/10/1844,0697,5078,[4/102],and CO,NRS 14363,
,ARCHER,David,"Durundur, Upper Brisban",Moreton Bay,"Durundur, Upper Brisbane",22/09/1842,0432,5074,[4/99],,NRS 14363,
,ARCHER,David,-,Moreton Bay,-,25/10/1844,0698,5078,[4/102],and CO,NRS 14363,
,ARCHER,William,-,Bligh,Woolengolgong,17/09/1845,0275,5079,[4/105],,NRS 14363,
,ARKELL,Thomas,-,Wellington,Daronbalgee,30/09/1844,0640,5078,[4/102],,NRS 14363,
,ARKELL,Thomas,-,Wellington,Daronbalgie,11/09/1845,0186,5079,[4/105],,NRS 14363,
,ARKELL,Thomas,Charlton,Wellington,Dranbulgie,04/09/1841,0378,5072,[4/97],,NRS 14363,
,ARKELL,Thomas,Charlton,Wellington,Drawbilga,04/08/1842,0214,5073,[4/98],,NRS 14363,
,ARKELL,Thomas,Charlton,Wellington,Drowbalgie,23/07/1840,0182,5069,[4/93],,NRS 14363,
,ARKELL,Thomas,Charlton,Wellington,Drowbalgie on Lachlan River,29/07/1839,0212,5068,[4/92],,NRS 14363,
,ARKELL,Thomas,Bathurst,Wellington,Lachlan,07/11/1843,0608,5076,[4/100],,NRS 14363,
,ARKELL,Thomas,Charlton Campbells River,Lachlan,Jammilong,03/10/1839,0431,5068,[4/92],,NRS 14363,
,ARKELL,Thomas,-,Wellington,Cairn,11/09/1845,0187,5079,[4/105],,NRS 14363,
,ARKELL,Thomas,Charlton,Bathurst (beyond),Western,04/02/1837,0199,GvtG,,,NRS 14363,
,ARMITAGE,J T,-,Liverpool Plains,Duncan's Creek; Wombramara and Baraba,13/10/1845,0952,5081,[4/106],and CO,NRS 14363,
,ARMITAGE,J T,Sydney,Liverpool Plains,Duncans Creek Tamworth Stores,21/09/1843,0309,5075,[4/101],,NRS 14363,
,ARMITAGE,J T,Sydney,Liverpool Plains,-,19/08/1842,0251,5073,[4/98],,NRS 14363,
,ARMITAGE,Joseph T,Windsor,Liverpool Plains,Duncans Creek,16/07/1844,0034,5077,[4/103],,NRS 14363,
,ARMITAGE,Joseph Taylor,Sydney,Liverpool Plains,-,20/08/1841,0324,5072,[4/97],,NRS 14363,
,ARMYTAGE,Charles,Penrith,Murrumbidgee,"Lemon Grove, Penrith",23/01/1840,0561,5069,[4/93],"and THOMPSON, Charles",NRS 14363,
,ARMYTAGE,Charles,Penrith,Lachlan,Penrith,23/01/1840,0562,5069,[4/93],"and TOMPSON, Charles",NRS 14363,
,ARMYTAGE,Joseph T,-,Liverpool Plains,-,26/09/1840,0405,5070,[4/94],,NRS 14363,
,ARNDELL,James,Merton,Liverpool Plains,Monulla River,10/07/1839,0110,5068,[4/92],,NRS 14363,
,ARNDELL,James,Merton,Liverpool Plains,Manilla River,29/09/1843,0423,5076,[4/100],,NRS 14363,
,ARNDELL,James,Woodlands,Liverpool Plains,Manilla River,30/09/1842,0609,5074,[4/99],,NRS 14363,
,ARNDELL,James,Woodlands,Liverpool Plains,Manilla River,29/09/1841,0496,5072,[4/97],,NRS 14363,
,ARNDELL,James,Woodlands (near Merton),Liverpool Plains,Manilla River,07/04/1841,0609,5070,[4/95],,NRS 14363,
,ARNDELL,T,Pitt Town,Liverpool Plains,Northern,14/01/1837,0095,GvtG,,,NRS 14363,
,ARNDELL,T,Maroota,Brisbane,Northern,14/01/1837,0096,GvtG,,"Other names mentioned: LODER, G (Mr) (As Executor of the late G Loder)",NRS 14363,
,ARNDELL,Thomas,Caddi near Windsor,Liverpool Plains,Northern,26/06/1838,0238,5067,[4/91],Other names mentioned: BOOTH,NRS 14363,
,ARNOLD,Thomas,-,Liverpool Plains,Station formerly occupied by William Drake,25/01/1845,0797,5078,[4/104],"Other names mentioned: DRAKE, William and CO (Station)",NRS 14363,
,ATKINS,Hayward,-,Wellington,Nanima,25/08/1845,0067,5079,[4/105],,NRS 14363,
,ATKINS,William,-,Lachlan,Cowell,20/09/1845,0349,5079,[4/105],,NRS 14363,
,ATKINS,William,-,Lachlan,Cowell,14/09/1844,0295,5077,[4/103],,NRS 14363,
,ATKINS,William,Burrowa,Lachlan,Cowell,18/02/1843,0700,5074,[4/99],,NRS 14363,
,ATKINS,William,Cowell,Lachlan,Cowell,16/09/1843,0280,5075,[4/101],,NRS 14363,
,ATKINSON,James,Parramatta,Wellington,Werrigudria,19/09/1844,0311,5077,[4/103],,NRS 14363,
,ATKINSON,James,Parramatta,Wellington,Cardington,19/09/1844,0310,5077,[4/103],,NRS 14363,
,ATKINSON,John,Berrima,Murrumbidgee,-,04/07/1842,0727,5071,[4/96],,NRS 14363,
,ATKINSON,William,-,Murrumbidgee,Cooleman,07/01/1845,0784,5078,[4/102],,NRS 14363,
,ATKINSON,William,-,Murrumbidgee,Cooleman,30/09/1845,0684,5080,[4/107],,NRS 14363,
,ATKINSON,William,Berrima,Murrumbidgee,Cooluma,01/10/1842,0617,5074,[4/99],,NRS 14363,
,ATKINSON,William,Cooluma,Murrumbidgee,Cooluma,01/12/1843,0629,5076,[4/100],,NRS 14363,
,AUSTRALIAN AGRICULTURAL COMPANY,-,-,New England,Nowendock,07/08/1845,0010,5079,[4/105],,NRS 14363,
,BACKER,Thomas,Mattong,Maneroo,Mattong,25/06/1840,0043,5069,[4/93],,NRS 14363,
,BACON,-,-,Murrumbidgee,Chai Chai,14/04/1846,1226,5081,[4/108],and HOGG,NRS 14363,
,BACON,Charles Basil,Appin,New England,Bundarah,30/09/1840,0476,5070,[4/94],,NRS 14363,
,BADDELEY,C H,-,Maneroo,Goodgood,25/09/1845,0458,5080,[4/107],,NRS 14363,
,BADGERY,Andrew,Jembaicumbene,Maneroo,Ginderbin and Reynolds Creek,23/09/1841,0444,5072,[4/97],,NRS 14363,
,BADGERY,Andrew,Jembaicumbeen,Maneroo,Ginderbine and Reynolds Creek,21/07/1840,0172,5069,[4/93],,NRS 14363,
,BADGERY,Andrew,Jemmacumbean,Maneroo Snowy River,Southern,30/04/1838,0089,5067,[4/91],delivered to him,NRS 14363,
,BADGERY,Andrew,Jembocambean,Maneroo,Jendobine,17/07/1839,0165,5068,[4/92],,NRS 14363,
,BADGERY,Catherine,-,Maneroo,Frying Pan Creek,26/09/1844,0421,5078,[4/102],,NRS 14363,
,BADGERY,Catherine,-,Maneroo,Frying Pan Creek,30/09/1843,0479,5076,[4/100],,NRS 14363,
,BADGERY,Catherine,Bargo (West),Maneroo,Frying Pan Creek,12/09/1842,0368,5073,[4/98],,NRS 14363,
,BADGERY,Henry,Vine Lodge,Maneroo,Yellow and Dry River,24/10/1842,0633,5074,[4/99],,NRS 14363,
,BADGERY,Henry,Vine Lodge,Maneroo,Yellow and Dry Rivers,26/02/1842,0639,5071,[4/96],,NRS 14363,
,BADGERY,Henry,Vine Lodge,Maneroo,Yellow and Dry River,08/06/1841,0632,5070,[4/95],£5 of which is for fee on Licence for the ending 30 June 1840 or Licence was not taken out as authorized to be received Col Sec letter 26 Sept No 40/174,NRS 14363,
,BADGERY,Henry,-,Maneroo,McLeay's Flat,30/09/1845,0794,5080,[4/107],,NRS 14363,
,BADGERY,Henry,-,Maneroo,Mclay Flat,27/08/1844,0199,5077,[4/103],,NRS 14363,
,BADGERY,Henry,-,Maneroo,Dry River,30/09/1845,0796,5080,[4/107],Duplicate of No 795,NRS 14363,
,BADGERY,Henry,-,Maneroo,Dry River,30/09/1845,0795,5080,[4/107],,NRS 14363,
,BADGERY,Henry,Berrima,Maneroo,Dry River,23/09/1843,0344,5075,[4/101],,NRS 14363,
,BADGERY,James,South Creek,near the Sea coast,Southern,08/04/1837,0313,5067,[4/91],,NRS 14363,
,BADGERY,William,Bargo (West),Maneroo,Frying Pan Creek,08/08/1839,0232,5068,[4/92],,NRS 14363,
,BADGERY,William,Bargo (West),Maneroo,Fryingpan Creek,27/09/1841,0461,5072,[4/97],"Other names mentioned: BADGERY, A",NRS 14363,
,BADGERY,William,Bargo (West),Maneroo,Fryingpan Creek,27/09/1841,0687,5071,[4/96],,NRS 14363,
,BAGGOT,-,-,Liverpool Plains,-,29/11/1844,0736,5078,[4/102],and BAILEY,NRS 14363,
,BAGOT,-,-,Liverpool Plains,Towindah,24/10/1845,0985,5081,[4/106],and BAILEY,NRS 14363,
,BAGOT,-,-,Liverpool Plains,Cumbo-Cumbo,15/10/1845,0964,5081,[4/106],and BAILEY,NRS 14363,
,BAILEY,-,-,Liverpool Plains,-,29/11/1844,0736,5078,[4/102],and BAGGOT,NRS 14363,
,BAILEY,-,-,Liverpool Plains,Towindah,24/10/1845,0985,5081,[4/106],and BAGOT,NRS 14363,
,BAILEY,-,-,Liverpool Plains,Cumbo-Cumbo,15/10/1845,0964,5081,[4/106],and BAGOT,NRS 14363,
,BAILEY,Henry,Prospect,Liverpool Plains,Northern,11/02/1837,0232,GvtG,,,NRS 14363,
,BAILEY,N P,-,Bligh,Miangullia,20/11/1845,1055,5081,[4/106],or BAYLEY; or BAYLY,NRS 14363,
,BAILEY,Nicholas Paget,Cooler,Bligh,Ulandar Creek and Coebil?,09/08/1839,0248,5068,[4/92],,NRS 14363,
,BAIRD,Timothy,Monaroo,Monaroo,Southern,16/06/1838,0185,5067,[4/91],"Other names mentioned: STEPHENSON; Stephenson, landlord of Woolpack Inn, agent",NRS 14363,
,BAKER,John,Elderado,Murrumbidgee,Elderado,04/09/1843,0775,5074,[4/99],,NRS 14363,
,BAKER,John,Elderado,Murrumbidgee,Elderado,06/11/1843,0604,5076,[4/100],,NRS 14363,
,BALCOMBE,William,-,Maneroo,Wambugga,01/09/1845,0111,5079,[4/105],,NRS 14363,
,BALCOMBE,William,-,Maneroo,Wambayugga?/Wambageegga?,26/11/1844,0731,5078,[4/102],,NRS 14363,
,BALCOME,William,Molonglo Plains,Maneroo,Western,17/02/1837,0247,5067,[4/91],,NRS 14363,
,BALDWIN,Harvest,Namoi River,Liverpool Plains,"Denowarindi, Namoi River",18/06/1840,0017,5069,[4/93],,NRS 14363,
,BALDWIN,Harvest,Denowarinda?,Liverpool Plains,Namoi River,13/09/1841,0403,5072,[4/97],,NRS 14363,
,BALDWIN,Harvest,Dumowindi/Dinnowrindi?,Liverpool Plains,Namoi River,06/11/1839,0504,5069,[4/93],,NRS 14363,
,BALDWIN,Harvest,-,Liverpool Plains,"Mungebundie, Dunnarien?",24/11/1845,1060,5081,[4/106],"and BALDWIN, Otto",NRS 14363,
,BALDWIN,Otto,Maitland,Liverpool Plains,"Dennowarundi?, Namoi and Gwydir Rivers",13/09/1841,0402,5072,[4/97],,NRS 14363,
,BALDWIN,Otto,Maitland,Liverpool Plains,"Denowarindi, on Namoi and Gwydir Rivers",18/06/1840,0018,5069,[4/93],,NRS 14363,
,BALDWIN,Otto,Patrick's Plains,Liverpool Plains,North Western,14/01/1837,0065,GvtG,,,NRS 14363,
,BALDWIN,Otto,Patricks Plains,Liverpool Plains,Namoi and Gwydir River,17/03/1840,0603,5069,[4/93],,NRS 14363,
,BALDWIN,Otto,-,Liverpool Plains,"Mungebundie, Dunnarien?",24/11/1845,1060,5081,[4/106],"and BALDWIN, Harvest",NRS 14363,
,BALDWIN,Otto,Patricks Plains,Namoi River,North Western,26/05/1838,0120,5067,[4/91],Other names mentioned: PERRY (Mr) (taken by),NRS 14363,
,BALDWIN,Wynn,-,Liverpool Plains,Wolanaul,02/03/1846,1176,5081,[4/106],or Wyn,NRS 14363,
,BALDWIN,Wynn,Gydir River,Liverpool Plains,Gwydir River,16/03/1840,0595,5069,[4/93],,NRS 14363,
,BALFOUR,(Messrs),-,Moreton Bay,Collington,28/09/1844,0521,5078,[4/102],and CO; or BELFOUR,NRS 14363,
,BALFOUR,-,Moreton Bay,Moreton Bay,Farrine Law,22/09/1843,0320,5075,[4/101],and IRVIN,NRS 14363,
,BALFOUR,-,Fairnelaw,Moreton Bay,Fairnelaw,27/05/1843,0741,5074,[4/99],"and IRVIN, Alexander",NRS 14363,
,BALFOUR,J,Moreton Bay,Moreton Bay,Collington on Stanly Creek,24/09/1842,0453,5074,[4/99],"and BALFOUR, R; or BELFOUR",NRS 14363,
,BALFOUR,J O,-,Lachlan,-,30/09/1844,0596,5078,[4/102],,NRS 14363,
,BALFOUR,J O,-,Lachlan,Island,30/09/1845,0663,5080,[4/107],,NRS 14363,
,BALFOUR,J O,-,Wellington,Mulguthree,30/09/1845,0662,5080,[4/107],,NRS 14363,
,BALFOUR,J O,-,Wellington,Morlgathery; Marrow Bone,02/02/1842,0625,5071,[4/96],,NRS 14363,
,BALFOUR,J O,-,Wellington,Lachlan River,30/09/1844,0595,5078,[4/102],,NRS 14363,
,BALFOUR,J R,Collington,Moreton Bay,Collington,28/09/1843,0410,5075,[4/101],"or BELFOUR; and BALFOUR, John",NRS 14363,
,BALFOUR,J R,Moreton Bay,Moreton Bay,Collington on Stanly Creek,24/09/1842,0453,5074,[4/99],"and BALFOUR, J; or BELFOUR",NRS 14363,
,BALFOUR,James Robert,Arcadia,Liverpool Plains,Arcadia,06/08/1840,0235,5069,[4/93],"and BALFOUR, John",NRS 14363,
,BALFOUR,James Robert,Arcadia,Liverpool Plains,Arcadia,02/09/1841,0375,5072,[4/97],"and BALFOUR, John",NRS 14363,
,BALFOUR,John,Arcadia,Liverpool Plains,McIntyre River (At a creek towards the),13/03/1840,0591,5069,[4/93],,NRS 14363,
,BALFOUR,John,Collington,Moreton Bay,Collington,28/09/1843,0410,5075,[4/101],"or BELFOUR; and BALFOUR, J R",NRS 14363,
,BALFOUR,John,Arcadia,Liverpool Plains,Arcadia,02/09/1841,0375,5072,[4/97],"and BALFOUR, James Robert",NRS 14363,
,BALFOUR,John,Arcadia,Liverpool Plains,Arcadia,06/08/1840,0235,5069,[4/93],"and BALFOUR, James Robert",NRS 14363,
,BALFOUR,John O,Bathurst,Wellington and Lachlan,Mulgathery and Island,23/09/1843,0341,5075,[4/101],,NRS 14363,
,BALFOUR,John Osborne,Bathurst,Wellington and Lachlan,Mooramborra situated on Lachlan river on Morlgathery Marrow Bone,23/07/1842,0166,5073,[4/98],,NRS 14363,
,BALFOUR,John R,-,Moreton Bay,Colinton,27/09/1845,0550,5080,[4/107],,NRS 14363,
,BANK OF AUSTRALASIA,(The),-,Liverpool Plains,Gurley,11/10/1845,0947,5081,[4/106],,NRS 14363,
,BANK OF AUSTRALASIA,(The),-,Liverpool Plains,Black Creek,11/10/1845,0946,5081,[4/106],,NRS 14363,
,BANK OF AUSTRALIA,-,Sydney,Lachlan,Demondril,21/11/1844,0725,5078,[4/102],,NRS 14363,
,BANK OF AUSTRALIA (The),-,-,Lachlan,Demonderil,11/03/1844,0719,5076,[4/100],,NRS 14363,
,BARBER,-,-,Lachlan,Bendock,29/09/1845,0601,5080,[4/107],and WILLIAMS,NRS 14363,
,BARBER,C H,-,Murrumbidgee,Wannock,19/08/1845,0037,5079,[4/105],,NRS 14363,
,BARBER,Charles,-,Murrumbidgee,Murray River,24/09/1844,0362,5077,[4/103],,NRS 14363,
,BARBER,George,-,Lachlan,Nimbi,26/08/1845,0080,5079,[4/105],,NRS 14363,
,BARBER,George,Nimby,Lachlan,-,10/01/1842,0608,5071,[4/96],,NRS 14363,
,BARBER,George,Glenrock,Cunningham Plains,Western,14/01/1837,0124,GvtG,,,NRS 14363,
,BARBER,George,-,Lachlan,Nimby,24/09/1844,0361,5077,[4/103],,NRS 14363,
,BARBER,George,Glenrock,Murrumbidgee,Gundowring and Tarwanger,04/09/1841,0380,5072,[4/97],Other names mentioned: TITTERTON,NRS 14363,
,BARBER,George (Junior),Hume River,Murrumbidgee,Southern Limits (The),03/10/1839,0430,5068,[4/92],,NRS 14363,
,BARBER,George (Senior),Glenrock,Murrumbidgee,Gundowring and Tarwanger,10/01/1842,0608,5071,[4/96],Cancelled,NRS 14363,
,BARBER,George (Senior),Glenrock,Murrumbidgee,Gundowring,03/10/1839,0428,5068,[4/92],,NRS 14363,
,BARBER,George (Senior),Glenrock,Murrumbidgee and Lachlan,Gundowring and Tarwanger,26/09/1842,0472,5074,[4/99],,NRS 14363,
,BARBER,George (Senior),Gundowring and Tarwanger,Murrumbidgee and Lachlan,Gundowring and Tarwanger,22/09/1843,0331,5075,[4/101],,NRS 14363,
,BARBER,George (Senior),Glen Rock,Murrumbidgee,Gundowring and Tarwanger,04/09/1841,0676,5070,[4/95],,NRS 14363,
,BARBER,George H (Junior),Glenrock Argyle,Murrumbidgee,South Western,11/06/1838,0166,5067,[4/91],"Other names mentioned: WILSON, C and F",NRS 14363,
