SA Item,SG Map,Area,Firstname,Surname,Date,Description,Remarks
[1257],A.1973,Araluen,-,-,6 Dec 1904,"Araluen and Araluen West Towns County St Vincent, by Surveyor General's Office, Feb 1867 - used as office map until withdrawn Dec 6, 1904",
[5925],W.624,Warrawolong,-,-,Oct 1829,"Plan of road Young Wiseman's to Mount Simpson, also summit of Warrawolong and trace down to Sugar Loaf Creek",
[4392],N.652,Newcastle,-,-,1873,"Newcastle City lithograph map 1873 with attached lithograph of chart of harbour-soundings, buoys, etc.",
[5148],R.2.920,North Richmond,-,-,nd,Original of farms near Belmont (very faint),
[2682],E.11.1083,Essington,-,-,1839,"Rough sketches showing north coast of Australia from Melville Island to Gulf of Carpentaria (Not dated or signed) appears to have been executed about 1827 probably by the staff of ""Fort Dundas"" see E.5.1083",3 of 3
[3604],M.158,Mulgoa,-,-,nd,"Sketch of farms with names, Parish of Mulgoa",
[2592],D.62.1321,Lower Darling,-,-,-,"Lower Darling Squatting District.Survey of Darling River from Galtolka to junction of Upper Talyawalka Ana - Branch, also Teryaweynya & Undeathe Creek - Counties of Young, Tandora, Livingstone, Perry, Minindee",
[3519],L.43.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",11 of 20 (L.51.1634 not held)
[1523],B.1407.a,Binda,-,-,-,Cancelled map,
[2226],C.916,Cumberland,-,-,nd,Plan of part of the Coast with Major Mitchell's description of the County of Cumberland,
[3510],L.34.1634,Lithographs,-,-,1883,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",2 of 20 (L.51.1634 not held)
[1473],B.1228,Bulgo Parish,-,-,before 1844,"Plan of 13,240 acres of land, County Cumberland, Church and School established between Port Hacking River and Ocean",
[1259],A.2032,Arthur,-,-,1873,Lithograph for office use,
[1353],B.4.582,Bargo,-,-,-,See B.5.582 below,
[2759],G.9.613,Goulburn River,-,-,-,"Halls Creek from Goulburn River to Bett's Hut; Ogilvie's, Forbes, Halls and Towns Stations shown",
[1760],C.16.513,Coast,-,-,-,Plans of Government establishment at Richmond River.See also M.1151,4 of 5
[6077],W.1791b,Wangonilla,-,-,1861,Wangonilla - Plan of the village (lithograph),
[1205],A.1143,Adelaide,-,-,-,"Plan showing Yorks Peninsula, Kangaroo Island, St Vincent's Gulf and Port Adelaide (South Australia)",
[3192],J.1899b,Jerilderie,-,-,1864,Lithograph for office use,
[5149],R.929,Roads,-,-,nd,(George's River Road)Original plotting in pencil of George's River Road (very faint),
[3605],M.237.a,Mulgoa,-,-,nd,Sketch of farms with names,
[5334],R.1595a,Raglan,-,-,1855,"Design of Village of Raglan, Parish Kelso, County Roxburgh.Withdrawn from Office use 1888",
[3520],L.44.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",12 of 20 (L.51.1634 not held)
[1843],C.28b.730,Church Lands,-,-,1838,(Parish of Frederick)Survey of 5 acres in the Parish of Frederick applied for to purchase by Thomas Panton,
[5643],S.10a.1261,Sydney,-,-,nd,Tracing of S.10.1261,
[4114],M.255.1427,Murrumbidgee District,-,-,,Head of Gilmore Creek,1 of 4 sheets
[1272],B.131,Bathurst,-,-,nd,"Protraction in pencil, showing grants (very faint)",
[3531],L.57.1634,Lithographs,-,-,1882?,"Plan of private sub-division, portion 82, Parish South Jewnee, County Clarendon, of land for sale for auction, 9 Jan 1882",1 of 2
[1758],C.14.513,Coast,-,-,-,Part McLeay or New River and track along hills south easterly,
[1207],A.1211,-,-,-,-,Reduction of Surveys in the Monero District (Wright) McCabe and Labatt - Fair Condition,
[2236],C.1023.a,Coogee,-,-,1838,"Plan of Coogee approval by Leg Co. (a) by Dalgety (b) by Fernyhough, 1838.",(C.1023.b not held)
[3193],J.1899b,Jerilderie,-,-,1864,Reserve. Plan of the Village.Lithograph for office use.Cancelled 1890,
[SZ420],R.2.193,Richmond,-,-,-,Numbers and reference,
[3969],M.3.1427,Murrumbidgee District,-,-,-,"Map of part of Murrumbidgee District from County Goulburn westerly between Billabong - Yanko Creek, Murray River & Deniliquin, County Townsend etc.; shows features, station and holders",
[3521],L.45.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",13 of 20 (L.51.1634 not held)
[3047],H.14.679,-,-,-,-,"Trace of range Mount Tomah to Colo and connecting with Bulga Road, see County Cook",
[4115],M.255.1427,Murrumbidgee District,-,-,,Head of Gilmore Creek,2 of 4 sheets
[2228],C.921,Cumberland,-,-,nd,Original of farms near Prospect,
[4726],P.150,Parramatta,-,-,nd,"Old plan no reference to numbers, date or surveyor. Shows buildings",4 of 4 sheets
[2318],C.6.1273,(Counties),-,-,1851,Similar details as C.5 but for County of Wellesley,
[2907],G.1952 (2),Grenfell,-,-,1867,Town (half plan only).Lithograph used for charting?,
[SZ297],L.1278d,Leichhardt Expedition,-,-,nd,"Large scale plan showing Leichhardt's journey, Moreton Bay to Port Essington.No Scale",1 of 10 sheets
[2730],F.2035a,Forster,-,-,1871,Lithograph for office use,
[6091],W.1923,Wittingham,-,-,-,Wittingham Village Reserve,
[1210],A.1269.b,South Australia,-,-,-,"Tracing paper.Map showing the principal ""Mills"" on the Eastern Plains of South Australia (not dated but probably about 1845)",
[2237],C.1023.c,Coogee,-,-,-,Copy of plan as approved 1838,
[2687],E.1226,Parish Eckersley,-,-,prior 1844,"Parish Eckersley, County Cumberland, no date - but prior to 1844 - shows Clergy and School Estate, whole parish",
[3970],M.4.1427,Murrumbidgee District,-,-,-,"Map of part of Murrumbidgee Squatting District, west of Counties of Goulburn and Wynyard, & between Murrumbidgee, Colombo & Billabong Creeks, showing reserves and stations",
[3522],L.46.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",14 of 20 (L.51.1634 not held)
[2527],D.2.1240,Driftway (Pennant Hills),-,-,-,"Driftway - Pennant Hills - copy of Rawnsley's map of about 1853.See also other plans in Lands Department D.1240, D.1 & 1a.1240 & D.3.1240",
[2319],C.7.1273,(Counties),-,-,1851,Similar details as C.5 but for County Beresford only,
[4787],P.45.574,Port Jackson,-,-,Aug 1877,(Darling Harbour)Plan showing lines of division of waterway etc. Smith's Wharf to Gas Company's wharf near Miller's Point,
[1773],C.579,Cumberland (County),-,-,nd,"Sketch of Sir John Jamiesons' (1,120 acres) and D  Wentworth's (200 acres) grants",
[5386],S.310,South Creek,-,-,nd,Pencil sketch of South Creek.Parish of Cabramatta (very faint),
[3195],J.1964a,Jembaicumbene,-,-,1867,Plan of Village. Lithograph for office use,
[5875],V.4.837,St Vincent (County),-,-,nd,Range east of Shoalhaven and Ettrema Range and peak (Guirera),
[5968],W.894,Windsor,-,-,1835,Windsor town - streets and buildings,2 of 2 plans
[3523],L.47.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",15 of 20 (L.51.1634 not held)
[1336],B.547,Belanglo (Parish),-,-,nd,"Sketch of farms with names, County of Camden",
[2320],C.8.1273,(Counties),-,-,1851,Similar details as C.5 but for County of Auckland only,
[4788],P.46.574,Port Jackson,-,-,Aug 1877,(Darling Harbour and Johnstone's Bay)Tracing from plan P.24.754 (SR Map No. 4769) of portion of Darling Harbour & Johnstone's Bay to show limit line from Simmon's Point to Datchell Street,
[1805],C.677,Coast,-,-,nd,"Coastline from Camden Haven to Mermaids Reef, and inland to South Brother and West Brother",
[5598],S.953,-,-,-,nd,Map of the southern portion of New South Wales as surveyed to Nov 1828 - from County of Cumberland to south of Batemans Bay and west to Lake George,
[6022I],W.39.1322,Wellington District,-,-,30 Oct 1851,"Plan of Manildra Creek from source down to Minildra (Manildra) station, with features, stations - County Ashburnham",
[2689],E.1414,Euston,-,-,-,Euston (or Nowong) Village site on Murray River - Commissioners of Crown Lands Establishment and Inn shown,
[4601],N.11b.1402,New England District,-,-,nd,"Plan of Clifton and Tenterfield Runs, County Clive",2 of 2
[3524],L.48.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",16 of 20 (L.51.1634 not held)
[4185],M.229-.242.1427,Murrumbidgee District,-,-,,"Werang Creek, Tuppal Creek to Gulpa Road - parts Wakool and Murray Rivers LakesPoompur & Glenoe, Billabong Creek - Edward River from Nyang to Moulamein -County Wakool",1 of 15
[SZ416],R.86,Richmond Hill,-,-,1801-02,"Sketch of Richmond Hill, Parish of Ham Common, showing boundaries of farms and names",
[1534],B.1470 (2),Bingara,-,-,-,Design for approval of Council,
[1435],B.966a,Ballengara,-,-,-,"Ballengara plan approved - submitted by SA Perry, Deputy Surveyor General",
[2321],C.2.1314,Clarence District,-,-,-,See C.4.1314 for details,
[2912],G2011a,Gerogery,-,-,1871,Lithograph for office use,
[4398],N.7.652,Newcastle,-,-,c.1826,Newcastle town map similar to N.6 but includes reference to class and contents of allotments,
[1809],C.1.729,Church Lands,-,-,1831,"(Orphan School, Liverpool)Plan of the Male Orphan School Estate at Liverpool",
[5060],R.1a.798,Roads,-,-,-,"Copy of R.1.798 by FT Rusden, 16 Feb 1831 with Commissions of Lands line of road, additional",
[2732],G.46,Goulburn River,-,-,10 Aug 1826,Part of Goulburn River,
[2777],G.665.b,Goulburn River,-,-,nd,"Map showing all the Creeks running into the South bank of the Goulburn River, shows some land holdings",
[3197],J.2026a,Jindera,-,-,-,Similar to J.2026,
[5878],V.6.837,St Vincent (County),-,-,nd,Branch Range dividing Ettrema and Yalwal Creek,
[2690],E.1.1414,Euston,-,-,1850,"Design for town of Euston at Nowong, Lower Darling District, 1850.Withdrawn from office use 1892",
[4614],N.1555f,Nelligen,-,-,nd,Lithograph for general use as approved by Executive Council,
[5976],W.1054c,Wellington (County),-,-,26 Apr 1858,"Burrangong Village and farms in vicinity - Bibby's Lakes Innes and Gold Commissioner's Establishment shown.Location - Macquarie River, County Wellington, Parish Bligh",
[3525],L.49.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",17 of 20 (L.51.1634 not held)
[4186],M.229-.242.1427,Murrumbidgee District,-,-,,"Werang Creek, Tuppal Creek to Gulpa Road - parts Wakool and Murray Rivers LakesPoompur & Glenoe, Billabong Creek - Edward River from Nyang to Moulamein -County Wakool",2 of 15
[SZ418],R.119,Richmond,-,-,nd,"Sketch of Richmond, Parishes of Ham Common and Wilberforce, showing farms with names",
[3058],H.25.679,-,-,-,nd,Plan showing Berami or James Creek - Burgifords Hut and Tindal's Hut,
[1437],B.966.c,Ballengara,-,-,1837,"Copy of Ballengara plan approved - submitted by SA Perry, Deputy Surveyor General",
[3490],L.17.1634,Lithographs,-,-,nd,"Lithograph of 52 allotments at south end of Hyde Park, between Campbell Street, South Head Road etc.Apsley Lodge, Liverpool Street, & ""Cottage on the Hill"" in Hill Street shown",
[5119],R.2.877,Road,-,-,-,Similar road but shows section of road with sketch of bridge (see also Abbott's Field Book No.373),
[4723],P.150,Parramatta,-,-,,"Old plan no reference to numbers, date or surveyor. Shows buildings",1 of 4 sheets
[4790],P.48a.574,Port Jackson,-,-,Jul 1877,(Sydney Cove)Plan of the Circular Quay including the Harbour Steamers Wharf. Shows proposed jetties in front of Campbell's (now ASN Company's) Wharf,
[4399],N.8.652,Newcastle,-,-,-,Plan sent from Colonial Secretary's Office in letter 44/413 for deposit in this office,
[1811],C.3.729,Church Lands (Rooty Hill),-,-,1831,"Plan of the estate between Western Road and Richmond Road, at Rooty Hill",
[1782],C.2.604,Cook (County),-,-,-,Cox's River and Mount Blaxland and adjacent country. No date or surveyor,2 of 2
[SZ388],P.155,Parramatta River,-,-,nd,The first map of the farms along the Parramatta River,
[3198],J.2026b,Jindera,-,-,Oct 1869,"Lithograph for office use, withdrawn from use 7 May 1889",
[4615],N.1555h,Nelligen,-,-,1863,"Plan of the Environs of Nelligen, County St Vincent",
[SZ554],W.1167,Western Port,-,-,1827,"Survey of Western Port, with soundings",
[3526],L.50.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",18 of 20 (L.51.1634 not held)
[4187],M.229-.242.1427,Murrumbidgee District,-,-,,"Werang Creek, Tuppal Creek to Gulpa Road - parts Wakool and Murray Rivers LakesPoompur & Glenoe, Billabong Creek - Edward River from Nyang to Moulamein -County Wakool",3 of 15
[3027],H.1a.641,Hunter River,-,-,nd,"Plans of disputed lands between Dangar and Macqueen, Dart Brook and Hunter River near Muswellbrook",
[2466],C.2133a,Cobar,-,-,1874,"Cobar Town, County Robinson by Surveyor General's Office - used as office map until cancelled 14 Jul 1882",
[3060],H.27.679,-,-,-,nd,"Plan showing County between Bylong, etc., County Philip",
[1290],B.173,Blackwattle Brook,-,-,nd,Section of one square mile,
[2826],G.1028f,Gundagai,-,-,1845,Copy of South Gundagai from G.1028d & e,
[2914],G.2036,Goulburn,-,-,1859,Plan showing municipality of Goulburn - lithograph,
[4724],P.150,Parramatta,-,-,,"Old plan no reference to numbers, date or surveyor. Shows buildings",2 of 4 sheets
[6142],Y.954.g,Yass,-,-,1867,"Yass town, Counties King and Murray by Surveyor General's Office, 1867 - used as office map until withdrawn 7 Jun 1898",
[2347],C.17.1314,Clarence District,-,-,-,For this plan see old rolls in separate list.Reduction Plan of Dewhurst's surveys of southern heads of Clarence with feature details by Campbell not dated,
[5062],R.2a.789,Roads,-,-,-,"Plan of roads Cowpasture Bridge, Nepean River to Stonequarry Creek & to Menangle over Spaniards Hill from Stonequarry - no surveyors name or date but about 1830-32",
[1125],A.101,Argyle (County),-,-,-,Shows similar details to A.265,
[1785],C.2.645,Clewydd,-,-,-,Similar plan with Darling Causeway.Mount York height and latitude,2 of 2
[4281],M.1654,Moreton Bay,-,-,1858,Map showing proposed boundary between NSW & Queensland and proposed division of that colony into Electoral Districts,
[3666],M.632,(Lake) Macquarie,-,-,Feb 1830,"Pulga Island, Lake Macquarie, County Northumberland",3 of 3 plans
[SZ541],W.571,Waterloo,-,-,nd,"Sketch of William Hutchinson's 1,400 acres near Sydney",
[1591],B.1850,Bengalla,-,-,Jul 1863,"Bengalla Village, County Arrawatta used as office map until cancelled by B.1850A 31 May 1883",
[4616],N.1555g,Nelligen,-,-,1860,"Plan of town of Nelligen, County St Vincent",
[3527],L.52.1634,Lithographs,-,-,,"21 lithographs of maps of various parts of New Zealand. Published at Surveyor General's Office, Wellington, New Zealand",19 of 20 (L.51.1634 not held)
[4188],M.229-.242.1427,Murrumbidgee District,-,-,,"Werang Creek, Tuppal Creek to Gulpa Road - parts Wakool and Murray Rivers LakesPoompur & Glenoe, Billabong Creek - Edward River from Nyang to Moulamein -County Wakool",4 of 15
[3028],H.1b.641,Hunter River,-,-,nd,Plans of disputed lands between Dangar and Macqueen.This map is more heavily annotated than H.1a.641,
[3664],M.632,(Lake) Macquarie,-,-,nd,"Pulga Island, Lake Macquarie, County Northumberland",1 of 3 plans
[1488],B.2.1313,Bligh District,-,-,-,"Trace of part Castlereagh River downwards & line connecting it with Macquarie River at Dubbo - in 18 Sheets, numbered 1-18. Covers from near Binnaway to just north of Gilgandra - shows White's camp sites, station holders & names….",2 of 15
[SZ405],P.522,Pitt Town,-,-,-,Rough draft of the township of Pitt Town,
[2915],G.2.2036,Goulburn,-,-,1869,City of Goulburn showing the portion of Union Street resumed as notified in Gazette No.250 (Supplement to 23 Nov 1869) folio 3051,
[5121],R.889,Road,-,-,1861,"Plan of road Sydney to Cooks River - grant allotments & houses & Mr Sparke's house on southwest side of river, shown (no survey details on this plan). See also R.1.899 Lands Department which contains excellent historical information re occupation on each ",
[6144],Y.1733,Yarrangobilly,-,-,1860,"Plan of allotments in section 1, 2, & 3 in the Village Reserve.Withdrawn from office use 1889",
[4792],P.50.574,Port Jackson,-,-,nd,"(Lavender Bay) Tracing from Plan of Lavender Bay P.34.574 (SR Map Nos.4781-82), to show limit line for reclamations",
